open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1717200000000,3764.35,3770.91,3754.36,3762.03,23361.051,1717201799999,87890478.31971,45166,11455.801,43097220.78597,0
1717201800000,3762.04,3769.18,3762.04,3766.49,16274.749,1717203599999,61285602.21338,33935,7852.178,29569499.11280,0
1717203600000,3766.55,3778.81,3760.78,3768.80,37342.576,1717205399999,140839929.88875,50758,19829.451,74800858.06532,0
1717205400000,3768.79,3769.59,3761.63,3769.16,13440.100,1717207199999,50612193.74939,29459,6566.452,24730078.30490,0
1717207200000,3769.15,3776.50,3767.72,3773.45,13959.560,1717208999999,52655590.65718,30758,8659.027,32664189.83441,0
1717209000000,3773.45,3782.60,3772.95,3779.59,14410.124,1717210799999,54440393.17371,29484,8843.895,33413214.89400,0
1717210800000,3779.60,3784.93,3776.90,3778.66,19411.117,1717212599999,73382581.02940,33478,9998.776,37803734.71096,0
1717212600000,3778.65,3784.99,3776.51,3781.01,20978.473,1717214399999,79320208.12180,29038,10693.740,40436586.01602,0
1717214400000,3781.01,3783.00,3773.02,3778.00,12909.320,1717216199999,48751749.65357,28185,6306.284,23816079.91760,0
1717216200000,3778.00,3788.00,3776.61,3786.79,23922.154,1717217999999,90524332.32905,36806,14506.316,54894205.34135,0
1717218000000,3786.80,3790.58,3780.53,3783.07,17683.114,1717219799999,66937674.25279,31976,7285.190,27580786.13935,0
1717219800000,3783.08,3796.86,3783.07,3792.00,35644.554,1717221599999,135136509.04466,46187,19022.116,72123044.37238,0
1717221600000,3792.00,3794.82,3786.61,3790.45,12150.585,1717223399999,46046511.24742,29503,5159.320,19552534.59071,0
1717223400000,3790.45,3793.98,3785.46,3791.74,28917.779,1717225199999,109594415.60711,36417,15423.439,58458781.92219,0
1717225200000,3791.73,3793.78,3785.43,3786.87,17880.677,1717226999999,67769177.55004,28771,8862.878,33593269.61859,0
1717227000000,3786.87,3786.87,3772.04,3775.61,24192.932,1717228799999,91445844.99002,41085,9829.011,37149539.47124,0
1717228800000,3775.61,3782.67,3775.10,3780.15,21780.904,1717230599999,82306063.07626,32636,12375.425,46765765.26534,0
1717230600000,3780.15,3805.81,3779.69,3802.21,49733.554,1717232399999,188637892.91262,66192,30892.950,117193280.83339,0
1717232400000,3802.20,3812.81,3792.89,3793.93,61986.379,1717234199999,235806262.27441,85924,29020.718,110420225.80859,0
1717234200000,3793.93,3799.04,3790.43,3795.65,14070.715,1717235999999,53395808.18618,33203,7555.668,28673918.34072,0
1717236000000,3795.66,3798.44,3792.05,3793.58,11103.179,1717237799999,42139885.23717,26800,4725.230,17932200.30542,0
1717237800000,3793.59,3795.62,3786.02,3788.33,18032.680,1717239599999,68327129.46971,33478,6590.483,24971610.90761,0
1717239600000,3788.33,3795.00,3784.00,3789.61,21440.244,1717241399999,81251750.93786,31014,11930.438,45215696.74168,0
1717241400000,3789.61,3796.13,3789.20,3790.39,17921.479,1717243199999,67985123.01187,27482,9805.582,37199489.33781,0
1717243200000,3790.39,3799.00,3788.85,3798.50,13105.839,1717244999999,49740336.14469,25394,7621.622,28927783.56959,0
1717245000000,3798.50,3810.00,3796.11,3798.01,29694.518,1717246799999,112933040.08627,46853,18498.671,70349390.86038,0
1717246800000,3798.00,3807.00,3798.00,3803.19,22094.764,1717248599999,84029934.42297,36330,11737.813,44644914.17298,0
1717248600000,3803.19,3812.43,3802.90,3804.27,26137.901,1717250399999,99547518.99459,42912,13368.269,50919157.51254,0
1717250400000,3804.27,3811.99,3799.58,3810.77,16745.429,1717252199999,63722966.75696,35538,7654.997,29133530.56889,0
1717252200000,3810.76,3817.00,3805.17,3812.05,32862.400,1717253999999,125254054.39443,52274,16760.891,63895247.12219,0
1717254000000,3812.06,3814.90,3805.63,3812.10,23855.426,1717255799999,90899734.89836,38240,10379.542,39551194.28687,0
1717255800000,3812.10,3813.87,3801.00,3801.38,19701.616,1717257599999,74992013.66558,33506,8901.452,33886151.14050,0
1717257600000,3801.39,3808.60,3796.55,3806.57,23856.255,1717259399999,90713653.56956,43419,11533.353,43861644.84205,0
1717259400000,3806.57,3809.28,3798.54,3801.53,15014.962,1717261199999,57098438.58997,30591,7165.374,27250755.17707,0
1717261200000,3801.53,3806.08,3796.09,3806.08,13142.994,1717262999999,49954505.21483,27250,6448.241,24512212.19267,0
1717263000000,3806.08,3812.00,3792.13,3809.62,24423.647,1717264799999,92830213.26559,43794,11881.300,45177388.20486,0
1717264800000,3809.62,3812.84,3800.06,3802.52,10760.319,1717266599999,40946379.66582,26593,5701.730,21696339.25663,0
1717266600000,3802.51,3806.46,3801.43,3805.18,4668.858,1717268399999,17757158.73439,15273,2736.297,10407008.47433,0
1717268400000,3805.18,3806.72,3799.32,3802.54,6956.620,1717270199999,26455540.71709,20664,3771.168,14341723.60799,0
1717270200000,3802.55,3809.78,3802.44,3806.65,7600.762,1717271999999,28936843.17057,19565,4493.444,17106374.74421,0
1717272000000,3806.65,3807.89,3801.73,3805.70,5963.433,1717273799999,22688787.76662,16615,3711.740,14121493.16382,0
1717273800000,3805.70,3809.86,3805.21,3809.86,7541.817,1717275599999,28719033.89691,17966,4614.317,17570986.70212,0
1717275600000,3809.85,3819.77,3807.75,3808.93,19719.024,1717277399999,75184683.63233,34136,10679.165,40726288.24532,0
1717277400000,3808.93,3825.71,3808.93,3817.48,28600.412,1717279199999,109208383.31320,49135,15724.034,60046564.10637,0
1717279200000,3817.48,3837.20,3817.46,3832.61,41599.581,1717280999999,159241621.75511,61817,23934.952,91631391.02900,0
1717281000000,3832.62,3833.50,3823.80,3824.01,18182.334,1717282799999,69591919.09483,34596,8815.094,33741367.15099,0
1717282800000,3824.00,3826.00,3815.00,3815.55,21124.500,1717284599999,80699466.64967,38610,8697.228,33226496.79404,0
1717284600000,3815.56,3820.40,3815.38,3817.49,9069.588,1717286399999,34627083.81060,24613,3986.010,15217837.23339,0
