open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1701388800000,2051.77,2053.15,2044.75,2046.80,38170.304,1701390599999,78192642.91158,39486,16222.330,33230036.85201,0
1701390600000,2046.81,2049.77,2044.35,2049.06,23181.694,1701392399999,47467435.43390,27883,11789.954,24142816.50338,0
1701392400000,2049.06,2074.69,2046.72,2073.35,143552.662,1701394199999,296283680.08436,109860,80416.807,165938237.27592,0
1701394200000,2073.35,2091.33,2072.34,2087.98,186704.265,1701395999999,388826010.77645,144657,96225.457,200409325.10106,0
1701396000000,2087.99,2089.94,2082.47,2084.83,73787.783,1701397799999,153925080.89701,64795,32203.306,67181190.29581,0
1701397800000,2084.84,2093.77,2084.19,2085.76,66627.299,1701399599999,139204516.14470,63979,33550.001,70102460.19016,0
1701399600000,2085.76,2092.68,2082.81,2089,45918.887,1701401399999,95871827.91068,46672,22780.883,47560744.38074,0
1701401400000,2089,2092.96,2087.07,2092.10,31073.884,1701403199999,64942011.04972,31033,14824.392,30982387.63623,0
1701403200000,2092.11,2099.88,2089.30,2098.56,81926.097,1701404999999,171617878.10313,66193,44064.605,92320541.15027,0
1701405000000,2098.57,2100.34,2092.33,2094.43,54618.328,1701406799999,114500562.61512,51827,26499.608,55558613.90701,0
1701406800000,2094.43,2096.75,2090.86,2094.80,38407.557,1701408599999,80387832.11173,35808,17625.042,36889619.19089,0
1701408600000,2094.81,2095.68,2089.84,2091.27,25729.153,1701410399999,53843644.40759,25229,9787.716,20482525.31155,0
1701410400000,2091.27,2092.29,2086.73,2090.53,38245.346,1701412199999,79922683.49525,32106,17371.960,36302458.48215,0
1701412200000,2090.52,2093.38,2089.65,2092.30,27895.768,1701413999999,58348046.20429,28363,14562.185,30459413.84600,0
1701414000000,2092.30,2108.83,2091.68,2100.77,127729.955,1701415799999,268451096.61356,91324,70583.109,148336099.92371,0
1701415800000,2100.77,2101.18,2089.19,2092.29,73218.662,1701417599999,153307351.95628,58122,37089.583,77651539.23070,0
