open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1730419200000,2518.37,2531.75,2517.18,2529.62,35490.711,1730420999999,89621840.19469,53447,19603.754,49498930.37422,0
1730421000000,2529.63,2533.00,2522.34,2524.39,36999.479,1730422799999,93511009.00127,57022,19175.507,48470290.01685,0
1730422800000,2524.39,2530.94,2518.35,2519.79,31292.742,1730424599999,78989388.32625,58942,14558.161,36757050.87649,0
1730424600000,2519.78,2525.78,2489.64,2501.63,177062.683,1730426399999,443913644.72187,206722,69436.304,174176534.19471,0
1730426400000,2501.62,2507.64,2467.30,2505.94,236368.749,1730428199999,587860006.06145,279702,112050.521,278755431.27995,0
1730428200000,2505.95,2512.95,2494.53,2510.25,77630.539,1730429999999,194523440.69167,106020,35664.607,89376408.99092,0
1730430000000,2510.25,2519.99,2508.32,2516.61,38114.419,1730431799999,95838779.51728,62812,21362.764,53712997.58781,0
1730431800000,2516.62,2517.76,2498.26,2503.26,46087.850,1730433599999,115505130.66076,66292,17733.123,44434606.73982,0
1730433600000,2503.26,2509.19,2501.56,2506.87,23748.653,1730435399999,59504609.93836,46429,14653.910,36717377.12048,0
1730435400000,2506.88,2516.67,2505.93,2513.58,27945.158,1730437199999,70200964.84963,44553,16549.521,41572411.64341,0
1730437200000,2513.59,2515.25,2507.75,2510.00,18877.879,1730438999999,47409174.75967,35521,9880.692,24816779.52580,0
1730439000000,2510.01,2514.87,2508.85,2510.54,20834.178,1730440799999,52323186.53460,33243,9567.353,24027582.21638,0
1730440800000,2510.54,2513.58,2500.03,2506.84,48109.889,1730442599999,120528759.57859,67129,21455.511,53761662.72200,0
1730442600000,2506.84,2513.70,2499.91,2500.50,41605.417,1730444399999,104309435.29338,57551,19620.101,49209437.63563,0
1730444400000,2500.51,2506.00,2485.32,2502.23,97909.603,1730446199999,244249643.30017,120946,49731.539,124065327.88083,0
1730446200000,2502.23,2508.45,2497.74,2504.14,39888.556,1730447999999,99864813.72432,64816,19733.556,49416339.81547,0
1730448000000,2504.13,2516.00,2501.92,2513.14,46335.920,1730449799999,116320490.74022,67313,24918.817,62556372.78822,0
1730449800000,2513.13,2515.12,2493.67,2501.07,71893.729,1730451599999,180040217.62762,65735,31009.558,77680065.94436,0
1730451600000,2501.06,2508.63,2498.77,2503.50,28321.074,1730453399999,70901668.20225,45757,13706.167,34316485.64539,0
1730453400000,2503.50,2513.68,2501.78,2511.00,32904.541,1730455199999,82560053.53293,48892,17943.021,45026932.31391,0
1730455200000,2510.99,2521.35,2509.31,2518.27,53850.082,1730456999999,135466521.41964,73895,30860.191,77632452.94788,0
1730457000000,2518.26,2525.00,2513.11,2518.76,58575.756,1730458799999,147539651.17773,81241,29273.228,73743220.06543,0
1730458800000,2518.77,2526.26,2518.16,2522.90,35804.841,1730460599999,90316271.41404,49066,18621.609,46972693.15366,0
1730460600000,2522.90,2522.90,2515.84,2515.84,21540.111,1730462399999,54266488.21668,36969,6601.650,16633485.52216,0
1730462400000,2515.85,2523.83,2515.00,2519.47,29489.801,1730464199999,74299316.37896,44728,13563.692,34174859.45605,0
1730464200000,2519.47,2543.73,2516.19,2536.82,174301.717,1730465999999,441790972.34587,169824,97309.366,246633016.90676,0
1730466000000,2536.82,2539.50,2530.02,2536.45,32765.150,1730467799999,83054774.04797,62988,14591.395,36989119.57538,0
1730467800000,2536.44,2577.00,2535.02,2574.59,226635.322,1730469599999,579762926.10016,228505,127092.535,325164614.42527,0
1730469600000,2574.59,2587.86,2561.02,2575.06,162854.917,1730471399999,419432936.37502,207326,81149.966,209037885.19909,0
1730471400000,2575.07,2582.32,2550.01,2562.00,172779.750,1730473199999,442927733.70136,192663,73538.263,188505025.12320,0
1730473200000,2562.00,2565.39,2538.50,2547.70,108055.013,1730474999999,275583168.83840,139292,44413.269,113300497.74321,0
1730475000000,2547.70,2548.02,2481.44,2500.03,331763.137,1730476799999,831985175.64388,362975,158045.258,396221945.54814,0
1730476800000,2500.03,2538.99,2498.44,2523.96,196524.160,1730478599999,495293559.62603,228374,107067.835,269831114.08304,0
1730478600000,2523.96,2529.94,2505.66,2518.61,102630.884,1730480399999,258286808.40738,150532,45766.708,115217355.51745,0
1730480400000,2518.61,2531.19,2506.91,2522.92,70428.983,1730482199999,177510408.33484,123549,35756.330,90146997.25320,0
1730482200000,2522.93,2523.58,2509.20,2513.77,44442.774,1730483999999,111755261.11397,89325,20770.288,52233383.73204,0
1730484000000,2513.77,2518.05,2508.00,2516.60,41359.909,1730485799999,103933143.51513,78884,21191.717,53259663.79098,0
1730485800000,2516.60,2518.24,2506.01,2508.59,34756.188,1730487599999,87300710.82260,64886,17298.260,43452323.84546,0
1730487600000,2508.60,2513.96,2495.10,2505.79,80394.386,1730489399999,201334114.89312,120452,39726.062,99509914.98716,0
1730489400000,2505.80,2517.75,2505.00,2514.72,37337.570,1730491199999,93798493.65874,74174,18354.491,46115899.85582,0
1730491200000,2514.71,2524.33,2512.14,2523.04,34009.903,1730492999999,85660306.44532,47721,20597.789,51888749.26121,0
1730493000000,2523.04,2528.00,2517.11,2521.15,37587.779,1730494799999,94834503.76640,46577,19853.343,50096904.78751,0
1730494800000,2521.15,2521.22,2494.61,2496.84,57644.420,1730496599999,144440528.20158,61640,21565.974,54038913.16169,0
1730496600000,2496.84,2507.88,2486.00,2506.02,61564.637,1730498399999,153573760.48102,78433,30198.599,75372528.80357,0
1730498400000,2506.01,2513.25,2503.91,2504.97,23469.488,1730500199999,58865995.53096,48018,11253.873,28232213.57893,0
1730500200000,2504.97,2514.23,2504.60,2513.21,13522.006,1730501999999,33950758.08008,34233,8427.484,21158578.52634,0
1730502000000,2513.21,2517.85,2510.31,2515.37,19388.828,1730503799999,48750114.67492,35481,11128.670,27986402.18040,0
1730503800000,2515.37,2516.55,2511.57,2511.57,10123.356,1730505599999,25450838.19526,22189,3498.814,8797071.15337,0
