open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1706745600000,2281.99,2289.25,2281.29,2283.65,39472.249,1706747399999,90217965.62643,45221,20141.822,46030984.92195,0
1706747400000,2283.65,2285.44,2270.46,2282.40,40428.111,1706749199999,92134046.99607,54037,19105.433,43544974.79553,0
1706749200000,2282.40,2283.40,2237.00,2253.36,169711.368,1706750999999,382826114.89356,152101,68488.120,154464712.78865,0
1706751000000,2253.35,2256.42,2242.40,2244.23,57942.257,1706752799999,130368840.33806,83148,29158.062,65620835.28498,0
1706752800000,2244.22,2255.86,2241.54,2254.29,45976.704,1706754599999,103408178.44765,58697,24405.362,54889604.87388,0
1706754600000,2254.28,2259.95,2249.58,2259.77,31246.450,1706756399999,70478042.83461,39784,21189.905,47796009.71985,0
1706756400000,2259.78,2261.42,2255.79,2257.92,27193.293,1706758199999,61425502.98113,34538,13635.048,30803120.73280,0
1706758200000,2257.91,2262.48,2255.06,2256.12,19144.662,1706759999999,43240449.95339,29611,8759.427,19786703.50166,0
1706760000000,2256.12,2259.92,2254.92,2258.31,18422.212,1706761799999,41595798.70251,26423,9748.452,22010581.45720,0
1706761800000,2258.31,2267.55,2250.65,2261.75,48385.579,1706763599999,109387622.31267,54254,26513.520,59937094.34656,0
1706763600000,2261.74,2268.04,2260.80,2263.12,24999.282,1706765399999,56620132.91046,35965,14246.656,32268229.31511,0
1706765400000,2263.13,2267.91,2262.19,2267.83,11949.820,1706767199999,27072596.45311,23475,6312.951,14303393.25865,0
1706767200000,2267.84,2273.47,2267.37,2269.28,38557.874,1706768999999,87521886.92584,49907,19203.208,43590134.68940,0
1706769000000,2269.27,2273.85,2268.78,2273.70,18027.474,1706770799999,40951013.29255,33494,7713.194,17520153.69793,0
1706770800000,2273.67,2276.88,2271.62,2275.87,20292.221,1706772599999,46155709.80373,33751,9983.886,22710021.74567,0
1706772600000,2275.87,2276.24,2270.42,2270.92,26317.056,1706774399999,59827711.16864,32826,8855.164,20129000.76872,0
1706774400000,2270.92,2272.55,2265.60,2270.04,28104.675,1706776199999,63771975.94992,35414,14405.416,32686045.37547,0
1706776200000,2270.03,2272.77,2269.04,2271.73,17191.699,1706777999999,39038972.12601,26314,9367.996,21270867.14994,0
1706778000000,2271.72,2275.20,2267.75,2271.26,18957.947,1706779799999,43070298.28908,28227,10669.806,24242878.46653,0
1706779800000,2271.26,2272.61,2263.97,2267.23,22450.156,1706781599999,50889328.78366,32428,9209.723,20874522.02142,0
1706781600000,2267.23,2277.57,2265.31,2273.70,29168.720,1706783399999,66281627.54796,40173,16794.902,38161427.25608,0
1706783400000,2273.71,2274.56,2265.87,2267.02,24762.893,1706785199999,56184294.83532,34093,8742.425,19832312.02297,0
1706785200000,2267.02,2269.52,2265.56,2268.08,13660.670,1706786999999,30973499.72167,22582,5483.799,12434079.14526,0
1706787000000,2268.08,2272.00,2264.01,2265.62,25068.663,1706788799999,56837566.55546,33716,11635.764,26384870.60457,0
1706788800000,2265.62,2273.59,2261.76,2273.53,45391.444,1706790599999,102929216.27493,53234,23450.203,53184073.68821,0
1706790600000,2273.53,2273.99,2267.73,2270.00,18394.838,1706792399999,41785313.28838,31874,8378.000,19033033.99912,0
1706792400000,2269.99,2274.35,2262.40,2273.38,39667.747,1706794199999,89973675.81613,47838,19302.001,43786411.06067,0
1706794200000,2273.38,2276.80,2269.55,2271.11,32315.496,1706795999999,73445667.43249,38781,15986.248,36334893.12724,0
1706796000000,2271.11,2283.78,2269.09,2279.80,60011.376,1706797799999,136681496.47594,65424,32934.222,75006857.71530,0
1706797800000,2279.79,2301.86,2278.76,2296.56,134554.090,1706799599999,308583285.68482,118307,79603.389,182567577.53487,0
1706799600000,2296.55,2307.92,2292.94,2305.36,87666.138,1706801399999,201729018.70216,107752,45925.133,105683583.73498,0
1706801400000,2305.51,2307.56,2286.81,2288.28,67285.099,1706803199999,154429182.45153,80453,25733.621,59068874.68551,0
1706803200000,2288.29,2293.19,2278.88,2282.99,51145.218,1706804999999,116928510.90507,68354,23695.440,54180747.58137,0
1706805000000,2283.00,2292.98,2267.08,2291.40,95198.401,1706806799999,217087925.18650,93116,46396.328,105820685.45604,0
1706806800000,2291.40,2311.51,2290.17,2305.60,77613.253,1706808599999,178544055.64554,90301,44909.313,103319770.16763,0
1706808600000,2305.60,2311.00,2299.01,2304.04,55143.825,1706810399999,127094658.04425,67378,28259.478,65137846.77932,0
1706810400000,2304.04,2306.88,2294.53,2297.57,55902.060,1706812199999,128576683.23993,55066,22913.606,52709424.14413,0
1706812200000,2297.51,2300.00,2291.77,2295.15,25629.549,1706813999999,58840488.64240,38627,12460.908,28610547.01110,0
1706814000000,2295.16,2299.91,2290.45,2293.80,22484.633,1706815799999,51618751.02208,33964,11668.392,26791772.53734,0
1706815800000,2293.80,2309.00,2292.02,2303.96,36052.759,1706817599999,83001294.00150,49754,19743.751,45447049.37186,0
1706817600000,2303.97,2306.34,2298.41,2300.86,22847.282,1706819399999,52580965.18983,36502,10741.354,24720556.36933,0
1706819400000,2300.87,2303.96,2295.04,2298.57,20364.459,1706821199999,46830413.57490,30776,9343.382,21489436.22905,0
1706821200000,2298.57,2309.72,2296.11,2302.97,33110.101,1706822999999,76307425.52416,45848,17475.021,40275350.31133,0
1706823000000,2302.96,2305.40,2298.64,2303.59,13352.014,1706824799999,30737376.76981,25304,6648.307,15305578.48299,0
1706824800000,2303.59,2303.92,2299.15,2299.53,11837.812,1706826599999,27243330.62845,22752,5363.869,12344666.26537,0
