open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1725148800000,2511.91,2514.97,2506.20,2506.84,18861.868,1725150599999,47355920.02810,29095,8319.241,20886136.24007,0
1725150600000,2506.83,2511.00,2503.39,2504.47,14477.711,1725152399999,36300574.05340,30873,7545.573,18921083.86232,0
1725152400000,2504.48,2507.60,2496.25,2503.03,21886.044,1725154199999,54758632.44309,34411,10106.293,25291712.46685,0
1725154200000,2503.02,2503.03,2492.39,2492.76,20952.018,1725155999999,52309428.27630,34456,8393.297,20957875.04106,0
1725156000000,2492.75,2494.60,2475.01,2477.06,75685.792,1725157799999,187937976.21553,95666,29716.558,73793795.65954,0
1725157800000,2477.05,2487.02,2475.03,2486.49,37775.078,1725159599999,93777945.10841,53864,22882.964,56814708.99527,0
1725159600000,2486.49,2494.66,2483.88,2491.24,26021.373,1725161399999,64800678.81325,37595,15831.106,39428235.34519,0
1725161400000,2491.24,2492.50,2486.00,2487.76,14730.777,1725163199999,36664736.78075,22962,6266.064,15596237.65402,0
1725163200000,2487.76,2488.79,2475.00,2486.53,41301.231,1725164999999,102528891.38520,44186,18059.868,44845340.25796,0
1725165000000,2486.52,2490.00,2482.00,2485.43,14939.298,1725166799999,37143365.41464,27384,6535.798,16253922.34246,0
1725166800000,2485.42,2487.30,2465.00,2471.64,62620.305,1725168599999,154958118.60919,69716,23922.381,59198154.31489,0
1725168600000,2471.64,2474.72,2457.50,2463.67,96531.717,1725170399999,237971900.16289,101493,49021.876,120880129.98021,0
1725170400000,2463.67,2474.62,2463.00,2472.61,34947.834,1725172199999,86336449.63975,46970,18738.152,46287664.99298,0
1725172200000,2472.60,2477.50,2469.56,2475.50,19803.512,1725173999999,48984912.29690,32555,11049.318,27332439.58167,0
1725174000000,2475.50,2479.00,2473.09,2474.23,17538.320,1725175799999,43416549.46692,26210,8236.237,20391847.84969,0
1725175800000,2474.23,2487.10,2474.23,2485.62,28522.304,1725177599999,70787867.97516,42321,16664.292,41357875.78235,0
1725177600000,2485.63,2488.85,2480.55,2480.96,27149.644,1725179399999,67432430.67228,30716,10158.787,25239445.76507,0
1725179400000,2480.97,2481.93,2476.53,2478.90,15165.840,1725181199999,37597085.46637,25424,6975.285,17291408.44500,0
1725181200000,2478.89,2485.98,2476.38,2485.12,14310.314,1725182999999,35511083.38820,23579,7790.974,19334763.42020,0
1725183000000,2485.13,2491.96,2481.01,2482.78,38827.754,1725184799999,96563418.29265,40836,18541.964,46124188.50346,0
1725184800000,2482.78,2483.86,2470.66,2472.76,35835.992,1725186599999,88724846.18024,43935,15591.976,38608038.52047,0
1725186600000,2472.76,2474.12,2461.44,2463.86,40370.323,1725188399999,99652296.91258,47979,17152.423,42347601.24196,0
1725188400000,2463.86,2470.47,2457.60,2468.93,41871.073,1725190199999,103185125.33752,51216,21385.160,52713943.33097,0
1725190200000,2468.92,2477.90,2466.51,2476.44,29516.252,1725191999999,72953786.97404,35333,16939.851,41871908.84765,0
1725192000000,2476.45,2479.95,2469.82,2471.46,22866.652,1725193799999,56602471.54151,39051,9056.116,22420747.62006,0
1725193800000,2471.47,2475.38,2461.10,2466.11,25179.818,1725195599999,62098671.00572,38101,11901.801,29349940.63308,0
1725195600000,2466.17,2472.75,2463.37,2465.38,21632.897,1725197399999,53413614.83229,31673,11029.354,27235156.19804,0
1725197400000,2465.38,2473.39,2451.15,2471.48,81468.100,1725199199999,200542391.75477,92375,38957.284,95948557.60123,0
1725199200000,2471.48,2472.20,2436.54,2448.33,161347.923,1725200999999,395249020.14861,173660,76868.306,188318410.59597,0
1725201000000,2448.34,2465.00,2447.16,2454.45,57274.014,1725202799999,140733824.84412,77212,30013.419,73749212.91863,0
1725202800000,2454.45,2464.91,2451.94,2454.51,26102.567,1725204599999,64174071.29040,45207,13202.731,32458922.72275,0
1725204600000,2454.51,2488.99,2448.14,2479.49,105895.512,1725206399999,261973861.38602,109816,57997.952,143497351.81412,0
1725206400000,2479.49,2485.49,2465.51,2468.44,63122.965,1725208199999,156433855.42412,70089,21571.386,53456437.69596,0
1725208200000,2468.44,2475.35,2465.02,2470.91,29108.196,1725209999999,71917117.00555,43062,15346.945,37923767.29422,0
1725210000000,2470.91,2476.29,2457.14,2460.20,34843.388,1725211799999,85899397.62103,48120,14728.671,36309129.76415,0
1725211800000,2460.21,2470.04,2455.60,2469.73,25033.644,1725213599999,61648257.07847,43387,15695.511,38660090.94510,0
1725213600000,2469.74,2498.70,2467.40,2488.22,67782.632,1725215399999,168412283.29777,73479,39238.070,97525236.28188,0
1725215400000,2488.22,2497.89,2481.07,2492.63,49089.302,1725217199999,122207148.05371,68859,23023.624,57317687.77567,0
1725217200000,2492.63,2513.52,2490.49,2491.71,89556.547,1725218999999,224128328.83529,94253,45102.763,112884820.91148,0
1725219000000,2491.72,2501.70,2489.67,2500.14,21526.234,1725220799999,53708848.65870,35480,12087.667,30163003.43304,0
1725220800000,2500.14,2514.77,2498.65,2507.41,34743.415,1725222599999,87094512.99246,51230,17940.506,44972363.72403,0
1725222600000,2507.41,2508.96,2500.44,2500.60,17423.379,1725224399999,43627381.88294,32787,6853.054,17161279.14525,0
1725224400000,2500.59,2501.39,2471.86,2475.73,48014.290,1725226199999,119344481.71833,60824,17751.491,44112338.43322,0
1725226200000,2475.72,2484.69,2472.00,2484.00,19199.351,1725227999999,47595822.26446,28107,11951.765,29637307.52917,0
1725228000000,2484.01,2486.00,2428.45,2434.20,111556.674,1725229799999,273405334.21293,138990,51294.551,125667760.97203,0
1725229800000,2434.20,2436.43,2401.03,2405.09,211923.452,1725231599999,513017729.15960,212882,95278.269,230704767.56268,0
1725231600000,2405.09,2430.21,2397.23,2423.62,143163.268,1725233399999,345579092.44979,162168,78139.035,188666502.91577,0
1725233400000,2423.63,2432.39,2422.93,2424.55,38303.764,1725235199999,92974152.33091,55956,17643.472,42828832.03753,0
