open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1704067200000,2283.84,2299.16,2282.97,2292.83,50506.611,1704068999999,115835314.17798,49968,26656.941,61130382.74746,0
1704069000000,2292.83,2299.00,2290.08,2297.41,25086.572,1704070799999,57564317.57857,25227,13634.316,31284809.04076,0
1704070800000,2297.41,2302.66,2294.77,2301.04,24402.800,1704072599999,56097768.66215,23636,13496.255,31025778.25043,0
1704072600000,2301.05,2308.74,2301.05,2305.71,34189.095,1704074399999,78843857.36776,36476,17900.991,41279848.30296,0
1704074400000,2305.72,2306.95,2297.36,2298.76,25520.996,1704076199999,58721230.32570,25070,10359.484,23833772.83786,0
1704076200000,2298.76,2301.73,2293.15,2295.19,19090.332,1704077999999,43857760.25880,20609,9439.326,21689804.74880,0
1704078000000,2295.19,2296.83,2282.08,2284.40,33946.801,1704079799999,77699166.48317,35113,13319.095,30484851.45101,0
1704079800000,2284.40,2285.93,2272.04,2275.59,54612.227,1704081599999,124408358.97836,51950,27581.294,62835512.57706,0
1704081600000,2275.59,2280.72,2266.67,2273.49,49363.198,1704083399999,112257478.23663,50276,23300.768,52997934.60297,0
1704083400000,2273.48,2281.71,2273.00,2281.45,30647.253,1704085199999,69798167.25569,32555,17385.288,39596803.53564,0
1704085200000,2281.46,2285.48,2277.62,2280.60,33806.145,1704086999999,77154282.90247,33617,17747.732,40507551.10276,0
1704087000000,2280.60,2282.24,2274.10,2277.96,17410.270,1704088799999,39669056.29379,22794,7806.057,17787019.01539,0
1704088800000,2277.96,2282.44,2276.00,2277.78,27475.361,1704090599999,62603398.28041,24977,12956.642,29523390.10057,0
1704090600000,2277.78,2285.32,2277.10,2283.44,18336.221,1704092399999,41860944.23564,17118,10529.601,24038592.10289,0
1704092400000,2283.43,2288.50,2282.90,2287.74,20710.634,1704094199999,47347640.42923,25366,9906.548,22648673.72623,0
1704094200000,2287.75,2289.82,2283.82,2286.46,15967.828,1704095999999,36515900.44150,17594,7362.705,16839302.21384,0
1704096000000,2286.46,2289.29,2283.93,2284.94,16269.195,1704097799999,37204302.16737,19903,6512.880,14894744.83227,0
1704097800000,2284.94,2289.07,2281.82,2289.07,17424.926,1704099599999,39809536.46161,20154,7886.272,18019536.75479,0
1704099600000,2289.07,2294.27,2288.76,2291.56,31013.589,1704101399999,71065753.42255,31971,15210.636,34854940.87717,0
1704101400000,2291.56,2302.47,2291.56,2301.83,45491.770,1704103199999,104565828.34687,42202,23936.583,55018279.26305,0
1704103200000,2301.83,2304.76,2299.64,2301.30,36679.726,1704104999999,84454462.17230,37349,17838.061,41071475.27150,0
1704105000000,2301.30,2305.56,2301.20,2304.19,20291.612,1704106799999,46737546.10065,23852,9966.739,22957186.69032,0
1704106800000,2304.19,2307.45,2302.23,2304.30,25888.517,1704108599999,59668621.09164,28007,11823.440,27250515.19841,0
1704108600000,2304.30,2307.36,2301.01,2306.72,20553.781,1704110399999,47348805.50098,23511,9468.997,21813907.93071,0
1704110400000,2306.71,2308.89,2301.95,2305.25,20855.729,1704112199999,48071622.55622,25951,10320.452,23789464.27003,0
1704112200000,2305.24,2309.49,2300.94,2301.52,33259.469,1704113999999,76690898.39212,30250,16216.330,37398127.26881,0
1704114000000,2301.52,2309.00,2300.00,2308.50,21767.996,1704115799999,50169384.86788,23566,11975.268,27602339.76116,0
1704115800000,2308.50,2310.81,2305.88,2306.13,19247.715,1704117599999,44429457.49358,23258,9506.345,21945964.92385,0
1704117600000,2306.13,2306.64,2296.51,2301.89,37009.151,1704119399999,85160751.01685,37221,15724.838,36182228.24790,0
1704119400000,2301.89,2307.50,2301.40,2303.20,22884.170,1704121199999,52737824.14533,26365,12978.342,29910127.00592,0
1704121200000,2303.20,2311.85,2301.47,2308.32,23133.857,1704122999999,53373766.93318,27287,13465.571,31069116.57502,0
1704123000000,2308.32,2321.00,2307.79,2316.97,74646.634,1704124799999,172838440.95140,66883,40150.865,92969498.04303,0
1704124800000,2316.97,2322.24,2308.36,2312.78,71145.073,1704126599999,164735079.23921,63640,33957.979,78639075.31862,0
1704126600000,2312.79,2316.58,2310.40,2311.90,32135.430,1704128399999,74347611.79168,30322,15658.456,36230085.09345,0
1704128400000,2311.90,2319.14,2308.52,2316.67,34602.026,1704130199999,80103972.15392,33889,18700.176,43291389.12163,0
1704130200000,2316.67,2318.21,2312.49,2315.87,19423.402,1704131999999,44969111.50997,21742,8986.340,20803198.24510,0
1704132000000,2315.87,2334.43,2315.87,2331.62,95235.764,1704133799999,221672548.43177,84013,58144.124,135316659.83738,0
1704133800000,2331.52,2332.02,2325.55,2328.95,27945.527,1704135599999,65080282.80387,34804,11736.655,27332562.25517,0
1704135600000,2328.96,2332.29,2324.04,2331.28,26202.203,1704137399999,61007061.01164,33029,13388.077,31173766.20752,0
1704137400000,2331.28,2343.43,2330.12,2339.71,66246.463,1704139199999,154859665.38896,62323,38297.536,89531631.44292,0
1704139200000,2339.71,2351.34,2337.34,2345.00,85886.388,1704140999999,201388393.24517,80026,45705.609,107171196.03211,0
1704141000000,2345.00,2348.35,2340.00,2343.24,31794.695,1704142799999,74518861.09108,34724,13626.758,31938568.21220,0
1704142800000,2343.24,2349.15,2338.84,2340.38,34790.611,1704144599999,81538010.34237,36340,16759.870,39282460.07831,0
1704144600000,2340.37,2340.84,2334.30,2340.71,32931.523,1704146399999,76994983.31146,35267,14545.209,34007056.46386,0
1704146400000,2340.70,2341.96,2325.56,2332.76,35713.049,1704148199999,83313794.29722,38302,16532.701,38567965.09105,0
1704148200000,2332.76,2339.13,2332.71,2336.77,13858.706,1704149999999,32368749.98844,20277,8510.689,19879676.83840,0
1704150000000,2336.77,2352.72,2336.50,2349.83,55748.665,1704151799999,130681091.33581,57624,32153.954,75386313.01673,0
1704151800000,2349.82,2354.95,2347.62,2354.62,47413.712,1704153599999,111466784.20808,48483,25600.202,60191003.38155,0
