open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1719792000000,3436.72,3441.74,3430.93,3438.96,33252.804,1719793799999,114266478.47395,42528,16843.746,57887033.69576,0
1719793800000,3438.96,3444.54,3436.15,3442.07,19075.611,1719795599999,65626804.08413,28525,9629.607,33131362.43807,0
1719795600000,3442.07,3502.34,3438.76,3495.54,187089.925,1719797399999,651255986.25432,184531,104786.676,364632411.91563,0
1719797400000,3495.55,3519.66,3494.59,3517.57,89842.470,1719799199999,315254959.59070,108716,50421.521,176968196.63820,0
1719799200000,3517.58,3524.16,3488.68,3503.73,90755.912,1719800999999,318400608.08889,96828,39072.310,137104320.43756,0
1719801000000,3503.73,3505.84,3492.50,3501.57,49689.189,1719802799999,173901143.65523,57826,22680.557,79386282.56463,0
1719802800000,3501.58,3507.39,3499.06,3505.20,19725.188,1719804599999,69133186.59030,34691,11250.534,39432204.26399,0
1719804600000,3505.21,3505.71,3493.42,3497.27,34161.969,1719806399999,119496753.90973,43067,14373.027,50275289.42380,0
1719806400000,3497.27,3498.46,3489.87,3490.18,25863.243,1719808199999,90354710.70077,35228,12436.870,43452533.19889,0
1719808200000,3490.18,3491.29,3483.27,3485.28,27292.472,1719809999999,95161169.81485,34489,12139.203,42327566.87816,0
1719810000000,3485.28,3493.19,3483.92,3485.61,33570.530,1719811799999,117110665.63725,42184,18539.309,64678099.53084,0
1719811800000,3485.60,3490.45,3483.56,3489.91,17104.456,1719813599999,59644295.65476,23394,11207.933,39083427.35528,0
1719813600000,3489.91,3492.40,3483.20,3484.50,17616.464,1719815399999,61443675.16982,22009,7497.621,26153157.83345,0
1719815400000,3484.51,3489.90,3483.01,3487.27,15111.670,1719817199999,52681607.81062,22094,9346.028,32583094.70644,0
1719817200000,3487.28,3491.40,3484.70,3486.04,15357.816,1719818999999,53569233.82275,24431,7365.916,25695624.34744,0
