open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1717286400000,3817.49,3825.86,3815.70,3825.70,27873.965,1717288199999,106474897.79266,40739,14384.491,54954399.75275,0
1717288200000,3825.70,3838.98,3821.80,3837.48,27013.858,1717289999999,103483716.29471,37885,15307.913,58650545.16553,0
1717290000000,3837.48,3841.70,3828.83,3838.00,34412.084,1717291799999,132030352.81852,58188,17322.313,66461830.66587,0
1717291800000,3838.00,3840.59,3823.64,3826.11,19201.582,1717293599999,73570757.80660,39714,8027.371,30763096.95848,0
1717293600000,3826.12,3829.36,3816.11,3816.43,49054.690,1717295399999,187536437.43613,50706,22555.817,86246157.54755,0
1717295400000,3816.44,3819.00,3798.59,3808.97,70223.172,1717297199999,267444245.36175,75972,32326.983,123127874.92522,0
1717297200000,3808.97,3812.93,3804.85,3805.20,30631.642,1717298999999,116645826.23214,53909,15021.848,57208270.00290,0
1717299000000,3805.20,3812.62,3804.31,3809.00,21635.278,1717300799999,82397301.46196,36340,12349.550,47035253.60415,0
1717300800000,3809.00,3812.24,3806.00,3811.33,25198.094,1717302599999,95988346.25930,46294,14854.023,56587566.38285,0
1717302600000,3811.33,3823.28,3809.00,3823.12,26190.851,1717304399999,99938525.59076,56748,16891.866,64460683.91220,0
1717304400000,3823.11,3826.03,3811.11,3813.11,19663.499,1717306199999,75099509.12534,37823,7912.525,30223492.19974,0
1717306200000,3813.11,3815.47,3807.12,3807.45,21004.549,1717307999999,80022362.96801,33426,9115.630,34729866.71883,0
1717308000000,3807.46,3816.05,3806.94,3814.39,20403.853,1717309799999,77766990.97369,35180,10854.526,41372935.02369,0
1717309800000,3814.40,3817.36,3811.47,3816.98,9952.889,1717311599999,37971533.72257,23642,5418.484,20673702.62349,0
1717311600000,3816.99,3817.00,3804.58,3805.99,22750.962,1717313399999,86672069.22408,37293,9934.821,37850817.28250,0
1717313400000,3805.99,3806.00,3793.61,3795.13,40992.659,1717315199999,155756492.61279,55171,14758.650,56076347.37119,0
1717315200000,3795.13,3799.25,3784.95,3798.62,52890.456,1717316999999,200548935.86477,73630,26949.706,102204736.79409,0
1717317000000,3798.64,3803.99,3794.43,3796.45,15376.419,1717318799999,58415190.37025,32740,7898.987,30010035.77121,0
1717318800000,3796.45,3800.47,3782.90,3784.00,67174.387,1717320599999,254805417.59503,77772,30401.921,115357421.10964,0
1717320600000,3784.00,3788.37,3775.42,3782.78,48297.835,1717322399999,182643576.45749,77174,21018.725,79496970.56746,0
1717322400000,3782.78,3786.00,3772.35,3779.56,37514.003,1717324199999,141762546.68326,53136,20962.606,79227667.38663,0
1717324200000,3779.55,3785.28,3774.00,3783.99,33550.162,1717325999999,126809813.54163,46770,17993.005,68018066.99817,0
1717326000000,3784.00,3786.13,3779.00,3784.22,21481.600,1717327799999,81254804.86363,35713,11644.326,44050795.74261,0
1717327800000,3784.21,3812.00,3784.16,3806.26,68572.981,1717329599999,260661882.19341,89451,37607.291,142932597.53117,0
1717329600000,3806.27,3812.29,3790.17,3798.00,46776.047,1717331399999,177744208.94812,60054,19537.246,74244598.27562,0
1717331400000,3798.00,3800.79,3787.90,3789.60,16324.588,1717333199999,61951819.27938,36327,8054.141,30574271.58716,0
1717333200000,3789.60,3797.07,3778.40,3795.88,39362.783,1717334999999,149098804.85939,57070,20949.299,79364129.59006,0
1717335000000,3795.95,3802.95,3788.09,3798.00,18185.537,1717336799999,69037737.55416,39368,8150.697,30945384.76245,0
1717336800000,3798.00,3805.00,3792.00,3804.99,21697.300,1717338599999,82457889.44922,36951,11399.046,43324998.41656,0
1717338600000,3805.00,3812.00,3798.11,3808.44,31290.777,1717340399999,119084995.57447,53445,15940.684,60673881.63072,0
1717340400000,3808.45,3810.09,3794.35,3796.36,16592.043,1717342199999,63081556.32867,33125,6779.062,25772997.25331,0
1717342200000,3796.36,3803.78,3795.45,3801.48,9349.638,1717343999999,35521682.71215,22691,5530.434,21011934.17982,0
1717344000000,3801.53,3806.16,3790.73,3792.07,18922.085,1717345799999,71850229.18643,36052,7221.819,27429003.18365,0
1717345800000,3792.07,3796.06,3789.54,3793.66,8720.461,1717347599999,33082093.33402,26917,4546.701,17249750.25225,0
1717347600000,3793.66,3794.23,3774.43,3779.80,41773.806,1717349399999,157947349.88435,61262,19161.146,72442009.71322,0
1717349400000,3779.80,3785.18,3774.05,3774.46,19942.058,1717351199999,75351681.76285,42861,11089.634,41906859.06072,0
1717351200000,3774.45,3774.46,3753.80,3768.56,88917.241,1717352999999,334695544.61054,116585,41920.249,157796691.88135,0
1717353000000,3768.56,3776.72,3766.43,3773.58,15117.991,1717354799999,57045581.37105,41567,9658.226,36445800.97697,0
1717354800000,3773.58,3776.80,3761.66,3767.68,25544.514,1717356599999,96267073.80492,47780,10966.047,41329689.22154,0
1717356600000,3767.69,3786.00,3766.82,3784.00,19714.670,1717358399999,74509543.86638,34490,12084.932,45669678.84944,0
1717358400000,3784.00,3787.52,3769.14,3776.72,24926.768,1717360199999,94190353.47911,40016,12520.417,47310394.28512,0
1717360200000,3776.73,3789.50,3776.12,3789.50,14591.765,1717361999999,55201310.55713,25225,10022.531,37914144.44341,0
1717362000000,3789.50,3795.97,3787.08,3791.48,18847.400,1717363799999,71470920.30468,34691,10774.000,40854373.74970,0
1717363800000,3791.49,3791.80,3784.19,3785.43,9435.661,1717365599999,35736578.96411,24243,3000.378,11363182.57519,0
1717365600000,3785.44,3794.19,3784.79,3793.64,16354.425,1717367399999,61987822.76689,33155,8334.584,31590271.36341,0
1717367400000,3793.64,3799.80,3777.33,3784.24,26695.325,1717369199999,101121824.44077,52915,10695.015,40521935.81397,0
1717369200000,3784.24,3789.97,3783.32,3787.09,11465.804,1717370999999,43419982.18647,30736,5642.885,21369273.73717,0
1717371000000,3787.10,3793.28,3783.28,3783.98,28387.447,1717372799999,107505010.02299,46161,18357.911,69528237.61662,0
