open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1712016000000,3506.52,3508.44,3490.01,3498.00,43684.158,1712017799999,152911369.57182,64706,18353.142,64240557.52372,0
1712017800000,3497.99,3502.60,3472.70,3490.00,70281.602,1712019599999,244876513.94875,97160,34632.456,120671946.43031,0
1712019600000,3490.00,3506.10,3484.34,3496.26,39118.639,1712021399999,136860845.47089,61828,21179.089,74105365.15618,0
1712021400000,3496.26,3500.84,3489.53,3495.89,16792.747,1712023199999,58688486.35876,38479,8314.635,29062051.30384,0
1712023200000,3495.89,3495.89,3442.70,3444.28,79186.093,1712024999999,274386008.47140,93126,31227.983,108221476.52468,0
1712025000000,3444.27,3451.59,3315.45,3367.77,508897.505,1712026799999,1714408566.35746,508434,217974.514,734614878.94564,0
1712026800000,3367.77,3384.51,3352.88,3367.20,94649.658,1712028599999,318772134.29056,166145,48022.420,161753858.17738,0
1712028600000,3367.19,3375.85,3357.90,3367.81,58075.427,1712030399999,195522415.62567,98773,29770.607,100229192.56291,0
1712030400000,3367.80,3375.67,3348.14,3369.17,54880.727,1712032199999,184483858.95387,102905,26960.680,90630791.67135,0
1712032200000,3369.17,3385.80,3360.29,3364.80,60298.186,1712033999999,203381638.94521,90691,36111.386,121814349.67822,0
1712034000000,3364.81,3368.84,3338.64,3354.11,68008.470,1712035799999,228096722.71203,101212,32123.618,107738565.11213,0
1712035800000,3354.12,3377.08,3348.52,3371.50,39495.432,1712037599999,132806514.40918,73581,21843.392,73448945.11190,0
1712037600000,3371.50,3379.48,3368.33,3375.85,33283.956,1712039399999,112298371.45711,57027,16155.245,54509294.68793,0
1712039400000,3375.84,3390.97,3371.28,3384.12,44143.769,1712041199999,149369461.70637,64709,22591.164,76442643.13990,0
1712041200000,3384.12,3390.00,3380.31,3386.05,29733.201,1712042999999,100627001.11829,46905,12273.210,41540087.36077,0
1712043000000,3386.05,3389.94,3364.12,3364.82,52640.325,1712044799999,177648185.75767,72041,21375.309,72142098.33904,0
1712044800000,3364.81,3374.22,3355.02,3368.36,50584.275,1712046599999,170156100.64536,79021,26392.884,88803887.93771,0
1712046600000,3368.36,3373.05,3328.84,3337.33,86672.530,1712048399999,290078039.77679,121330,35430.395,118619886.55372,0
1712048400000,3337.33,3354.95,3306.65,3343.90,157356.335,1712050199999,524411890.57875,210298,72106.395,240421189.81886,0
1712050200000,3343.90,3356.56,3335.03,3347.32,47227.889,1712051999999,158037335.16680,89461,24714.939,82704975.23403,0
1712052000000,3347.32,3352.34,3327.72,3344.79,59249.668,1712053799999,197960957.42057,97640,32087.335,107237638.45418,0
1712053800000,3344.79,3344.88,3308.52,3330.83,90346.783,1712055599999,300466799.69939,123353,41814.475,139089285.32639,0
1712055600000,3330.83,3334.98,3282.00,3287.35,181290.722,1712057399999,598632111.76737,214109,81353.848,268716051.06267,0
1712057400000,3287.35,3313.01,3278.45,3311.10,105196.861,1712059199999,347010045.36870,165129,56683.300,187003502.04883,0
1712059200000,3311.11,3326.52,3301.55,3326.51,63462.731,1712060999999,210477765.42409,103229,32340.793,107261373.24461,0
1712061000000,3326.52,3326.71,3290.01,3299.65,69816.287,1712062799999,231025816.60842,98128,32151.202,106382981.14428,0
1712062800000,3299.65,3310.24,3259.02,3268.64,164254.483,1712064599999,538626907.56174,200814,74935.874,245858644.07755,0
1712064600000,3268.65,3277.39,3234.00,3273.06,203181.010,1712066399999,661885779.82326,245864,87957.517,286669548.91699,0
1712066400000,3273.06,3310.93,3271.68,3307.70,101605.629,1712068199999,334684413.04049,148228,52039.924,171426969.92689,0
1712068200000,3307.70,3320.18,3287.40,3294.81,106963.973,1712069999999,353756973.84314,149118,46034.724,152265095.20560,0
1712070000000,3294.80,3312.90,3288.43,3293.33,59623.899,1712071799999,196832160.01078,97394,31577.104,104257143.06612,0
1712071800000,3293.33,3298.00,3232.67,3241.97,162692.095,1712073599999,530543645.85490,190947,73188.465,238660180.04567,0
1712073600000,3241.97,3252.80,3212.00,3248.79,243705.404,1712075399999,788492736.13948,270809,114141.454,369413811.21431,0
1712075400000,3248.80,3272.24,3245.00,3263.50,83362.001,1712077199999,271757680.22817,127516,41930.747,136707133.70931,0
1712077200000,3263.49,3274.27,3246.52,3256.02,61265.891,1712078999999,199696139.77890,93271,31093.905,101362817.02900,0
1712079000000,3256.02,3274.51,3250.92,3271.32,48250.677,1712080799999,157289661.76714,71855,25015.374,81571296.64883,0
1712080800000,3271.31,3281.92,3258.51,3269.38,59710.492,1712082599999,195299458.44184,84227,30449.056,99618452.84209,0
1712082600000,3269.38,3286.48,3264.20,3276.51,44868.002,1712084399999,146952639.19039,70946,21314.564,69816626.41206,0
1712084400000,3276.52,3285.30,3266.46,3273.16,41406.313,1712086199999,135656881.32754,70603,19304.595,63255709.31720,0
1712086200000,3273.15,3286.52,3269.47,3279.26,37884.810,1712087999999,124205621.44187,62671,18563.008,60859861.54673,0
1712088000000,3279.19,3298.98,3272.78,3287.81,54256.222,1712089799999,178330989.61007,86317,28213.466,92734184.54468,0
1712089800000,3287.81,3287.81,3259.66,3271.62,53744.685,1712091599999,175981177.20749,73001,20918.691,68492006.73012,0
1712091600000,3271.43,3276.30,3241.60,3257.69,56508.481,1712093399999,184257856.53834,68089,23381.266,76241832.71507,0
1712093400000,3257.68,3273.85,3248.14,3268.71,35308.467,1712095199999,115213000.94045,49956,20070.324,65504634.05823,0
1712095200000,3268.71,3276.34,3261.00,3275.72,22520.969,1712096999999,73661015.05166,31269,11579.460,37878111.99226,0
1712097000000,3275.75,3304.30,3275.75,3300.02,54570.846,1712098799999,179616894.59967,64729,27336.041,89968428.80117,0
1712098800000,3300.02,3307.74,3288.32,3292.58,30436.837,1712100599999,100360253.61836,48013,15176.026,50055846.59665,0
1712100600000,3292.58,3293.50,3272.08,3280.76,41217.902,1712102399999,135190682.29663,53343,16666.103,54662870.66298,0
