open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1730505600000,2511.57,2520.28,2511.30,2517.39,20784.347,1730507399999,52297323.01549,37249,9538.384,23999353.54224,0
1730507400000,2517.40,2517.87,2513.87,2516.34,11072.721,1730509199999,27860951.76954,24915,5989.507,15071347.25226,0
1730509200000,2516.35,2520.00,2511.20,2515.26,14576.572,1730510999999,36660099.22342,27969,5885.012,14802115.96706,0
1730511000000,2515.27,2517.76,2512.18,2514.90,6945.044,1730512799999,17466717.75425,20337,3707.492,9324729.65851,0
1730512800000,2514.91,2523.80,2514.52,2522.12,19572.780,1730514599999,49314182.34375,33291,12175.714,30679104.90990,0
1730514600000,2522.12,2522.12,2512.00,2512.18,17624.575,1730516399999,44351602.26038,30343,6584.387,16570511.24346,0
1730516400000,2512.18,2515.86,2507.43,2508.96,18367.059,1730518199999,46125677.22150,29826,8156.946,20486905.42918,0
1730518200000,2508.95,2512.64,2500.60,2506.58,43980.719,1730519999999,110216286.40327,41616,15085.519,37814226.22873,0
1730520000000,2506.58,2509.12,2504.25,2505.46,13348.219,1730521799999,33463960.94380,24993,7544.434,18916422.29538,0
1730521800000,2505.46,2506.37,2501.72,2504.93,14936.959,1730523599999,37400859.20031,28994,7783.498,19490277.61850,0
1730523600000,2504.93,2508.50,2498.86,2506.24,19290.417,1730525399999,48298886.17693,32443,10078.037,25239851.16695,0
1730525400000,2506.24,2513.57,2506.24,2512.99,20919.746,1730527199999,52530351.16139,31663,10914.556,27405071.96182,0
1730527200000,2513.00,2513.79,2505.55,2507.93,13465.874,1730528999999,33786634.65834,25793,4723.839,11852343.42055,0
1730529000000,2507.93,2511.77,2504.96,2511.76,10886.397,1730530799999,27312276.43009,23195,6337.276,15902190.17915,0
1730530800000,2511.77,2512.02,2505.35,2507.33,11787.025,1730532599999,29563909.57824,24136,3871.063,9710720.94840,0
1730532600000,2507.32,2510.19,2505.36,2507.20,13304.383,1730534399999,33363979.27284,22293,7312.805,18338310.68371,0
1730534400000,2507.20,2510.18,2497.80,2499.56,34852.594,1730536199999,87250733.42176,41607,18094.663,45306142.55403,0
1730536200000,2499.57,2502.32,2495.00,2495.48,24901.440,1730537999999,62215789.61447,39194,11248.706,28109790.94200,0
1730538000000,2495.48,2503.82,2491.00,2503.45,31203.176,1730539799999,77930879.98569,49110,17225.256,43033762.50389,0
1730539800000,2503.45,2505.00,2494.99,2497.00,20436.759,1730541599999,51077869.91421,34424,7618.312,19044116.37058,0
1730541600000,2497.01,2500.24,2492.60,2496.43,28569.404,1730543399999,71308289.19335,37024,16683.435,41639960.67685,0
1730543400000,2496.44,2502.14,2495.73,2501.89,11859.030,1730545199999,29646828.91245,27002,6549.661,16374837.68039,0
1730545200000,2501.89,2504.92,2499.65,2503.41,15028.417,1730546999999,37612758.18450,25733,9057.684,22670785.12290,0
1730547000000,2503.41,2506.27,2499.10,2501.81,18296.607,1730548799999,45790765.88334,25785,8241.433,20630501.64514,0
1730548800000,2501.81,2504.17,2494.08,2494.89,20670.122,1730550599999,51649212.91101,32043,6906.445,17260006.70842,0
1730550600000,2494.90,2498.00,2482.63,2488.01,77328.743,1730552399999,192502838.99719,106246,34615.294,86184958.61905,0
1730552400000,2488.00,2498.54,2480.26,2498.34,58093.309,1730554199999,144756312.72065,74391,27464.449,68447825.72288,0
1730554200000,2498.34,2498.34,2467.10,2479.71,216964.982,1730555999999,538310524.78197,180928,94160.034,233643694.09756,0
1730556000000,2479.71,2488.08,2475.54,2483.19,50037.834,1730557799999,124165296.71090,81193,21180.418,52566578.84479,0
1730557800000,2483.20,2489.88,2475.94,2489.66,45815.540,1730559599999,113734756.92025,75379,22447.208,55748104.92752,0
1730559600000,2489.65,2490.26,2477.42,2487.11,34615.670,1730561399999,86010033.77144,62987,17338.682,43083628.41348,0
1730561400000,2487.11,2491.88,2481.49,2488.18,23899.534,1730563199999,59442356.69720,48211,11338.592,28203210.54853,0
1730563200000,2488.18,2492.92,2482.07,2489.61,23203.396,1730564999999,57726369.19442,43887,11162.987,27770488.38345,0
1730565000000,2489.60,2497.25,2489.45,2494.09,26033.516,1730566799999,64912556.55535,40706,13847.126,34529171.30415,0
1730566800000,2494.08,2494.93,2486.00,2487.73,16131.771,1730568599999,40179270.21508,31258,5144.610,12812809.10138,0
1730568600000,2487.72,2491.00,2479.08,2485.42,30618.463,1730570399999,76026347.03768,46013,12169.919,30220700.53076,0
1730570400000,2485.41,2489.99,2478.76,2484.32,16233.498,1730572199999,40324401.10615,40501,8189.068,20344118.50283,0
1730572200000,2484.31,2491.35,2484.31,2486.71,13054.345,1730573999999,32480946.31828,29551,7316.624,18204029.98414,0
1730574000000,2486.70,2490.52,2485.00,2487.86,9584.589,1730575799999,23850564.00478,23045,4834.059,12029801.78004,0
1730575800000,2487.87,2494.26,2487.45,2492.73,16726.539,1730577599999,41670776.92304,28775,11018.954,27450756.77269,0
1730577600000,2492.73,2496.49,2490.82,2492.46,11537.017,1730579399999,28773787.87715,27691,5481.950,13673729.11889,0
