open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1725235200000,2424.55,2440.00,2421.80,2438.48,64822.467,1725236999999,157615376.95349,79747,39293.829,95541229.90588,0
1725237000000,2438.39,2454.66,2425.58,2439.88,97502.242,1725238799999,238044824.15900,107461,50013.461,122118402.31073,0
1725238800000,2439.89,2446.05,2431.60,2436.40,32847.723,1725240599999,80119833.03271,55719,17320.301,42253202.58848,0
1725240600000,2436.39,2442.69,2430.77,2439.24,32068.787,1725242399999,78154053.06816,48839,16755.660,40832470.35473,0
1725242400000,2439.24,2450.94,2435.81,2440.30,41917.933,1725244199999,102519549.53471,60706,21687.530,53041157.07398,0
1725244200000,2440.29,2440.30,2430.01,2436.08,27389.660,1725245999999,66674641.57742,46116,13323.217,32433053.00413,0
1725246000000,2436.08,2451.10,2435.97,2448.00,36887.166,1725247799999,90253536.67439,54448,19432.553,47536697.68927,0
1725247800000,2448.00,2450.01,2438.55,2449.15,28159.016,1725249599999,68846724.82820,49383,15107.165,36934873.98920,0
1725249600000,2449.15,2450.00,2440.12,2442.72,30749.956,1725251399999,75206436.20642,48160,14543.175,35566867.68407,0
1725251400000,2442.72,2443.66,2433.87,2434.49,25192.820,1725253199999,61411312.37215,42902,11525.668,28097654.17861,0
1725253200000,2434.49,2448.97,2434.25,2447.41,24467.500,1725254999999,59751674.70863,37460,14157.305,34562255.06647,0
1725255000000,2447.41,2465.96,2442.94,2453.19,74002.357,1725256799999,181671758.66178,81110,36493.791,89575386.31960,0
1725256800000,2453.19,2457.68,2444.00,2447.05,50111.855,1725258599999,122727370.81669,48646,22339.684,54702664.99152,0
1725258600000,2447.05,2451.28,2443.71,2445.39,21085.310,1725260399999,51614110.61945,28379,8321.634,20371746.46374,0
1725260400000,2445.39,2450.00,2436.50,2438.82,42090.793,1725262199999,102789798.30373,44194,18817.152,45951087.35600,0
1725262200000,2438.81,2443.29,2432.00,2439.94,36316.559,1725263999999,88490959.00009,50887,17182.991,41875915.68400,0
1725264000000,2439.94,2464.99,2437.26,2464.46,68623.001,1725265799999,168404436.43651,82034,39370.727,96626076.67986,0
1725265800000,2464.46,2475.00,2464.11,2467.50,74383.877,1725267599999,183742741.98233,95406,36381.201,89868944.23036,0
1725267600000,2467.50,2473.33,2460.33,2467.80,31832.911,1725269399999,78528843.53321,50471,15281.308,37696221.01495,0
1725269400000,2467.80,2520.04,2465.20,2515.00,221635.725,1725271199999,552975146.88302,197404,125045.994,311820926.88487,0
1725271200000,2515.00,2537.57,2509.00,2530.95,152186.108,1725272999999,383744382.23397,156675,77625.058,195777044.57874,0
1725273000000,2530.96,2532.00,2518.00,2523.91,62115.193,1725274799999,156814512.92984,72222,32636.446,82407916.59347,0
1725274800000,2523.91,2527.00,2516.93,2527.00,42436.033,1725276599999,107008897.68250,55739,23375.827,58953959.44155,0
1725276600000,2527.00,2527.00,2514.60,2514.75,43928.432,1725278399999,110623144.99166,50932,15992.412,40273537.89614,0
1725278400000,2514.75,2523.00,2509.39,2521.06,61971.437,1725280199999,155984448.13649,55705,33713.975,84886700.54124,0
1725280200000,2521.06,2523.52,2516.22,2519.86,41282.827,1725281999999,104019099.81275,42997,19733.344,49728955.49091,0
1725282000000,2519.85,2522.32,2508.00,2511.84,38335.129,1725283799999,96379264.62095,45834,20275.862,50975376.13624,0
1725283800000,2511.85,2514.13,2503.30,2503.83,60902.411,1725285599999,152647078.01723,59448,25813.097,64701853.00398,0
1725285600000,2503.85,2508.38,2491.28,2507.69,72109.465,1725287399999,180243268.66681,85915,37215.157,93028892.77638,0
1725287400000,2507.70,2527.22,2507.20,2518.49,92611.683,1725289199999,233090975.54627,111896,49251.256,123962365.77167,0
1725289200000,2518.50,2524.59,2513.20,2515.55,40535.069,1725290999999,102115908.80045,59252,19791.748,49857285.17528,0
1725291000000,2515.56,2525.00,2511.40,2512.29,38767.752,1725292799999,97626402.29634,48189,19061.561,48012554.38544,0
1725292800000,2512.29,2520.70,2510.00,2510.03,25457.505,1725294599999,64016609.57354,38609,11320.730,28473992.20852,0
1725294600000,2510.03,2516.49,2504.22,2510.61,30878.880,1725296399999,77479361.11140,45394,13514.969,33911958.37941,0
1725296400000,2510.61,2519.51,2510.36,2519.50,19104.269,1725298199999,48041470.25639,33894,11704.270,29435214.91624,0
1725298200000,2519.51,2524.00,2514.53,2521.57,23508.967,1725299999999,59225707.51688,40090,11671.371,29402462.40632,0
1725300000000,2521.56,2530.00,2518.30,2522.37,29628.200,1725301799999,74768056.90996,44417,15009.653,37884961.50904,0
1725301800000,2522.37,2524.15,2514.33,2522.55,26987.551,1725303599999,68009048.67774,36123,15543.969,39176975.91393,0
1725303600000,2522.55,2525.42,2518.00,2522.99,13847.250,1725305399999,34918626.51728,24745,7709.552,19443453.19606,0
1725305400000,2522.99,2525.78,2520.44,2523.39,8823.211,1725307199999,22258273.02547,20440,4792.408,12089968.34112,0
1725307200000,2523.39,2536.00,2521.00,2530.40,29601.827,1725308999999,74891759.27080,41791,17244.853,43628961.24830,0
1725309000000,2530.40,2564.49,2528.88,2553.26,117749.174,1725310799999,299984273.44947,126495,67974.925,173212238.44945,0
1725310800000,2553.25,2562.00,2541.46,2547.30,48191.582,1725312599999,122939118.68063,68920,23378.052,59633674.75084,0
1725312600000,2547.29,2547.29,2535.00,2543.47,24191.131,1725314399999,61471242.85749,40341,11540.492,29328139.17180,0
1725314400000,2543.46,2547.53,2540.32,2543.68,20544.429,1725316199999,52255281.21942,32806,11158.917,28380956.55699,0
1725316200000,2543.67,2546.00,2539.60,2543.86,17185.350,1725317999999,43696939.39879,27093,9640.582,24514071.50875,0
1725318000000,2543.87,2546.83,2537.79,2538.49,19279.932,1725319799999,49009584.98210,29015,7729.054,19652096.79685,0
1725319800000,2538.49,2539.92,2533.10,2536.74,25750.664,1725321599999,65316113.92196,32905,14821.843,37599045.52174,0
