open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1714608000000,2970.61,2980.67,2958.78,2964.46,49172.514,1714609799999,145997143.96789,73007,25959.960,77089648.38341,0
1714609800000,2964.46,2968.52,2943.20,2946.99,46308.926,1714611599999,136709474.17277,70432,18851.952,55656851.38685,0
1714611600000,2946.99,2955.99,2941.15,2941.88,29713.997,1714613399999,87637249.39277,54069,15249.060,44985678.13311,0
1714613400000,2941.87,2942.00,2890.00,2905.00,131131.567,1714615199999,381527998.02882,173621,60096.777,174792330.43531,0
1714615200000,2904.99,2917.35,2900.11,2905.58,45346.134,1714616999999,132008250.07022,71666,22339.373,65040953.99480,0
1714617000000,2905.59,2927.36,2900.20,2916.41,54540.043,1714618799999,159002852.99788,75221,34421.430,100346172.10810,0
1714618800000,2916.42,2933.46,2916.15,2932.84,28717.588,1714620599999,84015565.79799,43937,18505.522,54140929.30222,0
1714620600000,2932.84,2933.87,2921.71,2928.00,27185.892,1714622399999,79573577.80567,39759,12939.159,37874117.06535,0
1714622400000,2928.00,2935.83,2927.72,2934.83,19362.772,1714624199999,56778082.46554,35966,10098.797,29613539.08667,0
1714624200000,2934.83,2937.36,2915.96,2921.48,36303.221,1714625999999,106194075.13478,49087,17010.448,49749476.25288,0
1714626000000,2921.48,2922.00,2900.00,2901.96,45153.980,1714627799999,131486945.35886,71231,21107.772,61480526.70743,0
1714627800000,2901.95,2917.79,2896.28,2914.98,37330.017,1714629599999,108561616.71228,66409,20956.763,60960468.65493,0
1714629600000,2914.99,2923.28,2908.58,2922.27,31025.139,1714631399999,90485473.45561,61205,14781.850,43116072.37872,0
1714631400000,2922.28,2924.62,2909.47,2913.49,19758.076,1714633199999,57630292.59826,44214,9334.870,27231800.54284,0
1714633200000,2913.50,2935.16,2912.69,2928.88,45300.374,1714634999999,132605052.47007,71520,25424.949,74419673.09607,0
1714635000000,2928.87,2930.23,2918.00,2919.88,21192.036,1714636799999,61954226.37750,41525,8775.780,25661939.34789,0
1714636800000,2919.89,2943.13,2915.09,2940.37,41632.891,1714638599999,122044568.34469,68036,23615.027,69237492.51116,0
1714638600000,2940.38,2944.80,2934.56,2940.45,32480.215,1714640399999,95481702.73392,53384,17661.663,51926684.14703,0
1714640400000,2940.45,2946.13,2932.80,2940.59,25405.680,1714642199999,74705267.56453,47797,12057.645,35463469.36743,0
1714642200000,2940.59,2947.52,2935.32,2945.00,23097.983,1714643999999,67954476.46795,44669,11588.672,34098919.23231,0
1714644000000,2945.00,2951.30,2938.90,2944.84,25844.997,1714645799999,76114699.21583,52106,13017.761,38345853.59271,0
1714645800000,2944.83,2969.90,2935.88,2964.31,88747.806,1714647599999,262414483.35711,97733,57027.699,168683636.90358,0
1714647600000,2964.31,3007.64,2963.65,2990.46,183338.147,1714649399999,547935325.39172,198575,107237.049,320481227.80620,0
1714649400000,2990.46,3002.22,2973.52,2994.44,87824.122,1714651199999,262422231.17296,121360,45894.371,137195661.12588,0
1714651200000,2994.44,3012.00,2985.75,2986.46,99966.705,1714652999999,299700973.27088,136859,48405.838,145147554.17163,0
1714653000000,2986.47,2999.98,2979.41,2981.19,53760.789,1714654799999,160678772.23938,93253,23368.147,69851349.33752,0
1714654800000,2981.20,2987.83,2972.01,2981.59,57470.654,1714656599999,171230929.15783,86506,28101.293,83732920.00667,0
1714656600000,2981.58,2983.30,2955.34,2964.59,84847.034,1714658399999,251758263.22643,133540,39187.289,116306700.19833,0
1714658400000,2964.59,2975.40,2951.08,2973.69,76307.285,1714660199999,226095179.31051,134273,39023.435,115646588.78389,0
1714660200000,2973.70,2996.83,2969.38,2990.77,95636.631,1714661999999,285540666.53556,146202,50019.983,149333289.33718,0
1714662000000,2990.77,2999.88,2983.85,2998.89,55605.072,1714663799999,166452089.70726,103206,26631.755,79737544.37774,0
1714663800000,2998.89,2999.20,2986.15,2988.65,47707.374,1714665599999,142763369.13181,73777,19375.671,57983447.91792,0
1714665600000,2988.66,2993.74,2975.52,2993.74,53810.389,1714667399999,160547796.73881,87385,25148.148,75054158.19855,0
1714667400000,2993.75,2993.75,2975.02,2979.99,36374.369,1714669199999,108513431.08540,59429,17111.774,51050312.40727,0
1714669200000,2979.99,2997.99,2973.44,2987.96,35518.510,1714670999999,106078338.92711,60183,20264.214,60538494.11006,0
1714671000000,2987.99,2996.34,2980.18,2991.23,27293.834,1714672799999,81567138.34754,51682,13698.336,40941388.24913,0
1714672800000,2991.24,2999.93,2970.00,2978.91,45020.830,1714674599999,134389904.75084,74229,20771.953,62018911.77536,0
1714674600000,2978.92,3006.00,2972.05,2990.47,55270.691,1714676399999,165387478.77851,78888,32253.630,96541003.46039,0
1714676400000,2990.46,2991.58,2979.20,2988.11,24317.830,1714678199999,72599547.54964,51034,12327.061,36804822.37436,0
1714678200000,2988.11,2999.88,2980.83,2998.45,19671.539,1714679999999,58828628.38919,50499,10752.005,32156828.94528,0
1714680000000,2998.44,3000.94,2984.30,2986.56,29932.423,1714681799999,89623230.76660,50863,14441.163,43249145.35151,0
1714681800000,2986.55,2989.40,2967.54,2984.62,59990.096,1714683599999,178795810.36376,84012,28999.472,86425050.48745,0
1714683600000,2984.61,2995.33,2983.05,2993.01,19389.072,1714685399999,57998672.56795,35766,10489.357,31373981.54685,0
1714685400000,2993.00,3016.38,2989.03,2995.20,50507.895,1714687199999,151732852.45173,73451,26401.503,79335445.66017,0
