open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1704153600000,2354.63,2386.28,2349.57,2374.00,188320.904,1704155399999,445911928.15547,168657,99964.546,236752230.65235,0
1704155400000,2374.00,2396.49,2373.05,2392.14,123682.850,1704157199999,295008628.50585,112962,67686.859,161461550.17307,0
1704157200000,2392.14,2402.64,2382.42,2392.21,116685.402,1704158999999,279188297.69030,111014,58716.684,140502160.12250,0
1704159000000,2392.23,2393.50,2374.30,2382.05,77784.137,1704160799999,185311835.94980,73284,37171.743,88566258.60468,0
1704160800000,2382.05,2384.79,2377.14,2383.49,40047.415,1704162599999,95379187.56591,41686,21226.821,50557622.44712,0
1704162600000,2383.49,2385.00,2378.53,2385.00,37340.625,1704164399999,88965318.23820,37577,19509.047,46484129.89715,0
1704164400000,2385.00,2387.24,2373.54,2379.49,51047.396,1704166199999,121409387.00641,51504,25739.938,61227702.69753,0
1704166200000,2379.49,2390.95,2377.29,2388.45,46604.810,1704167999999,111151022.57259,47638,25629.284,61126865.70174,0
1704168000000,2388.46,2389.87,2380.41,2385.32,33047.821,1704169799999,78797054.02341,40379,13864.675,33054659.37792,0
1704169800000,2385.32,2393.16,2382.80,2389.75,34917.155,1704171599999,83387482.67443,36462,18165.982,43387472.95179,0
1704171600000,2389.75,2394.99,2387.34,2391.45,30817.188,1704173399999,73689637.44598,35060,14274.841,34135585.39528,0
1704173400000,2391.44,2392.36,2379.55,2379.80,43767.710,1704175199999,104343041.51164,41037,17897.302,42662929.85919,0
1704175200000,2379.81,2386.11,2376.45,2383.84,39129.159,1704176999999,93148295.56041,36921,18953.609,45123174.21649,0
1704177000000,2383.84,2384.13,2375.66,2375.66,16907.850,1704178799999,40243144.17174,24669,6978.521,16611700.09722,0
1704178800000,2375.67,2389.98,2375.66,2383.38,40134.826,1704180599999,95648245.13415,43113,21905.148,52202505.72985,0
1704180600000,2383.38,2391.36,2379.27,2387.83,42412.716,1704182399999,101187331.21101,41811,21733.815,51867952.25427,0
1704182400000,2387.84,2423.20,2382.20,2420.77,151810.280,1704184199999,365293308.17668,135121,84102.809,202408909.42579,0
1704184200000,2420.78,2434.49,2420.01,2429.28,125443.482,1704185999999,304602685.46496,128910,62353.769,151410981.23172,0
1704186000000,2429.27,2431.26,2421.81,2425.57,59541.631,1704187799999,144441164.18976,63001,29534.371,71644798.80915,0
1704187800000,2425.57,2427.33,2414.62,2417.03,67956.253,1704189599999,164436070.36242,66541,33276.377,80520640.65285,0
1704189600000,2417.02,2419.91,2407.86,2410.55,55618.520,1704191399999,134226874.45016,55926,28671.593,69196188.86306,0
1704191400000,2410.56,2411.36,2396.00,2401.54,77364.245,1704193199999,185921806.45937,78120,34628.799,83222112.12136,0
1704193200000,2401.53,2405.85,2398.00,2400.72,58381.742,1704194999999,140215565.92125,50155,26165.638,62853949.31342,0
1704195000000,2400.71,2402.59,2382.01,2394.28,107721.480,1704196799999,257632635.73413,92430,50719.446,121307698.10637,0
1704196800000,2394.28,2403.84,2392.80,2403.36,59836.755,1704198599999,143530257.03615,67106,35276.038,84618004.62205,0
1704198600000,2403.35,2407.81,2385.22,2390.07,115903.000,1704200399999,277710294.56400,93540,58336.027,139786109.62724,0
1704200400000,2390.06,2399.75,2385.60,2398.24,75145.488,1704202199999,179873622.20140,61017,38303.833,91697199.83931,0
1704202200000,2398.25,2403.84,2395.74,2400.94,45466.280,1704203999999,109119318.54869,48354,24155.102,57979139.44275,0
1704204000000,2400.93,2406.00,2390.02,2394.40,53332.196,1704205799999,127928204.16425,53445,24953.514,59875011.43967,0
1704205800000,2394.40,2394.84,2356.39,2369.15,264843.206,1704207599999,628392755.44405,210305,116274.899,275904859.40356,0
1704207600000,2369.29,2372.99,2353.47,2360.56,132318.224,1704209399999,312778540.02969,132307,60969.149,144135146.87522,0
1704209400000,2360.55,2371.00,2356.00,2359.60,69310.223,1704211199999,163919354.41727,74024,34302.870,81128828.07269,0
1704211200000,2359.61,2363.57,2352.32,2362.97,91003.793,1704212999999,214488414.68394,92122,46179.990,108848052.05964,0
1704213000000,2362.97,2372.09,2360.17,2370.20,67131.527,1704214799999,158862987.97721,64152,33989.050,80437493.91018,0
1704214800000,2370.20,2370.25,2362.54,2364.01,33567.039,1704216599999,79436850.50104,40624,15174.275,35907865.88233,0
1704216600000,2364.01,2365.30,2353.00,2359.49,63083.367,1704218399999,148796490.56172,66894,29920.586,70577778.66721,0
1704218400000,2359.50,2369.56,2357.27,2365.30,50369.265,1704220199999,119024564.55697,51863,26313.604,62181141.62798,0
1704220200000,2365.31,2372.37,2364.16,2367.96,42105.311,1704221999999,99742427.87990,45832,23956.447,56748726.71741,0
1704222000000,2367.96,2374.99,2356.47,2362.34,58027.982,1704223799999,137321076.83419,60158,25947.027,61420201.90103,0
1704223800000,2362.34,2374.37,2359.15,2371.24,49760.942,1704225599999,117776674.71056,52008,27928.719,66109861.54313,0
1704225600000,2371.22,2382.65,2365.06,2371.63,69513.701,1704227399999,165097455.76396,61552,32984.814,78348030.38382,0
