open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1727827200000,2446.85,2459.52,2441.17,2452.70,63327.807,1727828999999,155156248.75933,97342,37491.170,91845089.85031,0
1727829000000,2452.70,2466.65,2451.85,2462.82,53080.184,1727830799999,130611799.26924,79596,26922.862,66256263.25901,0
1727830800000,2462.82,2477.70,2459.60,2474.04,47976.575,1727832599999,118477345.69727,69512,25952.183,64096559.74720,0
1727832600000,2474.05,2481.55,2469.11,2479.93,36718.086,1727834399999,90882045.71529,62353,18806.012,46554631.02694,0
1727834400000,2479.93,2489.72,2474.33,2485.71,46503.428,1727836199999,115419744.73899,64168,27830.914,69085369.05992,0
1727836200000,2485.71,2498.00,2483.00,2491.55,65654.126,1727837999999,163609737.29833,78501,31510.059,78542051.49649,0
1727838000000,2491.54,2495.50,2483.52,2486.01,47783.360,1727839799999,118952833.75579,62297,21812.628,54304623.97149,0
1727839800000,2486.00,2495.00,2483.50,2488.51,28772.270,1727841599999,71654820.65302,43779,14774.722,36800257.32245,0
1727841600000,2488.51,2489.11,2474.00,2484.00,53579.670,1727843399999,132943031.87281,60153,22835.992,56671001.72327,0
1727843400000,2484.00,2488.00,2476.34,2485.48,32340.654,1727845199999,80292062.95018,46055,16604.343,41225650.18138,0
1727845200000,2485.49,2491.00,2479.67,2482.24,30235.963,1727846999999,75166874.54337,49724,15576.178,38725426.48623,0
1727847000000,2482.24,2482.80,2471.25,2477.04,27667.340,1727848799999,68529606.64032,45075,12768.106,31625287.85482,0
1727848800000,2477.04,2479.46,2466.00,2476.23,37351.713,1727850599999,92377008.39914,54865,19004.722,47012077.26231,0
1727850600000,2476.23,2489.52,2476.00,2484.69,42732.597,1727852399999,106205446.78526,63785,22858.678,56810751.15870,0
1727852400000,2484.70,2487.00,2473.83,2481.54,38389.235,1727854199999,95205288.45340,59654,15173.567,37631252.09233,0
1727854200000,2481.54,2492.13,2477.00,2480.75,50791.100,1727855999999,126138411.50226,68904,29586.946,73462246.69051,0
1727856000000,2480.76,2481.55,2474.00,2478.31,20503.118,1727857799999,50815392.86825,44918,10285.871,25494705.22516,0
1727857800000,2478.31,2486.25,2477.32,2479.38,18623.659,1727859599999,46227922.64628,37175,10481.293,26018482.42566,0
1727859600000,2479.37,2480.90,2462.83,2465.75,50807.125,1727861399999,125524298.75546,60230,19612.187,48454597.90887,0
1727861400000,2465.75,2467.44,2446.00,2451.55,111311.556,1727863199999,273210688.61817,123741,51419.359,126184881.08889,0
1727863200000,2451.55,2463.90,2447.05,2462.38,48734.708,1727864999999,119655457.48460,86427,26497.512,65065712.89502,0
1727865000000,2462.38,2469.87,2449.52,2450.02,46384.236,1727866799999,114071732.34081,67005,21851.002,53756396.46888,0
1727866800000,2450.02,2461.00,2440.32,2459.76,95991.012,1727868599999,235237111.73319,115529,50791.937,124521660.41182,0
1727868600000,2459.76,2465.14,2453.24,2454.20,39753.944,1727870399999,97756465.08570,67663,20403.046,50176883.99257,0
1727870400000,2454.20,2456.70,2445.00,2450.69,73864.618,1727872199999,180967725.22042,106412,36271.227,88878648.62044,0
1727872200000,2450.69,2460.63,2430.18,2434.28,140743.980,1727873999999,344143225.51491,130982,64324.396,157406708.81931,0
1727874000000,2434.27,2436.47,2418.95,2424.24,148903.884,1727875799999,361533381.95419,183687,72240.035,175440199.02058,0
1727875800000,2424.27,2455.83,2416.92,2449.52,195902.285,1727877599999,477110978.20802,226936,104149.261,253570147.88975,0
1727877600000,2449.51,2458.40,2430.53,2435.40,130277.502,1727879399999,318595012.23679,186852,64804.788,158520676.08743,0
1727879400000,2435.40,2454.29,2432.19,2433.35,69329.936,1727881199999,169346257.10262,133705,34225.544,83615962.07561,0
1727881200000,2433.34,2458.98,2432.33,2454.55,72469.787,1727882999999,177400321.63177,113525,38805.295,95023212.46231,0
1727883000000,2454.55,2462.98,2453.08,2459.43,61679.991,1727884799999,151609881.67033,99928,31424.574,77252784.75987,0
1727884800000,2459.44,2478.00,2457.87,2462.57,125726.527,1727886599999,310475386.16965,139296,65244.461,161114202.33782,0
1727886600000,2462.58,2466.20,2450.74,2452.10,47006.423,1727888399999,115515453.26942,83711,20463.197,50297821.07932,0
1727888400000,2452.11,2453.26,2439.36,2446.72,62396.591,1727890199999,152725298.33695,99231,31729.289,77679736.61695,0
1727890200000,2446.72,2448.70,2432.26,2445.80,66533.300,1727891999999,162332711.36719,89293,33593.976,81966000.65409,0
1727892000000,2445.79,2446.32,2395.47,2410.87,207446.839,1727893799999,500697768.40436,225516,101122.404,244034713.63097,0
1727893800000,2410.87,2420.90,2387.43,2388.78,123143.280,1727895599999,295935413.42748,152108,53761.768,129287071.45234,0
1727895600000,2388.79,2399.00,2373.00,2383.02,203158.042,1727897399999,484573783.40990,257133,96559.199,230399618.13162,0
1727897400000,2383.01,2392.54,2366.17,2370.61,165320.731,1727899199999,392949487.43654,226686,80507.992,191381145.73306,0
1727899200000,2370.61,2382.09,2358.47,2367.78,130132.403,1727900999999,308161475.76774,204366,62847.847,148893761.65440,0
1727901000000,2367.79,2391.69,2367.35,2384.90,85953.791,1727902799999,204592091.88507,138889,48364.519,115104497.86818,0
1727902800000,2384.90,2386.19,2362.50,2374.23,56752.292,1727904599999,134609317.35786,91137,28183.649,66828862.21999,0
1727904600000,2374.24,2382.36,2365.14,2377.67,38532.600,1727906399999,91465828.90824,58209,21335.869,50642668.36078,0
1727906400000,2377.66,2378.20,2350.00,2360.55,98551.332,1727908199999,232536557.99831,133008,38170.856,90098638.82247,0
1727908200000,2360.56,2381.25,2359.48,2380.88,32734.924,1727909999999,77665449.05944,62936,16735.132,39697526.27011,0
1727910000000,2380.88,2381.58,2370.00,2370.51,29743.848,1727911799999,70643837.12861,55916,13225.715,31414625.10588,0
1727911800000,2370.51,2371.69,2358.70,2363.00,68784.972,1727913599999,162672265.22657,68765,33363.855,78920631.27383,0
