open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1706832000000,2303.32,2320.00,2299.67,2312.56,74209.345,1706833799999,171480570.16321,79989,38785.453,89645936.57567,0
1706833800000,2312.57,2315.08,2309.30,2309.91,29276.566,1706835599999,67671305.44357,39610,12834.965,29668616.74316,0
1706835600000,2309.90,2317.27,2308.81,2313.17,24224.294,1706837399999,56037359.01581,31381,12119.117,28038270.41336,0
1706837400000,2313.17,2313.18,2305.41,2305.69,20755.198,1706839199999,47899221.97204,27904,7461.292,17218904.89009,0
1706839200000,2305.70,2307.29,2297.05,2298.15,29744.595,1706840999999,68484093.68224,36084,10652.547,24529926.86581,0
1706841000000,2298.16,2303.22,2298.16,2301.20,13351.505,1706842799999,30718940.30973,19439,7423.598,17079393.35010,0
1706842800000,2301.21,2304.29,2300.08,2303.33,12221.380,1706844599999,28133680.24149,17173,6556.219,15092750.73311,0
1706844600000,2303.33,2304.00,2300.34,2300.36,10988.354,1706846399999,25293325.41463,15990,4206.313,9683436.79358,0
1706846400000,2300.36,2304.00,2298.12,2300.84,13890.805,1706848199999,31958548.87618,21204,6490.096,14933531.19789,0
1706848200000,2300.83,2301.40,2295.45,2297.27,21277.015,1706849999999,48891988.38914,28241,9342.362,21465488.67340,0
1706850000000,2297.26,2298.97,2295.74,2298.26,11051.992,1706851799999,25389754.06525,18369,5276.754,12122511.14326,0
1706851800000,2298.26,2306.54,2296.56,2304.01,23661.338,1706853599999,54466555.34941,23484,14493.070,33364654.07045,0
1706853600000,2304.00,2307.98,2303.03,2307.72,23151.609,1706855399999,53375385.16656,26473,14594.173,33650978.17782,0
1706855400000,2307.71,2313.70,2306.21,2309.29,24228.768,1706857199999,55952891.56063,32859,13960.211,32240435.31169,0
1706857200000,2309.29,2315.20,2307.05,2313.72,40795.279,1706858999999,94292001.10576,40634,20008.127,46240128.07051,0
1706859000000,2313.72,2318.90,2312.51,2312.51,32433.936,1706860799999,75122508.76766,39295,15297.141,35434640.16466,0
1706860800000,2312.51,2314.13,2306.27,2310.29,25497.466,1706862599999,58913912.90544,34162,12195.955,28181864.59413,0
1706862600000,2310.29,2312.18,2304.75,2309.72,19620.362,1706864399999,45284738.85026,24790,7133.296,16466930.97011,0
1706864400000,2309.72,2312.73,2306.32,2312.04,16043.526,1706866199999,37051144.42454,23216,8106.565,18725290.91587,0
1706866200000,2312.04,2312.83,2308.00,2309.15,11179.407,1706867999999,25831471.67291,19131,5509.201,12731960.95846,0
1706868000000,2309.15,2309.68,2304.07,2309.10,19223.859,1706869799999,44347929.06057,22465,8678.846,20022096.57521,0
1706869800000,2309.10,2312.29,2308.21,2311.28,16355.195,1706871599999,37784650.52692,26299,10045.367,23207302.77043,0
1706871600000,2311.27,2315.77,2308.48,2314.87,22146.599,1706873399999,51189829.33896,24923,13458.965,31112346.55680,0
