open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1701561600000,2165.26,2166.83,2162.91,2164.20,26418.394,1701563399999,57175131.61431,27123,12125.280,26239406.88942,0
1701563400000,2164.19,2168.63,2157.56,2166.70,37607.062,1701565199999,81348406.44988,35986,19289.225,41727245.80059,0
1701565200000,2166.70,2172.97,2165.09,2167.10,34779.578,1701566999999,75441136.27877,33566,17059.364,37006874.50953,0
1701567000000,2167.11,2170.88,2166.60,2169.96,20499.847,1701568799999,44468707.84723,21480,9693.907,21027899.67067,0
1701568800000,2169.96,2177.94,2167.18,2167.52,49150.186,1701570599999,106829195.03363,46258,24095.249,52378268.48642,0
1701570600000,2167.52,2171.64,2163.39,2165.27,31544.737,1701572399999,68382782.06810,30476,15301.105,33172187.78197,0
1701572400000,2165.27,2166.45,2157.32,2159,55799.729,1701574199999,120563968.97364,43538,27608.369,59651091.09315,0
1701574200000,2159,2162.74,2155.90,2162.38,29379.394,1701575999999,63435947.17457,29525,17104.398,36933002.55937,0
1701576000000,2162.39,2163.49,2158.04,2160,32764.447,1701577799999,70805896.19601,25542,15382.846,33248205.92413,0
1701577800000,2160,2160.22,2155.87,2156.72,19931.834,1701579599999,42999917.62875,21335,8796.301,18976570.52439,0
1701579600000,2156.72,2161.64,2153.57,2161.01,29239.487,1701581399999,63080979.70298,27415,15920.105,34348835.50614,0
1701581400000,2161,2161.81,2159.15,2160.85,12100.894,1701583199999,26148801.35071,15120,5563.723,12022782.73915,0
1701583200000,2160.84,2161.53,2157.59,2159.49,16532.191,1701584999999,35702079.99909,17064,8168.891,17641656.58864,0
1701585000000,2159.49,2159.64,2152.81,2157.23,23188.156,1701586799999,49991561.16968,25711,10806.095,23297279.98596,0
1701586800000,2157.23,2159.50,2155.28,2159.28,15121.300,1701588599999,32619102.93314,17578,8529.901,18400198.92112,0
1701588600000,2159.28,2165.80,2159.28,2165.07,48591.264,1701590399999,105108684.43140,33317,25597.955,55368678.33910,0
1701590400000,2165.07,2165.92,2161.14,2165.85,23849.150,1701592199999,51602163.81361,21598,11433.419,24739340.71245,0
1701592200000,2165.84,2165.96,2160.33,2160.91,19138.666,1701593999999,41396538.91350,18132,6568.968,14206875.80446,0
1701594000000,2160.91,2165.09,2160.24,2163.09,15451.463,1701595799999,33429981.55697,15988,7891.174,17072605.84000,0
1701595800000,2163.10,2168.60,2161.53,2166.60,22077.449,1701597599999,47802790.36873,21925,11611.477,25142606.33764,0
1701597600000,2166.61,2167.60,2161.36,2166.70,22469.310,1701599399999,48640073.82181,20145,11936.463,25839430.51763,0
1701599400000,2166.70,2168.85,2165,2166.86,25665.950,1701601199999,55630306.99981,25300,14651.927,31757698.60833,0
1701601200000,2166.87,2167.13,2156.59,2158.79,32111.750,1701602999999,69418865.12612,28148,12613.332,27270904.90921,0
1701603000000,2158.78,2161.73,2157.99,2159.28,20535.095,1701604799999,44351519.55243,22196,10021.312,21644168.75993,0
1701604800000,2159.27,2159.44,2154.09,2158.13,58728.543,1701606599999,126634523.51352,33364,27796.823,59933315.56536,0
1701606600000,2158.12,2158.87,2148.17,2152.81,68472.377,1701608399999,147438106.12509,50410,31650.823,68156041.00319,0
1701608400000,2152.80,2164.25,2151.09,2162.69,78729.179,1701610199999,169957381.05047,54996,43620.708,94162042.12850,0
1701610200000,2162.68,2165.91,2156.90,2161.53,48328.627,1701611999999,104505620.83326,43005,23618.098,51074875.18196,0
1701612000000,2161.53,2163.13,2152,2157.29,60960.489,1701613799999,131485494.65538,51872,27039.963,58320340.50331,0
1701613800000,2157.29,2162.50,2151.51,2151.80,33861.578,1701615599999,73007408.21553,34935,15758.007,33980141.18791,0
1701615600000,2151.80,2156.19,2151.16,2155.55,38225.790,1701617399999,82321187.95429,33161,19825.627,42698007.04696,0
1701617400000,2155.56,2163.37,2154.94,2160.35,41383.346,1701619199999,89389675.45947,37101,20171.941,43572133.08087,0
1701619200000,2160.36,2162.38,2154.70,2162.31,41792.424,1701620999999,90204634.62009,34378,20145.333,43482523.64840,0
1701621000000,2162.30,2167.57,2158.42,2158.95,40913.033,1701622799999,88483779.45358,35919,19815.044,42863035.70125,0
1701622800000,2158.95,2160.20,2149.14,2151.18,47396.997,1701624599999,102109978.58650,39605,19520.570,42057054.00490,0
1701624600000,2151.17,2155.27,2150.59,2153.41,32853.101,1701626399999,70727290.75612,28708,17034.096,36672894.55960,0
1701626400000,2153.42,2160.59,2152.67,2160.31,26917.129,1701628199999,58066553.24613,22146,15728.851,33925074.95809,0
