open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1712102400000,3280.67,3292.35,3252.57,3255.16,85094.596,1712104199999,278589627.04914,96072,41151.388,134801829.66694,0
1712104200000,3255.16,3281.52,3203.12,3280.75,233938.185,1712105999999,757319540.23223,271162,118696.792,384423630.77026,0
1712106000000,3280.75,3291.88,3258.11,3277.20,69549.000,1712107799999,227754716.64477,109586,33283.333,109001798.99183,0
1712107800000,3277.20,3306.59,3276.41,3298.89,59430.793,1712109599999,195564570.82722,98193,28424.720,93543870.77183,0
1712109600000,3298.89,3314.09,3295.54,3306.16,54297.280,1712111399999,179454564.60090,84605,26145.752,86419285.54037,0
1712111400000,3306.17,3311.99,3298.60,3309.10,24827.072,1712113199999,82073638.43817,52081,11118.744,36761921.19780,0
1712113200000,3309.10,3327.75,3297.17,3306.58,53894.632,1712114999999,178582556.66314,73137,28812.945,95522895.71037,0
1712115000000,3306.58,3323.14,3306.25,3317.32,28358.529,1712116799999,94043893.20174,54060,14695.748,48734539.71426,0
1712116800000,3317.32,3324.28,3308.45,3320.18,31849.580,1712118599999,105637146.18622,51722,14047.858,46599958.04551,0
1712118600000,3320.19,3326.70,3312.16,3316.40,28269.633,1712120399999,93798965.27727,42978,11292.061,37476404.99004,0
1712120400000,3316.41,3318.29,3305.28,3312.61,27542.272,1712122199999,91199997.93979,42644,11986.546,39691142.03991,0
1712122200000,3312.62,3312.62,3280.88,3294.89,67741.066,1712123999999,223284957.64102,85087,26255.349,86545481.40992,0
1712124000000,3294.89,3314.30,3291.79,3312.49,37761.605,1712125799999,124831015.25510,54607,21137.221,69876408.23131,0
1712125800000,3312.49,3315.54,3304.75,3311.84,19443.662,1712127599999,64348195.82868,37044,9033.156,29895951.33335,0
1712127600000,3311.83,3321.00,3302.08,3311.86,33437.653,1712129399999,110763732.67843,55078,15537.082,51469180.77244,0
1712129400000,3311.87,3315.80,3305.75,3307.19,19757.555,1712131199999,65411887.26958,36649,8667.400,28695769.38191,0
1712131200000,3307.20,3312.80,3292.01,3311.54,36475.813,1712132999999,120422929.32571,60494,18329.515,60515975.83009,0
1712133000000,3311.54,3359.36,3311.25,3345.89,122787.067,1712134799999,410503679.21957,141292,67436.897,225424046.06343,0
1712134800000,3345.89,3356.99,3330.32,3333.27,69041.955,1712136599999,230695881.89459,78143,26686.247,89163669.75169,0
1712136600000,3333.28,3357.85,3333.06,3348.21,52784.184,1712138399999,176513019.98279,65528,28863.784,96524527.99002,0
1712138400000,3348.21,3349.97,3330.00,3332.27,27545.999,1712140199999,92002805.69323,50355,11135.290,37193877.84113,0
1712140200000,3332.27,3334.57,3303.60,3320.48,89332.406,1712141999999,296460592.27802,106524,37561.648,124667334.01923,0
1712142000000,3320.48,3321.28,3291.04,3307.99,92693.815,1712143799999,306286663.63361,120367,43717.429,144432688.99152,0
1712143800000,3307.99,3328.88,3303.68,3320.03,59534.237,1712145599999,197514701.44085,78730,32092.691,106466763.77359,0
1712145600000,3320.04,3331.46,3312.33,3315.18,32336.736,1712147399999,107382074.38892,69814,16042.256,53285679.74139,0
1712147400000,3315.17,3316.32,3302.02,3312.16,33515.844,1712149199999,110876976.78195,64508,16595.908,54901843.84420,0
1712149200000,3312.15,3321.99,3294.18,3303.73,53269.129,1712150999999,176214801.47251,74267,26330.668,87115445.75403,0
1712151000000,3303.73,3319.95,3298.84,3314.36,50883.298,1712152799999,168506064.70369,91548,27223.754,90164706.72234,0
1712152800000,3314.37,3366.38,3314.37,3358.01,155121.885,1712154599999,519973908.77158,207682,76682.058,256990685.33377,0
1712154600000,3358.01,3361.93,3343.15,3359.50,54291.396,1712156399999,182078798.53242,93286,25251.918,84702520.18732,0
1712156400000,3359.50,3360.64,3340.15,3342.02,37703.172,1712158199999,126246121.97932,68987,16044.452,53726519.25327,0
