open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1719964800000,3420.43,3428.35,3419.42,3425.79,16228.105,1719966599999,55564501.35154,24362,7582.570,25963757.49720,0
1719966600000,3425.79,3431.36,3422.87,3423.19,18241.850,1719968399999,62515508.01777,29042,7122.891,24410913.79360,0
1719968400000,3423.18,3424.98,3407.67,3415.35,43166.725,1719970199999,147433587.03070,61513,20120.319,68724988.92865,0
1719970200000,3415.35,3420.41,3375.56,3392.89,109305.098,1719971999999,370959451.93356,121731,45168.432,153287074.63525,0
1719972000000,3392.89,3393.87,3382.08,3390.55,48686.709,1719973799999,164918755.84554,70581,23129.740,78352171.38391,0
1719973800000,3390.55,3393.88,3370.06,3380.76,62477.749,1719975599999,211131814.51421,74306,27638.671,93414335.90244,0
1719975600000,3380.80,3381.86,3328.01,3355.13,197889.993,1719977399999,663770852.09602,179083,85366.997,286245920.58494,0
1719977400000,3355.13,3363.98,3351.59,3359.36,45139.006,1719979199999,151609331.82133,55747,22492.700,75557784.15461,0
1719979200000,3359.36,3361.71,3351.38,3361.70,39472.541,1719980999999,132461694.82263,43865,19047.424,63923984.38735,0
1719981000000,3361.70,3361.71,3353.00,3360.01,17805.327,1719982799999,59787586.47576,31409,9454.510,31749254.59312,0
1719982800000,3360.00,3365.95,3357.58,3359.87,24975.106,1719984599999,83966123.34085,29632,12749.495,42863333.30784,0
1719984600000,3359.87,3367.80,3358.12,3367.55,15170.802,1719986399999,51009264.11949,22243,8309.238,27939519.86952,0
1719986400000,3367.56,3370.96,3365.10,3366.37,25139.590,1719988199999,84674566.24110,27256,12638.232,42570180.65479,0
1719988200000,3366.36,3372.09,3366.23,3370.00,17274.524,1719989999999,58198873.64904,22314,9238.531,31126754.03713,0
1719990000000,3370.00,3370.00,3353.89,3353.89,30860.816,1719991799999,103736603.35818,34639,9767.851,32824766.06065,0
1719991800000,3353.89,3359.30,3351.05,3351.11,28268.632,1719993599999,94826588.43318,36590,14284.430,47922227.27312,0
1719993600000,3351.10,3356.09,3342.32,3354.89,52440.795,1719995399999,175625535.91962,56752,25752.876,86249034.01961,0
1719995400000,3354.88,3355.87,3333.00,3338.31,51435.704,1719997199999,171928750.22858,66775,22380.070,74807418.10526,0
1719997200000,3338.31,3351.31,3334.44,3347.66,43565.526,1719998999999,145698051.35675,61010,22961.491,76792452.18933,0
1719999000000,3347.66,3348.59,3339.39,3340.78,14027.346,1720000799999,46914125.94636,29224,6652.114,22249492.23952,0
1720000800000,3340.79,3341.51,3301.00,3304.67,183674.427,1720002599999,608889258.80866,185731,72883.144,241623367.42564,0
1720002600000,3304.68,3313.68,3281.00,3312.69,147565.012,1720004399999,486974138.34495,151077,72608.850,239675208.21474,0
1720004400000,3312.69,3312.70,3294.02,3294.59,53111.905,1720006199999,175546293.80144,73838,25801.032,85297653.30659,0
1720006200000,3294.59,3312.46,3290.16,3306.07,46518.165,1720007999999,153544389.92912,58969,27009.265,89180204.18209,0
1720008000000,3306.07,3306.65,3292.54,3296.87,34527.764,1720009799999,113897120.49618,56767,16209.034,53466108.75572,0
1720009800000,3296.88,3299.99,3272.92,3288.99,126141.445,1720011599999,414399049.28176,127001,60189.173,197771894.09711,0
1720011600000,3288.99,3307.64,3280.57,3306.59,83455.875,1720013399999,275142251.78005,96874,42354.993,139620470.81053,0
1720013400000,3306.59,3319.28,3301.84,3316.60,60370.340,1720015199999,199913794.09958,84417,31501.733,104323093.99511,0
1720015200000,3316.59,3325.54,3310.00,3316.09,60347.361,1720016999999,200249521.97770,73920,30598.365,101542904.67717,0
1720017000000,3316.09,3319.71,3304.72,3305.77,49735.925,1720018799999,164664395.92851,49101,20315.718,67245795.67222,0
1720018800000,3305.76,3317.10,3292.54,3311.45,69699.574,1720020599999,230428531.49252,72326,32671.196,108001503.43949,0
1720020600000,3311.44,3313.28,3295.48,3302.59,35654.438,1720022399999,117797953.01029,49054,17331.918,57264434.77162,0
1720022400000,3302.59,3321.20,3295.74,3319.55,39797.928,1720024199999,131693071.96283,55700,23373.424,77354813.13723,0
1720024200000,3319.54,3321.31,3306.61,3314.03,27446.570,1720025999999,90934900.86692,44701,12123.008,40166598.88513,0
1720026000000,3314.04,3316.28,3307.65,3309.01,17065.887,1720027799999,56515502.83910,28407,7524.801,24920210.37305,0
1720027800000,3309.00,3309.72,3291.31,3302.38,33345.679,1720029599999,110033019.61846,44873,18380.377,60646796.10172,0
1720029600000,3302.38,3306.39,3292.40,3305.66,19698.941,1720031399999,65018070.81063,33868,11119.524,36704278.82028,0
1720031400000,3305.65,3308.53,3295.12,3306.71,21726.240,1720033199999,71783912.40918,35377,10601.845,35029376.34493,0
1720033200000,3306.71,3309.78,3251.01,3280.36,198037.030,1720034999999,649796983.02737,172319,88659.487,291106999.15727,0
1720035000000,3280.37,3290.95,3259.25,3265.24,71234.221,1720036799999,233368825.11078,82319,29325.621,96081587.17001,0
1720036800000,3265.24,3282.97,3264.65,3273.51,40181.965,1720038599999,131550624.49459,55451,21908.798,71714702.68315,0
1720038600000,3273.52,3277.74,3250.10,3258.04,54587.120,1720040399999,178209599.49373,61886,21121.536,68978710.27946,0
1720040400000,3258.05,3279.33,3251.25,3277.56,49435.647,1720042199999,161557100.12399,63144,28163.729,92041911.41456,0
1720042200000,3277.57,3305.48,3276.14,3297.37,33087.345,1720043999999,108901674.40835,48591,19483.486,64105463.46966,0
1720044000000,3297.37,3302.85,3292.39,3295.46,23382.399,1720045799999,77104739.43602,32555,9875.159,32566481.58023,0
1720045800000,3295.47,3303.68,3295.44,3300.88,13884.374,1720047599999,45826236.10519,23607,6777.722,22370463.61520,0
1720047600000,3300.88,3303.49,3296.24,3299.43,12422.978,1720049399999,40987101.70954,19036,4599.941,15176511.32895,0
1720049400000,3299.44,3299.77,3293.47,3294.75,12644.236,1720051199999,41684130.49106,20721,4462.706,14712364.31153,0
