open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1725321600000,2536.76,2538.98,2527.49,2533.65,20407.411,1725323399999,51700356.20701,34065,8416.832,21323891.94349,0
1725323400000,2533.65,2535.56,2527.15,2533.80,23210.365,1725325199999,58742695.35186,33920,12492.803,31620626.19023,0
1725325200000,2533.80,2542.89,2528.70,2531.32,28081.442,1725326999999,71197584.31449,40990,12690.096,32176382.25413,0
1725327000000,2531.32,2534.85,2526.57,2534.38,16120.438,1725328799999,40794166.77871,30665,8555.118,21652319.08553,0
1725328800000,2534.38,2552.55,2531.93,2534.82,84508.028,1725330599999,214929919.31128,93219,41922.818,106647651.30631,0
1725330600000,2534.82,2538.18,2526.73,2527.84,28710.355,1725332399999,72714381.99353,47628,13456.481,34083269.60183,0
1725332400000,2527.84,2528.58,2516.05,2517.24,37313.032,1725334199999,94138105.42298,48042,15889.819,40094882.93552,0
1725334200000,2517.23,2521.58,2513.11,2514.79,27784.975,1725335999999,69936816.27451,37142,13696.527,34477254.62151,0
1725336000000,2514.79,2518.00,2512.01,2514.18,21080.139,1725337799999,53007949.20130,34033,11300.217,28418998.71568,0
1725337800000,2514.18,2521.00,2513.00,2517.17,29299.252,1725339599999,73750603.28023,39535,15407.231,38783966.95671,0
1725339600000,2517.18,2524.14,2513.64,2522.68,25262.793,1725341399999,63660822.70996,34828,14860.272,37446869.56953,0
1725341400000,2522.68,2523.24,2517.69,2521.26,14452.496,1725343199999,36420981.23676,20839,4590.398,11568407.92071,0
1725343200000,2521.25,2521.26,2511.25,2518.53,33750.648,1725344999999,84887205.43160,37388,12177.808,30631093.30735,0
1725345000000,2518.52,2520.25,2511.31,2512.23,17358.676,1725346799999,43661318.93205,27966,6345.890,15963185.56414,0
1725346800000,2512.22,2518.80,2512.20,2516.36,17071.357,1725348599999,42954741.31887,28424,9137.527,22991387.35111,0
1725348600000,2516.36,2522.57,2516.36,2518.89,18047.307,1725350399999,45470964.67761,29866,9028.137,22746947.80338,0
1725350400000,2518.89,2519.64,2513.13,2513.41,15377.432,1725352199999,38687392.11910,25084,8142.270,20485605.28952,0
1725352200000,2513.40,2513.59,2492.00,2498.60,97402.480,1725353999999,243620667.79348,97590,40779.090,101974039.29844,0
1725354000000,2498.60,2502.82,2496.42,2498.57,30279.695,1725355799999,75692359.80854,37989,16276.945,40695099.10321,0
1725355800000,2498.56,2507.95,2497.37,2503.01,27864.761,1725357599999,69774572.03087,35893,16402.856,41074221.99251,0
1725357600000,2503.01,2511.81,2500.00,2511.36,29818.959,1725359399999,74728745.12588,38274,15802.967,39609614.71026,0
1725359400000,2511.35,2511.69,2497.67,2504.17,25045.225,1725361199999,62701472.75349,38212,10596.527,26527992.83150,0
1725361200000,2504.17,2507.46,2500.08,2507.08,14287.052,1725362999999,35781474.48232,26040,8030.904,20116483.56900,0
1725363000000,2507.08,2509.74,2503.15,2508.19,14841.631,1725364799999,37212692.58134,26659,7180.000,18003266.22061,0
1725364800000,2508.19,2511.99,2504.78,2510.20,25980.314,1725366599999,65181526.72016,37065,11150.711,27977759.57486,0
1725366600000,2510.20,2518.00,2509.40,2509.45,29126.207,1725368399999,73213503.99556,44268,14719.086,37000358.66781,0
1725368400000,2509.45,2517.15,2503.09,2504.21,27018.455,1725370199999,67829494.72728,38071,12653.412,31773885.14955,0
1725370200000,2504.22,2504.61,2457.53,2464.15,245869.228,1725371999999,609081829.77197,237008,115154.075,285262859.98894,0
1725372000000,2464.14,2468.65,2449.00,2458.86,150088.832,1725373799999,368856236.14912,172152,77311.465,190027172.65142,0
1725373800000,2458.85,2458.96,2442.02,2445.44,99943.703,1725375599999,244846617.16292,113835,46773.790,114595723.27940,0
1725375600000,2445.43,2455.74,2440.13,2445.82,65403.222,1725377399999,160109883.57011,88201,34741.262,85046679.76244,0
1725377400000,2445.81,2450.54,2434.50,2442.93,78716.906,1725379199999,192244627.04711,86252,37692.446,92078182.95104,0
