open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1709424000000,3424.43,3426.29,3412.00,3416.77,27596.356,1709425799999,94355682.61909,53774,12235.686,41840350.04532,0
1709425800000,3416.77,3435.00,3416.77,3431.15,38802.448,1709427599999,133077142.13745,69153,20208.073,69299381.81107,0
1709427600000,3431.15,3437.64,3425.69,3428.80,22145.306,1709429399999,75999481.78445,47675,10389.372,35660175.92750,0
1709429400000,3428.79,3436.43,3427.00,3434.33,15032.533,1709431199999,51596179.91598,31793,6847.293,23499882.10876,0
1709431200000,3434.33,3434.81,3415.90,3416.78,20173.368,1709432999999,69078813.48009,42286,8614.179,29495054.64864,0
1709433000000,3416.77,3424.00,3413.49,3420.06,16809.648,1709434799999,57463943.53324,40638,7939.952,27143774.20560,0
1709434800000,3420.07,3430.32,3418.60,3428.08,15207.905,1709436599999,52102859.65079,37300,7799.180,26718163.74814,0
1709436600000,3428.09,3435.38,3427.83,3434.84,22451.865,1709438399999,77062367.61523,36753,13009.483,44655332.42756,0
1709438400000,3434.83,3448.93,3431.68,3448.23,34358.082,1709440199999,118208131.77311,65945,19558.543,67292325.98084,0
1709440200000,3448.23,3450.00,3440.64,3444.36,23495.204,1709441999999,80957823.10018,47870,10018.797,34524535.90893,0
1709442000000,3444.36,3447.68,3433.83,3435.49,19535.868,1709443799999,67198872.46364,45761,8300.678,28554629.77148,0
1709443800000,3435.49,3437.34,3424.10,3424.54,28727.802,1709445599999,98503495.28674,50823,12406.211,42539356.93144,0
1709445600000,3424.54,3427.64,3411.14,3426.40,62189.439,1709447399999,212588843.13276,88208,30435.975,104056986.05430,0
1709447400000,3426.39,3429.23,3414.25,3415.21,27186.222,1709449199999,92950288.83038,49965,12657.509,43280155.41570,0
1709449200000,3415.21,3418.25,3355.88,3382.19,163833.020,1709450999999,554765555.34436,178194,67645.395,229048349.60906,0
1709451000000,3382.14,3406.13,3368.96,3394.76,121950.310,1709452799999,413572394.49533,200469,64949.591,220263347.26862,0
1709452800000,3394.76,3403.52,3377.55,3392.00,63198.812,1709454599999,214184259.93051,129920,32382.295,109748307.25984,0
1709454600000,3392.00,3404.74,3390.98,3398.27,31870.668,1709456399999,108360290.98991,69015,16141.807,54880656.34318,0
1709456400000,3398.26,3413.76,3394.84,3409.45,32769.171,1709458199999,111671874.78246,69785,17497.880,59630622.31797,0
1709458200000,3409.44,3417.79,3404.45,3410.11,26089.326,1709459999999,88997516.05933,52328,12073.555,41189885.71213,0
1709460000000,3410.10,3412.68,3399.32,3411.78,24905.951,1709461799999,84822343.69070,52126,11300.513,38490147.81853,0
1709461800000,3411.77,3413.39,3402.00,3403.33,16770.438,1709463599999,57148550.93810,39723,7434.378,25336177.64034,0
1709463600000,3403.34,3412.82,3398.52,3408.16,16816.803,1709465399999,57279148.00881,36991,8199.834,27930496.57533,0
1709465400000,3408.15,3417.60,3405.30,3416.31,19720.680,1709467199999,67298931.08905,39371,10151.890,34647017.45624,0
1709467200000,3416.31,3452.74,3414.29,3446.48,125698.152,1709468999999,432228251.91595,171708,65728.571,225987661.92843,0
1709469000000,3446.48,3449.16,3423.00,3423.25,61895.923,1709470799999,212573620.44314,109720,27402.128,94096523.98932,0
1709470800000,3423.26,3431.12,3406.08,3419.70,60655.138,1709472599999,207372268.61074,100750,28347.197,96927604.66267,0
1709472600000,3419.71,3432.56,3415.00,3431.98,28322.433,1709474399999,96979759.67243,60001,16451.910,56330311.98452,0
1709474400000,3431.94,3438.68,3426.51,3437.21,20901.818,1709476199999,71755340.54586,46045,10978.895,37697568.26239,0
1709476200000,3437.22,3439.30,3417.49,3420.80,43274.591,1709477999999,148299992.55541,70176,17469.750,59886622.04452,0
