open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1717372800000,3783.98,3785.89,3769.70,3772.00,26477.136,1717374599999,100035046.66902,48303,12325.558,46576754.58122,0
1717374600000,3772.00,3780.00,3763.00,3775.99,27750.390,1717376399999,104636398.27945,50023,14601.461,55058108.10430,0
1717376400000,3775.99,3805.00,3774.29,3797.60,56539.342,1717378199999,214474648.17903,80107,31380.278,119021907.75610,0
1717378200000,3797.60,3809.00,3793.09,3806.49,39829.247,1717379999999,151449789.81795,65084,18927.144,71976970.86764,0
1717380000000,3806.49,3824.82,3806.49,3818.00,51473.151,1717381799999,196376631.32513,81472,27426.564,104635371.57532,0
1717381800000,3818.00,3818.77,3808.00,3810.97,28019.661,1717383599999,106812883.74269,50003,11738.831,44747508.80005,0
1717383600000,3810.98,3812.63,3793.62,3797.69,36373.545,1717385399999,138211521.77610,59315,14993.069,56969329.06684,0
1717385400000,3797.68,3807.48,3797.68,3802.13,16594.921,1717387199999,63104803.55544,34000,8689.722,33045337.63103,0
1717387200000,3802.13,3808.43,3797.33,3797.86,16505.302,1717388999999,62766679.83280,37352,8205.732,31204478.07068,0
1717389000000,3797.87,3825.00,3797.86,3820.02,45029.709,1717390799999,171832379.86669,66530,25420.882,97014630.91757,0
1717390800000,3820.02,3834.63,3815.53,3824.60,34680.521,1717392599999,132662599.96260,61666,17111.895,65472939.08544,0
1717392600000,3824.60,3828.00,3814.41,3817.59,28176.092,1717394399999,107649656.31753,46497,12441.050,47535945.30286,0
1717394400000,3817.59,3839.00,3813.51,3838.99,41587.109,1717396199999,159101078.24543,60276,25555.145,97795905.01275,0
1717396200000,3839.00,3847.42,3827.75,3829.20,64801.062,1717397999999,248633124.26382,96660,28201.516,108211064.50404,0
1717398000000,3829.20,3835.00,3816.00,3818.05,41010.748,1717399799999,156910786.54529,59285,15114.470,57828418.13865,0
1717399800000,3818.05,3826.53,3815.00,3819.99,22857.627,1717401599999,87303753.92119,38820,10719.485,40948987.89899,0
1717401600000,3820.00,3831.00,3817.03,3829.41,25544.001,1717403399999,97673357.51929,46982,14188.696,54257051.00780,0
1717403400000,3829.41,3842.73,3825.39,3827.26,38670.035,1717405199999,148317891.98918,71602,21531.396,82587874.77493,0
1717405200000,3827.25,3828.90,3815.23,3816.35,37701.763,1717406999999,144037061.10725,56033,16990.818,64909551.64456,0
1717407000000,3816.35,3823.81,3815.01,3818.00,20636.586,1717408799999,78842847.09794,35228,11146.972,42587973.18367,0
1717408800000,3818.00,3823.09,3818.00,3821.91,9886.962,1717410599999,37769050.87058,24001,4817.113,18402875.50328,0
1717410600000,3821.92,3822.98,3810.00,3812.01,27799.983,1717412399999,106035125.88945,43790,11975.247,45675364.56433,0
1717412400000,3812.00,3820.93,3807.12,3817.83,24564.812,1717414199999,93689069.39337,40877,12833.223,48952423.03210,0
1717414200000,3817.84,3821.37,3806.84,3811.61,16649.033,1717415999999,63479617.19802,36617,7877.639,30039252.57809,0
1717416000000,3811.61,3824.95,3810.91,3821.99,27928.659,1717417799999,106621450.77901,46680,15517.591,59241955.56547,0
1717417800000,3821.98,3845.00,3817.00,3844.21,77491.407,1717419599999,297081489.58046,105267,43971.770,168603760.07380,0
1717419600000,3844.20,3845.00,3831.49,3838.19,34346.457,1717421399999,131811744.27784,59891,15945.943,61196084.05926,0
1717421400000,3838.17,3854.00,3826.05,3826.12,113895.061,1717423199999,437711609.29548,139611,58524.287,224993053.87043,0
1717423200000,3826.12,3837.20,3808.00,3810.88,96817.830,1717424999999,370066150.47332,131736,43288.426,165471310.93233,0
1717425000000,3810.89,3811.77,3760.00,3771.12,238249.023,1717426799999,900921640.58615,272432,107557.847,406699112.24538,0
1717426800000,3771.11,3793.00,3767.26,3786.38,85390.501,1717428599999,323080715.96375,126044,46079.284,174339343.77630,0
1717428600000,3786.39,3798.23,3783.14,3798.22,34014.669,1717430399999,128970977.26768,69254,17896.212,67864730.98002,0
1717430400000,3798.22,3800.00,3770.00,3774.10,58429.445,1717432199999,221056588.48781,90036,23336.983,88303810.02896,0
1717432200000,3774.09,3781.00,3760.44,3771.84,64002.602,1717433999999,241330682.20013,105560,32722.449,123421623.68551,0
1717434000000,3771.85,3778.36,3760.70,3774.54,41731.713,1717435799999,157313544.30127,65460,22932.289,86456685.15339,0
