open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1727913600000,2363.00,2373.28,2351.60,2366.80,90582.975,1727915399999,213977348.43741,125375,50950.882,120368620.75364,0
1727915400000,2366.80,2381.97,2365.60,2370.99,70603.397,1727917199999,167606063.65073,123429,32865.070,78022940.11279,0
1727917200000,2370.99,2391.48,2370.29,2390.85,63565.078,1727918999999,151392320.03258,94841,38067.045,90654278.68225,0
1727919000000,2390.84,2391.91,2376.80,2383.53,42112.802,1727920799999,100421071.18089,68811,16061.842,38304865.47039,0
1727920800000,2383.53,2392.40,2380.50,2389.23,41069.161,1727922599999,98065307.60508,62055,17050.088,40713273.21498,0
1727922600000,2389.23,2397.04,2383.27,2390.49,35094.441,1727924399999,83916365.37354,54485,17861.721,42715170.46721,0
1727924400000,2390.50,2395.53,2384.34,2390.96,28744.399,1727926199999,68687029.35833,47536,12870.751,30760557.55550,0
1727926200000,2390.96,2398.65,2386.92,2398.08,39811.435,1727927999999,95228116.27540,49229,21287.818,50923607.67237,0
1727928000000,2398.08,2398.66,2390.49,2394.50,28854.114,1727929799999,69104209.99786,45283,11654.950,27911560.22963,0
1727929800000,2394.50,2402.29,2392.17,2396.40,31410.399,1727931599999,75305503.89153,43286,16365.349,39241131.58982,0
1727931600000,2396.40,2398.00,2387.38,2390.44,30782.069,1727933399999,73619915.87262,44038,12146.777,29051043.96514,0
1727933400000,2390.43,2391.68,2379.56,2382.88,55357.535,1727935199999,132056190.92755,60768,27548.745,65721791.11581,0
1727935200000,2382.88,2390.51,2378.40,2388.50,31519.744,1727936999999,75208643.90315,42261,16993.134,40551071.62768,0
1727937000000,2388.50,2392.55,2385.00,2388.03,18319.673,1727938799999,43770467.81292,34594,8493.813,20298392.44112,0
1727938800000,2388.04,2392.00,2371.81,2375.40,60386.423,1727940599999,143677881.85269,69399,27897.804,66387338.89019,0
1727940600000,2375.39,2379.60,2358.00,2363.59,57878.384,1727942399999,137095698.91752,90355,25670.422,60817433.45545,0
1727942400000,2363.59,2366.40,2326.55,2335.00,234300.001,1727944199999,549018021.16021,239465,101968.694,238920722.58537,0
1727944200000,2335.01,2347.47,2328.67,2336.23,98221.167,1727945999999,229540440.57875,137400,53337.796,124657468.56891,0
1727946000000,2336.23,2349.21,2318.00,2347.18,135101.690,1727947799999,314926832.11468,184058,66258.164,154538030.36930,0
1727947800000,2347.18,2352.72,2342.24,2351.73,66536.874,1727949599999,156228030.20711,89313,34949.896,82067476.13481,0
1727949600000,2351.72,2358.02,2346.72,2350.94,47337.269,1727951399999,111306586.23241,74149,21734.270,51120842.93876,0
1727951400000,2350.95,2368.92,2350.48,2367.58,74566.947,1727953199999,175916763.54846,87976,45636.571,107666527.95826,0
1727953200000,2367.58,2369.52,2352.68,2355.68,69967.885,1727954999999,165309068.04326,84604,28359.488,66986228.37016,0
1727955000000,2355.69,2357.14,2346.24,2351.55,42380.816,1727956799999,99674636.26740,70819,17818.808,41918892.94481,0
1727956800000,2351.56,2352.42,2335.56,2347.37,89509.148,1727958599999,209913780.85283,118936,43230.010,101380376.46446,0
1727958600000,2347.38,2357.16,2344.10,2351.31,52384.627,1727960399999,123114636.58815,114847,28848.797,67812360.56437,0
1727960400000,2351.31,2356.94,2323.89,2351.99,159258.969,1727962199999,372823422.35819,190081,78201.538,183186945.73068,0
1727962200000,2352.00,2355.67,2332.21,2346.10,106361.172,1727963999999,249265250.02234,199935,54082.351,126769551.12866,0
1727964000000,2346.09,2365.00,2326.55,2328.80,189866.313,1727965799999,445381390.95068,253504,95240.744,223441693.61291,0
