open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1714694400000,2984.80,2994.00,2977.90,2979.61,26799.674,1714696199999,80000739.49325,54202,12411.955,37056487.57050,0
1714696200000,2979.61,2985.54,2976.00,2982.54,17186.353,1714697999999,51230357.96084,42396,8596.393,25627079.54025,0
1714698000000,2982.53,3009.48,2979.88,3006.52,38045.857,1714699799999,114095596.32545,68448,21204.668,63592187.23193,0
1714699800000,3006.53,3014.37,3001.61,3005.72,39445.342,1714701599999,118654417.58053,75116,17822.717,53613273.35953,0
1714701600000,3005.72,3035.00,3001.20,3014.98,89840.409,1714703399999,271545953.21843,124057,49130.616,148514914.88969,0
1714703400000,3014.98,3020.00,3006.19,3010.21,28856.681,1714705199999,86936280.01878,54933,12930.663,38956622.45106,0
1714705200000,3010.22,3022.74,3008.62,3012.99,31083.398,1714706999999,93780090.95690,57396,15394.910,46449085.66639,0
1714707000000,3013.00,3017.19,3004.01,3008.32,22961.110,1714708799999,69129978.04499,47901,9708.774,29232709.14486,0
1714708800000,3008.31,3015.96,3004.75,3010.36,18147.778,1714710599999,54650012.48624,40302,10566.813,31822417.73902,0
1714710600000,3010.29,3011.02,2995.13,3002.26,29981.068,1714712399999,89984097.45972,49262,13437.681,40333202.58174,0
1714712400000,3002.25,3003.00,2993.20,2999.40,20708.892,1714714199999,62089244.51927,40667,10488.215,31448706.22260,0
1714714200000,2999.41,3004.12,2994.01,2995.99,20141.554,1714715999999,60408545.63626,38849,10035.127,30095558.47154,0
1714716000000,2995.99,2998.03,2979.66,2988.11,41850.011,1714717799999,125035696.49891,64096,18848.247,56322229.30933,0
1714717800000,2988.10,2989.20,2980.08,2980.72,23387.128,1714719599999,69808903.89451,40578,11992.710,35798756.64431,0
1714719600000,2980.71,2990.82,2979.61,2986.33,21505.013,1714721399999,64222899.34757,35263,11953.211,35697838.51189,0
1714721400000,2986.31,2987.40,2957.20,2967.83,84901.906,1714723199999,252013499.46234,104871,37660.536,111776663.61840,0
1714723200000,2967.83,2978.03,2963.00,2977.97,37745.944,1714724999999,112143322.88491,60375,19912.077,59165111.80675,0
1714725000000,2977.97,2982.72,2968.92,2970.85,26208.440,1714726799999,78029189.75202,53732,11885.448,35391207.55006,0
1714726800000,2970.85,2981.48,2968.85,2975.20,20549.558,1714728599999,61141011.59186,45595,10863.334,32323883.66527,0
