open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1701648000000,2193.25,2200.27,2191.52,2197.90,47067.476,1701649799999,103364095.54993,43180,23008.241,50528596.94906,0
1701649800000,2197.90,2211.99,2197.68,2210.65,72673.496,1701651599999,160277168.82419,62030,42897.002,94600186.97376,0
1701651600000,2210.65,2228,2206.02,2218.61,156368.703,1701653399999,346614685.90399,114660,80255.996,177916101.98426,0
1701653400000,2218.62,2230,2211,2214.37,116572.581,1701655199999,258786911.79978,97042,59559.659,132249795.10377,0
1701655200000,2214.37,2216.08,2204.72,2211.55,78841.213,1701656999999,174248678.45978,54843,34413.251,76058395.33278,0
1701657000000,2211.55,2214.37,2208.47,2212.65,31294.913,1701658799999,69210475.80554,30859,15008.267,33193827.22045,0
1701658800000,2212.65,2219.80,2212.01,2219.18,38554.843,1701660599999,85413509.20095,35604,19808.262,43886768.02353,0
1701660600000,2219.17,2219.84,2210.37,2210.77,35031.549,1701662399999,77534361.83704,33623,16385.986,36266324.90024,0
1701662400000,2210.78,2222.92,2210.38,2218.32,48916.538,1701664199999,108500393.88003,40976,24242.958,53769695.63920,0
1701664200000,2218.33,2226.50,2214.38,2225.17,51531.408,1701665999999,114532370.66850,47581,28399.858,63122547.14115,0
1701666000000,2225.16,2255.20,2221.19,2237.93,257885.994,1701667799999,578162471.11671,185307,138837.781,311262606.58174,0
1701667800000,2237.94,2247.91,2234.28,2246.26,79842.199,1701669599999,178954389.83146,69961,42112.706,94387884.33660,0
1701669600000,2246.27,2267,2241.14,2260.52,140972.127,1701671399999,317956934.85804,114363,73225.542,165171770.99766,0
1701671400000,2260.52,2263.48,2246.40,2247.14,85800.337,1701673199999,193346587.54839,77373,37843.452,85283671.77174,0
1701673200000,2247.15,2259.18,2247.15,2254.27,54752.522,1701674999999,123371506.30573,52912,25641.133,57774630.81507,0
1701675000000,2254.28,2256.13,2242.88,2247.57,53722.146,1701676799999,120778031.81401,54046,24047.223,54063249.82672,0
1701676800000,2247.58,2252.91,2241.20,2251.52,59742.842,1701678599999,134251432.53773,52701,28897.245,64939706.67973,0
1701678600000,2251.53,2260.50,2250,2255.98,57572.979,1701680399999,129866707.35523,54519,31073.546,70104590.67422,0
1701680400000,2255.98,2264,2251.61,2259,79604.190,1701682199999,179729885.68326,70390,39405.310,88978749.72407,0
1701682200000,2258.99,2270.43,2245.73,2246.32,97075.356,1701683999999,219271845.47089,85374,45049.706,101784060.03783,0
1701684000000,2246.32,2257,2246.21,2256.50,47066.015,1701685799999,105964370.43900,46900,25610.831,57654974.14168,0
1701685800000,2256.49,2276.84,2255.24,2261.49,143257.036,1701687599999,324726479.17350,118743,72220.452,163727715.75655,0
1701687600000,2261.49,2268.42,2213.60,2229.11,377346.557,1701689399999,843280365.52373,251458,173917.182,388654762.89298,0
1701689400000,2229.11,2239.77,2224,2238.45,93330.602,1701691199999,208429283.90208,93926,45149.337,100839436.10970,0
1701691200000,2238.46,2242.93,2226.60,2240.64,83381.961,1701692999999,186388696.50147,71155,41225.105,92158715.61371,0
1701693000000,2240.64,2256.70,2237,2253.52,88979.897,1701694799999,200040459.37976,79144,45488.519,102260941.33318,0
1701694800000,2253.52,2255.39,2243.02,2247,59482.088,1701696599999,133827313.58076,54370,27017.059,60789252.08950,0
1701696600000,2247,2251.09,2236,2240.27,53707.066,1701698399999,120510180.31876,53440,25655.501,57568114.96080,0
1701698400000,2240.27,2241.93,2217.19,2217.98,125530.501,1701700199999,279643350.78636,97149,56302.317,125441889.24749,0
1701700200000,2217.99,2228.87,2216,2225.61,86782.428,1701701999999,192857961.41411,71759,46718.224,103817734.78700,0
1701702000000,2225.62,2227.37,2210.75,2214.32,77323.851,1701703799999,171648626.39121,63243,33054.182,73390672.85219,0
1701703800000,2214.32,2218.80,2200.90,2212.52,144717.607,1701705599999,319939963.49311,114374,70325.719,155479947.54290,0
1701705600000,2212.52,2220.89,2210.17,2220.17,81932.772,1701707399999,181536722.06982,60599,45100.309,99928393.30766,0
1701707400000,2220.17,2227.20,2215.68,2226.34,49031.971,1701709199999,108917079.14924,46047,27157.081,60332522.01492,0
1701709200000,2226.35,2231.27,2221.36,2224.21,52616.479,1701710999999,117112501.34825,50201,27826.331,61937633.32288,0
1701711000000,2224.21,2225,2214.63,2219.51,39909.864,1701712799999,88591008.77418,36899,18848.431,41839688.80444,0
1701712800000,2219.51,2223.20,2216.52,2220.71,25733.639,1701714599999,57108592.14667,24402,12925.186,28683708.11173,0
1701714600000,2220.71,2226.86,2219.83,2224.90,29746.064,1701716399999,66157937.47723,27379,15605.687,34708284.67659,0
1701716400000,2224.89,2233.79,2219.14,2227.77,57132.437,1701718199999,127255698.91790,46963,29983.009,66787854.12187,0
1701718200000,2227.76,2236.17,2222.03,2234.82,48185.259,1701719999999,107479428.97848,40991,26118.078,58267687.41713,0
1701720000000,2234.81,2236,2226.24,2234.58,34936.236,1701721799999,77942611.46976,33328,17020.410,37974742.82981,0
1701721800000,2234.58,2234.83,2226.76,2229.06,29135.871,1701723599999,64987654.36146,28589,13491.874,30092776.80381,0
1701723600000,2229.16,2231.53,2224.30,2229.53,29206.886,1701725399999,65082386.73327,23156,13989.572,31174129.20445,0
1701725400000,2229.53,2235.76,2227.08,2235.12,27072.275,1701727199999,60409001.20490,26540,15192.469,33904978.50644,0
1701727200000,2235.12,2254.80,2228.95,2254.51,92359.550,1701728999999,207332907.02828,74458,50394.131,113125140.19294,0
1701729000000,2254.51,2254.60,2220.20,2228.41,85090.713,1701730799999,189986450.32904,72561,37307.670,83248407.84217,0
