open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1712188800000,3313.28,3329.88,3305.28,3324.92,36775.878,1712190599999,121996895.17913,57001,18945.812,62850226.82088,0
1712190600000,3324.93,3335.15,3318.11,3329.50,20668.220,1712192399999,68770909.30404,48988,9766.425,32500968.43329,0
1712192400000,3329.50,3335.64,3322.44,3327.74,22300.051,1712194199999,74237972.73343,42825,10085.517,33579967.11430,0
1712194200000,3327.73,3329.89,3312.98,3322.87,26303.295,1712195999999,87351919.42294,44156,11978.114,39786370.01051,0
1712196000000,3322.87,3323.47,3271.09,3276.52,65142.230,1712197799999,214756212.57376,82582,26093.410,86068245.00034,0
1712197800000,3276.54,3288.98,3266.00,3275.69,89590.874,1712199599999,293690034.98704,113980,46533.780,152554461.20107,0
1712199600000,3275.72,3288.23,3264.01,3276.93,60071.281,1712201399999,196724505.64076,76541,31491.583,103150042.94136,0
1712201400000,3276.93,3286.51,3275.32,3276.35,28453.789,1712203199999,93363467.60457,44707,14493.908,47563147.58634,0
1712203200000,3276.35,3280.00,3252.59,3268.62,78841.238,1712204999999,257359005.15520,99762,37834.635,123509223.62580,0
1712205000000,3268.62,3294.80,3266.70,3289.49,62985.756,1712206799999,206629059.45607,82815,34803.355,114163091.61818,0
1712206800000,3289.50,3296.62,3283.00,3287.88,22075.618,1712208599999,72623362.63811,36132,10167.301,33451341.21494,0
1712208600000,3287.88,3304.76,3284.30,3297.52,25550.321,1712210399999,84202708.39265,42748,13900.947,45823639.32561,0
1712210400000,3297.52,3309.07,3296.05,3304.33,30299.790,1712212199999,100124937.33868,42801,15424.102,50960728.16105,0
1712212200000,3304.34,3314.44,3303.47,3312.30,29537.447,1712213999999,97780931.41726,44942,14188.208,46969698.36941,0
1712214000000,3312.29,3336.88,3303.37,3331.28,60378.230,1712215799999,200853463.91993,76585,31056.762,103313850.10555,0
1712215800000,3331.29,3334.97,3318.46,3324.80,33421.751,1712217599999,111137053.36152,54569,13022.352,43299543.63501,0
1712217600000,3324.80,3339.35,3320.91,3330.65,32812.506,1712219399999,109314959.33683,54845,17788.592,59263834.67923,0
1712219400000,3330.65,3336.29,3327.19,3333.76,19963.233,1712221199999,66506708.42616,41767,9342.618,31127412.76299,0
1712221200000,3333.76,3344.47,3330.48,3336.87,28564.756,1712222999999,95311773.07515,48703,14087.460,47017311.60012,0
1712223000000,3336.87,3343.00,3333.90,3340.12,15143.603,1712224799999,50551693.77657,34207,7000.877,23370518.90715,0
1712224800000,3340.13,3358.00,3332.20,3349.38,45734.078,1712226599999,153058130.20366,70627,24420.865,81753393.25973,0
1712226600000,3349.37,3350.83,3341.05,3343.66,26846.545,1712228399999,89838792.09882,45252,12529.590,41933421.93272,0
1712228400000,3343.65,3345.00,3335.83,3343.44,25264.155,1712230199999,84407641.66340,44814,12413.793,41476728.56577,0
1712230200000,3343.43,3351.46,3340.98,3342.38,20302.920,1712231999999,67937484.42377,39319,8316.699,27830977.24548,0
1712232000000,3342.37,3352.64,3340.60,3349.03,25365.650,1712233799999,84917707.43846,42751,12483.123,41790103.74318,0
1712233800000,3349.04,3355.96,3345.30,3348.94,37715.735,1712235599999,126365924.28474,58194,15724.351,52690109.68308,0
1712235600000,3348.94,3383.00,3348.56,3366.44,100567.911,1712237399999,338712192.78664,133728,52792.890,177789563.14047,0
1712237400000,3366.45,3377.49,3360.00,3367.33,46486.059,1712239199999,156637928.63872,94375,21380.948,72045490.74234,0
1712239200000,3367.34,3387.90,3361.00,3370.18,64482.408,1712240999999,217670533.28146,104251,31021.872,104745048.94985,0
1712241000000,3370.19,3398.00,3366.94,3383.18,67488.486,1712242799999,228552962.94268,101528,38141.763,129161590.57903,0
1712242800000,3383.17,3385.75,3373.00,3379.03,36788.534,1712244599999,124343463.16755,63447,16732.317,56556381.59370,0
1712244600000,3379.04,3379.17,3361.18,3366.11,51848.468,1712246399999,174768140.78998,68709,20464.344,68976009.19186,0
1712246400000,3366.11,3394.97,3361.67,3380.58,58450.303,1712248199999,197435963.13970,78557,32449.019,109607798.73316,0
1712248200000,3380.58,3386.61,3375.12,3377.08,28541.910,1712249999999,96486131.47370,55231,14217.956,48062931.96892,0
1712250000000,3377.09,3382.72,3373.00,3378.55,21987.521,1712251799999,74265091.55578,43773,10373.511,35038063.13987,0
1712251800000,3378.56,3419.97,3376.68,3414.48,86590.561,1712253599999,294647735.01622,114028,49447.832,168262751.49011,0
1712253600000,3414.48,3446.48,3406.16,3407.83,138561.749,1712255399999,474733025.92934,174529,68211.986,233753465.34391,0
1712255400000,3407.83,3407.84,3378.10,3382.16,76222.028,1712257199999,258666507.52493,109689,37678.050,127872265.73957,0
1712257200000,3382.16,3382.16,3362.31,3375.00,66493.275,1712258999999,224320764.67179,95466,32333.125,109088975.40218,0
1712259000000,3375.00,3387.95,3361.78,3367.84,40839.044,1712260799999,137885986.85030,67434,21454.263,72459883.90106,0
1712260800000,3367.83,3372.00,3277.55,3311.99,302065.015,1712262599999,999578925.55633,315785,144557.836,478127630.31097,0
1712262600000,3311.82,3340.03,3311.69,3327.19,105391.932,1712264399999,350660199.36960,140700,55866.930,185862389.37544,0
1712264400000,3327.19,3339.99,3324.06,3334.66,37611.107,1712266199999,125336486.96030,64544,21665.715,72205625.46457,0
1712266200000,3334.66,3334.72,3301.29,3323.78,38628.490,1712267999999,128162943.96102,60652,16369.362,54307925.92269,0
1712268000000,3323.79,3332.01,3309.90,3327.21,31351.952,1712269799999,104117712.08308,53746,17312.435,57494271.50054,0
1712269800000,3327.21,3333.70,3311.16,3314.66,26744.326,1712271599999,88818609.99521,47884,14198.493,47159023.33290,0
1712271600000,3314.66,3338.38,3310.92,3323.72,31118.134,1712273399999,103500880.48097,57061,17574.168,58445832.39845,0
1712273400000,3323.72,3334.14,3322.80,3329.65,18186.869,1712275199999,60543735.34362,38297,10891.548,36257803.54227,0
