open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1717459200000,3769.14,3772.00,3720.00,3752.55,112713.441,1717460999999,422723276.69061,147952,46064.610,172885926.53075,0
1717461000000,3752.56,3764.99,3750.00,3761.84,46102.498,1717462799999,173348861.22339,69119,22005.771,82754553.13893,0
1717462800000,3761.84,3769.59,3754.00,3768.84,29786.379,1717464599999,112055908.79915,48877,14427.291,54276800.74652,0
1717464600000,3768.84,3783.67,3768.00,3777.12,34588.564,1717466399999,130575506.20824,53634,19956.984,75347481.32367,0
1717466400000,3777.13,3784.00,3774.51,3778.41,27044.571,1717468199999,102197540.38341,40650,11401.079,43092127.54673,0
1717468200000,3778.40,3778.40,3770.06,3773.92,13992.388,1717469999999,52803275.26661,31420,6096.504,23006834.17864,0
1717470000000,3773.92,3787.78,3773.00,3777.93,24024.531,1717471799999,90847857.31483,45078,13897.016,52548982.27258,0
1717471800000,3777.93,3782.77,3774.18,3775.27,18512.432,1717473599999,69941821.85036,29207,9970.503,37670372.00156,0
1717473600000,3775.27,3780.00,3770.00,3774.39,19103.253,1717475399999,72134521.88967,36497,11178.988,42216349.46632,0
1717475400000,3774.40,3779.20,3765.11,3766.22,20492.691,1717477199999,77288204.38554,34631,7429.336,28025169.98169,0
1717477200000,3766.21,3776.13,3762.41,3771.99,15937.176,1717478999999,60062356.21089,35009,8023.993,30244494.73814,0
1717479000000,3772.00,3772.00,3760.08,3764.09,16073.714,1717480799999,60528252.25445,36954,6950.772,26179512.66803,0
1717480800000,3764.09,3765.83,3754.09,3764.99,36663.318,1717482599999,137840173.29517,54124,17866.798,67177124.09394,0
1717482600000,3765.00,3772.00,3764.86,3765.42,17078.953,1717484399999,64347299.43774,31871,7992.510,30114300.80202,0
1717484400000,3765.42,3775.85,3764.78,3772.91,13135.511,1717486199999,49548083.83394,29839,7247.699,27339291.07524,0
1717486200000,3772.91,3781.20,3768.91,3777.00,20847.280,1717487999999,78720051.59783,37207,10836.549,40918949.91359,0
1717488000000,3777.00,3785.50,3766.61,3777.65,22923.101,1717489799999,86571864.33881,45312,12007.876,45350776.69546,0
1717489800000,3777.66,3777.66,3761.93,3763.61,28055.969,1717491599999,105698310.75304,41944,11536.346,43460246.66273,0
1717491600000,3763.61,3766.00,3750.26,3756.63,54268.693,1717493399999,203988751.29299,76844,26716.060,100437142.42736,0
1717493400000,3756.63,3762.65,3743.15,3750.96,43078.276,1717495199999,161580595.93901,71874,20924.049,78496532.67367,0
1717495200000,3750.96,3762.40,3749.03,3759.57,22848.568,1717496999999,85819625.24401,41564,14444.782,54252241.09587,0
1717497000000,3759.56,3773.46,3758.57,3768.17,37340.979,1717498799999,140685434.27643,54934,20513.628,77288995.96664,0
1717498800000,3768.17,3771.63,3764.71,3766.21,18471.425,1717500599999,69605152.21331,36284,8008.756,30179878.54987,0
1717500600000,3766.21,3771.00,3758.76,3767.02,16101.890,1717502399999,60617485.94426,39194,7523.649,28327251.25464,0
1717502400000,3767.02,3771.48,3755.13,3764.20,24054.956,1717504199999,90507948.87005,48137,13613.085,51222842.99028,0
1717504200000,3764.21,3771.40,3755.71,3766.16,47931.591,1717505999999,180405635.39719,63910,26033.686,97992551.41680,0
1717506000000,3766.17,3782.91,3766.11,3780.58,60259.803,1717507799999,227550744.33493,92446,30356.791,114625909.27135,0
