open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1728000000000,2348.74,2352.08,2340.70,2346.81,38977.032,1728001799999,91449580.93256,87383,21895.807,51371868.28058,0
1728001800000,2346.80,2350.00,2338.27,2339.40,33166.245,1728003599999,77697260.82066,76033,14577.112,34152528.60538,0
1728003600000,2339.40,2377.50,2338.82,2370.85,112167.891,1728005399999,265035237.17913,116581,66527.947,157200674.43264,0
1728005400000,2370.86,2378.00,2361.76,2376.78,88379.396,1728007199999,209598720.04033,114227,45984.790,109078299.19684,0
1728007200000,2376.78,2379.00,2365.69,2369.70,49313.013,1728008999999,116986107.43660,72497,25580.134,60696287.98644,0
1728009000000,2369.70,2377.00,2368.22,2369.56,26110.661,1728010799999,61937451.11101,48878,13179.373,31263803.12146,0
1728010800000,2369.55,2370.84,2361.60,2362.16,27346.017,1728012599999,64671621.13493,42675,11972.576,28313540.30760,0
1728012600000,2362.17,2367.83,2360.00,2366.07,20559.947,1728014399999,48600009.16997,40498,10882.678,25726551.58144,0
1728014400000,2366.07,2377.53,2364.57,2375.50,34137.426,1728016199999,80946665.89607,42301,22925.254,54359339.81012,0
1728016200000,2375.50,2380.00,2367.40,2372.99,45682.254,1728017999999,108433305.43664,58924,19526.828,46356366.15121,0
1728018000000,2372.99,2379.00,2370.86,2377.10,18082.251,1728019799999,42961516.67742,36633,8011.115,19032001.30527,0
1728019800000,2377.11,2384.08,2375.00,2382.28,29489.680,1728021599999,70194718.56124,37121,17532.663,41735333.30987,0
1728021600000,2382.27,2386.69,2375.41,2381.14,33624.933,1728023399999,80071475.42705,49517,15217.187,36248930.15226,0
1728023400000,2381.15,2385.00,2373.07,2373.97,17614.401,1728025199999,41897156.32849,36405,7240.346,17224067.61963,0
1728025200000,2373.97,2384.66,2369.32,2380.79,43385.903,1728026999999,103102380.95984,55801,25909.497,61590910.69669,0
1728027000000,2380.79,2385.38,2378.98,2380.55,33155.427,1728028799999,78972782.23211,45221,14518.996,34584182.15751,0
1728028800000,2380.56,2392.44,2376.66,2388.11,60293.392,1728030599999,143896105.30077,71811,31324.301,74767827.11091,0
1728030600000,2388.12,2391.91,2380.00,2380.22,40127.985,1728032399999,95751634.69576,54011,17793.856,42452399.36419,0
1728032400000,2380.22,2386.72,2379.53,2381.10,30361.265,1728034199999,72335881.44662,49875,13975.549,33298257.86528,0
1728034200000,2381.09,2382.51,2373.57,2375.90,34964.818,1728035999999,83130018.09931,48005,16508.651,39252093.67864,0
1728036000000,2375.89,2379.45,2373.46,2374.68,21842.269,1728037799999,51893231.09893,37189,10916.722,25937725.93250,0
1728037800000,2374.67,2378.91,2373.10,2373.97,16274.108,1728039599999,38669079.14388,32117,8300.493,19724649.90517,0
1728039600000,2373.98,2381.62,2373.11,2377.93,16713.253,1728041399999,39743004.93454,31852,8970.089,21332037.41265,0
1728041400000,2377.93,2385.70,2377.00,2385.21,28045.652,1728043199999,66820380.80984,38699,12872.655,30670942.82182,0
1728043200000,2385.21,2387.67,2380.00,2387.51,34968.588,1728044999999,83354632.34264,53324,16866.941,40203800.65320,0
1728045000000,2387.50,2400.00,2373.39,2396.10,192714.725,1728046799999,459683169.63301,207788,103636.811,247255718.29282,0
1728046800000,2396.10,2399.00,2380.72,2381.09,82235.365,1728048599999,196456172.18189,114418,37601.720,89827469.88485,0
1728048600000,2381.09,2390.50,2374.95,2377.42,70778.472,1728050399999,168602143.21266,120827,31375.963,74749592.50545,0
1728050400000,2377.42,2382.25,2351.18,2358.41,158591.874,1728052199999,375260187.14121,182351,67454.093,159644655.07566,0
1728052200000,2358.41,2369.98,2352.26,2365.98,87503.203,1728053999999,206568728.58016,128883,46290.546,109298030.08645,0
1728054000000,2365.97,2394.86,2365.52,2386.19,147628.253,1728055799999,352248346.75572,159451,72277.967,172408020.79731,0
1728055800000,2386.20,2417.27,2383.01,2415.99,138098.386,1728057599999,331407607.12272,145316,78030.382,187273913.62596,0
1728057600000,2416.00,2436.88,2412.13,2433.00,178221.599,1728059399999,431960451.12740,177684,92353.891,223860885.78002,0
1728059400000,2433.00,2440.00,2428.51,2432.35,103287.806,1728061199999,251447084.00620,121624,45650.771,111145378.91489,0
1728061200000,2432.34,2436.00,2420.00,2422.09,64169.035,1728062999999,155806827.91051,76441,27061.905,65721419.83549,0
1728063000000,2422.08,2422.78,2408.20,2414.30,59753.675,1728064799999,144382468.49123,78264,26127.320,63133835.43435,0
1728064800000,2414.30,2419.84,2409.55,2419.23,34460.203,1728066599999,83218909.51463,57068,19650.048,47463343.34672,0
1728066600000,2419.23,2431.72,2418.76,2431.51,37159.351,1728068399999,90115358.60192,52493,24872.770,60317705.72659,0
1728068400000,2431.50,2435.45,2426.64,2430.36,48827.379,1728070199999,118661933.70045,61583,28632.819,69587026.22724,0
1728070200000,2430.36,2430.90,2422.69,2428.41,37487.679,1728071999999,90958631.74138,50027,18540.555,44991774.92452,0
1728072000000,2428.44,2430.24,2421.76,2424.81,29491.033,1728073799999,71545498.62073,39411,17836.217,43274394.92917,0
1728073800000,2424.80,2430.85,2420.74,2428.34,24550.166,1728075599999,59553391.02290,40805,11095.500,26920440.67649,0
1728075600000,2428.34,2430.38,2424.87,2424.88,13210.137,1728077399999,32069407.76606,23904,7062.026,17144900.21761,0
1728077400000,2424.88,2425.49,2421.65,2423.51,13158.685,1728079199999,31891433.03919,26476,6751.995,16363887.21422,0
1728079200000,2423.50,2427.43,2419.19,2420.71,20555.315,1728080999999,49791174.21193,37822,8571.405,20764975.50352,0
1728081000000,2420.71,2421.40,2416.25,2419.87,12721.344,1728082799999,30763231.82851,25346,6477.380,15664346.94462,0
1728082800000,2419.87,2420.72,2411.95,2412.85,21484.042,1728084599999,51905956.96011,32673,8640.873,20878985.26951,0
1728084600000,2412.85,2420.00,2411.09,2413.38,22635.300,1728086399999,54660487.67697,28831,11054.071,26702930.02732,0
