open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1725408000000,2424.05,2448.00,2423.14,2441.13,64524.900,1725409799999,157284176.50962,89541,34254.218,83469901.27059,0
1725409800000,2441.13,2446.94,2385.00,2394.76,149507.316,1725411599999,360750551.21383,147226,62284.345,150444556.71236,0
1725411600000,2394.77,2395.56,2304.87,2351.77,632365.670,1725413399999,1479459445.08658,557575,281204.773,657880448.93301,0
1725413400000,2351.78,2380.85,2350.42,2364.96,158122.908,1725415199999,374533097.47344,159217,88516.567,209675782.02293,0
1725415200000,2364.97,2369.95,2354.44,2359.82,79846.785,1725416999999,188623600.70051,93636,34231.594,80886711.77386,0
1725417000000,2359.82,2368.61,2359.57,2363.16,31199.291,1725418799999,73780417.45304,49498,18137.083,42894334.89257,0
1725418800000,2363.15,2380.93,2362.94,2380.38,55699.969,1725420599999,132258940.51723,65652,34740.871,82488537.30761,0
1725420600000,2380.37,2381.83,2370.29,2371.93,38414.187,1725422399999,91226466.23400,50854,16451.741,39074391.33583,0
1725422400000,2371.92,2374.59,2365.00,2365.66,33471.289,1725424199999,79276445.02388,41874,16625.928,39382125.43534,0
1725424200000,2365.66,2378.97,2365.54,2377.30,26751.310,1725425999999,63526028.49789,38184,15669.203,37211089.76602,0
1725426000000,2377.30,2380.59,2369.52,2377.69,32518.355,1725427799999,77251079.21864,40891,13255.793,31496484.07408,0
1725427800000,2377.70,2378.99,2362.18,2364.31,77013.991,1725429599999,182370001.89681,70086,29071.319,68833948.98012,0
1725429600000,2364.31,2380.00,2364.22,2377.73,41329.071,1725431399999,98065084.40650,58163,23873.544,56640583.90352,0
1725431400000,2377.72,2383.00,2370.42,2371.20,37674.394,1725433199999,89531931.79193,47129,17095.220,40629450.37215,0
1725433200000,2371.21,2388.48,2369.23,2382.27,54266.412,1725434999999,129265826.02993,67692,29064.514,69233125.07241,0
1725435000000,2382.27,2414.66,2382.00,2400.10,98912.965,1725436799999,237358682.77267,104357,52759.089,126585674.98858,0
1725436800000,2400.11,2408.86,2394.10,2408.86,47707.757,1725438599999,114584118.67475,58060,25078.403,60246678.82909,0
1725438600000,2408.86,2409.70,2395.41,2400.11,31337.754,1725440399999,75267204.17544,45909,15123.105,36324235.89157,0
1725440400000,2400.12,2403.78,2395.00,2398.56,33391.119,1725442199999,80094206.99023,42714,16339.799,39199732.61359,0
1725442200000,2398.56,2403.71,2391.31,2392.39,41274.638,1725443999999,98899936.42658,50321,22072.922,52892737.20582,0
1725444000000,2392.40,2400.91,2385.84,2398.70,47711.657,1725445799999,114180587.48348,59079,24450.292,58523784.08839,0
1725445800000,2398.70,2402.40,2387.50,2388.21,34764.336,1725447599999,83219506.38916,53683,16518.639,39555838.36299,0
1725447600000,2388.21,2395.56,2388.00,2393.80,24919.443,1725449399999,59596199.70468,43247,13553.778,32414793.25104,0
1725449400000,2393.80,2402.42,2393.51,2397.68,27757.200,1725451199999,66598604.97127,46202,13955.183,33484924.64831,0
1725451200000,2397.67,2407.85,2393.91,2403.47,42226.818,1725452999999,101377513.30354,57948,21361.708,51296980.60555,0
1725453000000,2403.48,2412.98,2398.92,2402.30,52901.637,1725454799999,127319952.76708,69101,25901.664,62341512.91294,0
1725454800000,2402.30,2404.77,2393.39,2397.28,40600.264,1725456599999,97364809.53128,64432,18753.685,44977107.57722,0
1725456600000,2397.28,2409.08,2394.17,2403.99,76271.970,1725458399999,183174788.74147,119125,39533.762,94943374.27680,0
1725458400000,2404.00,2422.37,2391.50,2400.62,175354.414,1725460199999,421974505.40089,194465,88487.207,212999693.67560,0
1725460200000,2400.63,2449.60,2398.65,2436.98,211775.642,1725461999999,514293146.24655,216164,114310.622,277625433.99899,0
1725462000000,2436.99,2443.00,2426.40,2429.12,107555.840,1725463799999,261941098.79312,122369,51645.513,125779341.41235,0
1725463800000,2429.11,2457.90,2425.05,2453.88,123675.510,1725465599999,301977977.60504,139466,70121.739,171241669.61191,0
1725465600000,2453.87,2486.23,2448.60,2477.82,168927.341,1725467399999,416409204.50212,180828,86508.246,213336810.02385,0
1725467400000,2477.82,2489.34,2471.51,2476.23,77776.106,1725469199999,192897018.17474,105666,37967.237,94171457.19742,0
1725469200000,2476.24,2477.00,2456.89,2459.29,64259.251,1725470999999,158611352.82852,72006,32392.347,79948236.98368,0
1725471000000,2459.28,2462.83,2446.02,2448.35,64916.893,1725472799999,159333733.57106,75142,33230.926,81572731.97743,0
1725472800000,2448.34,2456.28,2443.21,2448.19,39933.865,1725474599999,97803174.60153,54007,21157.915,51831509.24632,0
1725474600000,2448.19,2453.52,2437.37,2441.46,39039.437,1725476399999,95408053.63910,53350,18216.298,44532125.41476,0
1725476400000,2441.47,2448.94,2439.40,2448.15,22217.955,1725478199999,54308096.28946,36217,13936.162,34068240.07697,0
1725478200000,2448.14,2454.50,2443.80,2451.00,21963.541,1725479999999,53777715.47166,37647,11299.892,27667154.64695,0
1725480000000,2451.00,2455.82,2444.50,2449.78,19753.898,1725481799999,48411155.57584,36533,10237.334,25090368.73279,0
1725481800000,2449.78,2458.82,2448.53,2453.98,25037.349,1725483599999,61443259.98264,37803,10359.551,25423824.31788,0
1725483600000,2453.98,2456.90,2449.92,2452.00,10360.804,1725485399999,25407773.28062,22339,5833.291,14305457.75195,0
1725485400000,2452.00,2464.90,2452.00,2461.67,15575.411,1725487199999,38313955.62680,27682,9134.501,22469310.91422,0
1725487200000,2461.68,2468.40,2458.85,2460.09,26851.147,1725488999999,66152084.38032,39381,12410.681,30582090.27698,0
1725489000000,2460.09,2463.28,2456.79,2461.50,12765.181,1725490799999,31409932.68134,22930,5618.445,13824247.02206,0
1725490800000,2461.40,2463.43,2455.56,2456.40,13524.443,1725492599999,33277086.07476,23796,6258.927,15401436.99148,0
1725492600000,2456.39,2456.95,2442.00,2449.67,37382.275,1725494399999,91576147.33428,42418,18754.208,45937820.49565,0
