open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1730678400000,2457.30,2457.89,2447.24,2448.35,30704.075,1730680199999,75316530.24922,51679,14849.131,36427978.26476,0
1730680200000,2448.35,2452.14,2434.13,2450.04,51481.605,1730681999999,125746312.03207,86736,28913.949,70633310.52168,0
1730682000000,2450.04,2474.44,2445.09,2463.11,63637.866,1730683799999,156560579.44708,114249,36486.373,89756596.21988,0
1730683800000,2463.10,2470.09,2455.67,2466.22,34989.659,1730685599999,86181021.16236,82255,17985.537,44309052.72240,0
1730685600000,2466.22,2477.69,2462.08,2476.60,32531.383,1730687399999,80358232.16525,65053,20906.002,51657704.01798,0
1730687400000,2476.60,2485.00,2474.70,2483.10,56796.794,1730689199999,140858111.91730,90346,29617.750,73451448.08651,0
1730689200000,2483.10,2491.00,2474.42,2475.77,52242.435,1730690999999,129746006.15972,75805,29610.318,73582682.74594,0
1730691000000,2475.77,2480.88,2472.22,2473.28,19993.596,1730692799999,49507991.58543,43089,10797.833,26742132.15127,0
1730692800000,2473.28,2480.39,2472.12,2480.17,17021.660,1730694599999,42127287.41273,35340,8834.407,21868534.69020,0
1730694600000,2480.16,2482.02,2470.60,2472.56,18795.321,1730696399999,46523982.99244,35088,7368.968,18243570.45983,0
1730696400000,2472.55,2473.57,2465.02,2465.02,24628.066,1730698199999,60799529.87108,42250,11469.062,28318761.27546,0
1730698200000,2465.03,2467.93,2459.29,2462.34,28170.467,1730699999999,69394995.40710,45799,12788.658,31510273.57538,0
1730700000000,2462.34,2476.99,2462.12,2475.00,31419.214,1730701799999,77616278.25976,46684,18805.819,46454983.57912,0
1730701800000,2475.00,2480.33,2470.16,2476.93,26390.702,1730703599999,65316421.24278,41626,13583.262,33623407.06992,0
1730703600000,2476.92,2479.37,2470.83,2471.97,17154.378,1730705399999,42445569.21532,37358,8275.528,20476328.90675,0
1730705400000,2471.96,2472.30,2456.48,2458.89,57007.853,1730707199999,140374653.64885,64442,25289.352,62253827.16029,0
1730707200000,2458.90,2467.08,2457.42,2465.44,37569.917,1730708999999,92555230.81635,58270,18466.398,45493490.32174,0
1730709000000,2465.44,2465.76,2450.70,2457.44,45450.666,1730710799999,111643275.29089,74319,17003.554,41771071.28513,0
1730710800000,2457.44,2464.35,2457.30,2458.98,27730.405,1730712599999,68244892.18024,48959,17403.888,42835181.46882,0
1730712600000,2458.98,2458.98,2446.35,2457.35,35910.382,1730714399999,88080019.64254,58478,15717.164,38552161.73890,0
1730714400000,2457.35,2472.82,2455.00,2467.11,41510.845,1730716199999,102400383.32026,76584,21522.186,53088282.49169,0
1730716200000,2467.12,2471.83,2464.36,2466.98,27188.220,1730717999999,67085549.52565,47047,11666.704,28792238.55346,0
