open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1707004800000,2295.41,2296.97,2290.00,2292.58,29761.768,1707006599999,68235495.82921,37309,14725.574,33763081.35651,0
1707006600000,2292.58,2298.77,2290.22,2298.61,16056.179,1707008399999,36854604.81418,24177,10206.348,23430290.15957,0
1707008400000,2298.61,2300.66,2295.13,2300.66,11552.834,1707010199999,26547998.31400,19827,5783.845,13292633.99166,0
1707010200000,2300.66,2305.78,2299.04,2304.20,21797.773,1707011999999,50189847.46881,27516,12001.835,27635124.29740,0
1707012000000,2304.20,2305.72,2302.36,2303.27,8866.864,1707013799999,20428903.95430,19331,4301.701,9911084.47911,0
1707013800000,2303.27,2303.53,2301.67,2302.49,6290.432,1707015599999,14484528.13787,16021,2859.852,6585329.89155,0
1707015600000,2302.49,2304.62,2302.17,2303.85,6987.251,1707017399999,16095743.66991,15212,3853.269,8875847.52132,0
1707017400000,2303.85,2304.22,2301.61,2302.07,5654.711,1707019199999,13021764.50730,14143,2731.163,6289538.83096,0
1707019200000,2302.07,2302.69,2293.00,2294.61,19608.795,1707020999999,45061524.01967,27974,8011.751,18408526.54024,0
1707021000000,2294.60,2298.37,2294.60,2296.37,8821.275,1707022799999,20257699.62968,16046,5309.684,12192596.33992,0
1707022800000,2296.38,2303.49,2295.71,2301.20,18839.434,1707024599999,43341180.55857,22631,11892.232,27359378.97820,0
1707024600000,2301.20,2302.12,2298.71,2299.23,6523.736,1707026399999,15007269.27254,13110,2759.285,6347353.53545,0
1707026400000,2299.23,2301.96,2295.86,2296.49,12798.609,1707028199999,29427810.94041,18490,5362.266,12330798.61044,0
1707028200000,2296.50,2298.18,2285.00,2286.50,47345.863,1707029999999,108470304.50444,43573,16790.881,38478077.66611,0
1707030000000,2286.50,2292.29,2285.73,2289.30,28290.330,1707031799999,64754956.16330,32849,17113.430,39175078.50303,0
1707031800000,2289.30,2291.34,2287.50,2289.66,10163.248,1707033599999,23266803.68403,17170,5665.365,12969939.32078,0
1707033600000,2289.67,2291.11,2288.65,2290.10,9961.401,1707035399999,22809881.20650,19190,5003.690,11457674.65022,0
1707035400000,2290.10,2292.53,2288.79,2289.49,10235.088,1707037199999,23441917.47204,15822,5061.503,11592697.56945,0
1707037200000,2289.50,2296.72,2285.35,2296.07,27360.104,1707038999999,62678522.71054,32138,14896.011,34133768.83830,0
1707039000000,2296.07,2305.19,2296.06,2302.74,44178.133,1707040799999,101654000.84346,46406,24528.141,56442223.34575,0
1707040800000,2302.73,2304.00,2298.47,2301.22,15482.780,1707042599999,35625637.20706,26886,6211.827,14293168.65920,0
1707042600000,2301.22,2301.28,2296.48,2299.94,10895.524,1707044399999,25050280.38787,19024,4663.693,10721900.50764,0
1707044400000,2299.94,2305.69,2298.82,2304.82,15282.622,1707046199999,35201726.78198,24427,9158.364,21094142.87549,0
1707046200000,2304.83,2309.58,2304.23,2304.62,28494.903,1707047999999,65735351.99463,31445,12198.358,28145614.38725,0
1707048000000,2304.61,2308.70,2304.28,2307.82,15542.587,1707049799999,35853622.92162,18852,8351.997,19266994.91925,0
1707049800000,2307.82,2308.51,2302.08,2302.17,14907.760,1707051599999,34369391.60404,16502,6003.291,13844610.94199,0
1707051600000,2302.16,2304.84,2301.61,2304.53,12838.623,1707053399999,29565603.06949,16834,5395.028,12425293.90279,0
1707053400000,2304.54,2306.29,2302.12,2303.63,6727.745,1707055199999,15498770.20879,11532,3025.022,6969091.77155,0
1707055200000,2303.63,2306.24,2303.00,2306.24,8324.150,1707056999999,19184932.88345,13836,4486.684,10340287.98486,0
1707057000000,2306.24,2307.08,2296.14,2298.10,30861.173,1707058799999,70986127.55625,32343,13127.976,30193097.91614,0
1707058800000,2298.11,2304.47,2296.41,2300.05,22588.166,1707060599999,51963822.98326,28944,12208.967,28088665.38836,0
1707060600000,2300.06,2302.47,2300.05,2300.89,9204.855,1707062399999,21181993.28960,15507,5020.650,11553438.97597,0
1707062400000,2300.88,2302.03,2297.79,2299.99,13938.448,1707064199999,32058301.07537,19722,5969.614,13729922.35211,0
1707064200000,2299.99,2302.96,2299.37,2302.95,8882.205,1707065999999,20439597.91744,14501,4889.454,11251475.72707,0
1707066000000,2302.96,2305.28,2297.19,2300.23,21355.194,1707067799999,49143997.08867,25285,12722.111,29273613.84513,0
1707067800000,2300.23,2307.82,2300.23,2305.73,19833.084,1707069599999,45720080.05182,23752,12140.927,27987013.40881,0
1707069600000,2305.72,2307.89,2298.00,2298.03,31247.192,1707071399999,71930908.75688,31481,12120.247,27904686.69782,0
1707071400000,2298.03,2299.61,2292.31,2293.39,26503.855,1707073199999,60838724.37299,29068,12006.738,27558558.10979,0
1707073200000,2293.40,2294.85,2261.51,2277.00,161955.711,1707074999999,368671316.06887,133607,69542.448,158297115.53024,0
1707075000000,2277.01,2281.03,2274.93,2278.82,28022.337,1707076799999,63863214.52228,33663,14122.714,32185905.06621,0
1707076800000,2278.81,2280.77,2272.74,2276.63,21024.040,1707078599999,47876738.42041,29141,10068.288,22928736.52939,0
1707078600000,2276.63,2311.00,2276.17,2302.94,114991.337,1707080399999,264227311.46592,96221,68719.341,157834616.74242,0
1707080400000,2302.93,2309.23,2300.62,2303.97,37547.340,1707082199999,86549485.17578,49357,17379.343,40058697.76768,0
1707082200000,2303.96,2308.65,2299.41,2299.90,25707.276,1707083999999,59247675.46194,32572,13889.975,32016720.48082,0
1707084000000,2299.89,2302.16,2282.32,2287.40,45399.597,1707085799999,104095433.16223,47447,20784.321,47662107.53272,0
1707085800000,2287.39,2292.95,2274.97,2287.29,56865.456,1707087599999,129878271.30031,62808,30531.666,69749905.07694,0
1707087600000,2287.29,2290.44,2282.38,2287.07,24425.332,1707089399999,55851942.43977,34014,10714.672,24501084.12995,0
1707089400000,2287.08,2290.37,2285.10,2288.66,13858.535,1707091199999,31712303.19148,21588,7384.003,16896992.23038,0
