open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1728086400000,2413.38,2420.33,2411.45,2414.25,33892.902,1728088199999,81891234.00254,42525,17548.039,42400203.89793,0
1728088200000,2414.24,2424.49,2414.24,2424.11,17157.782,1728089999999,41513224.38280,32547,10831.448,26208046.84931,0
1728090000000,2424.11,2427.94,2414.36,2415.22,26417.949,1728091799999,63962035.85730,43063,11310.966,27393077.10043,0
1728091800000,2415.22,2419.34,2413.80,2417.01,12324.445,1728093599999,29779399.96063,25437,5309.098,12829373.10030,0
1728093600000,2417.00,2417.86,2413.04,2414.08,14786.183,1728095399999,35711720.19058,26950,6731.722,16259268.40135,0
1728095400000,2414.07,2415.77,2400.01,2400.83,57945.206,1728097199999,139396895.30938,56450,21379.734,51424297.98043,0
1728097200000,2400.84,2401.31,2388.66,2399.72,64674.765,1728098999999,154941442.02171,79021,30022.638,71921388.64529,0
1728099000000,2399.72,2402.66,2396.23,2398.75,20342.089,1728100799999,48809672.80888,34240,10552.766,25319744.98937,0
1728100800000,2398.75,2404.35,2395.75,2403.16,22166.149,1728102599999,53188444.25657,35461,10569.754,25365231.46402,0
1728102600000,2403.16,2408.32,2402.12,2404.44,28321.359,1728104399999,68139244.15851,32628,13816.167,33239732.88794,0
1728104400000,2404.45,2413.82,2403.86,2411.99,26864.775,1728106199999,64759211.82045,38338,14526.037,35014716.73063,0
1728106200000,2411.98,2417.00,2411.58,2416.79,20282.850,1728107999999,48983601.13734,27641,10225.797,24696165.77884,0
1728108000000,2416.79,2419.85,2412.18,2419.66,21544.502,1728109799999,52057246.89404,31444,11088.622,26800183.24523,0
1728109800000,2419.65,2426.24,2418.70,2423.42,31604.035,1728111599999,76551225.82213,39400,19113.618,46294178.07561,0
1728111600000,2423.41,2425.40,2416.13,2417.99,33095.292,1728113399999,80110365.39418,38754,11811.187,28598999.25894,0
1728113400000,2417.99,2420.69,2414.05,2414.18,31331.442,1728115199999,75750537.56886,33014,10991.120,26576757.06938,0
1728115200000,2414.18,2420.04,2414.09,2418.70,16336.820,1728116999999,39498160.03694,23438,9227.301,22309322.88574,0
1728117000000,2418.70,2419.92,2414.36,2418.68,14421.056,1728118799999,34850769.31187,24496,7209.434,17423521.84561,0
1728118800000,2418.68,2422.79,2417.54,2418.78,19343.652,1728120599999,46826021.13434,26865,11240.584,27210538.02988,0
1728120600000,2418.80,2427.00,2418.00,2423.80,17798.362,1728122399999,43129864.28083,29892,10066.376,24397708.60538,0
1728122400000,2423.80,2425.68,2420.88,2422.41,12296.174,1728124199999,29797440.67568,23157,4953.329,12003927.70864,0
1728124200000,2422.41,2423.00,2415.72,2418.12,16604.833,1728125999999,40176147.89040,29399,6124.981,14819647.75040,0
1728126000000,2418.13,2421.32,2416.07,2416.81,14929.049,1728127799999,36099643.05239,25303,6022.818,14565039.13646,0
1728127800000,2416.82,2418.43,2415.96,2416.43,9972.450,1728129599999,24100180.76290,15861,4809.938,11625014.14255,0
1728129600000,2416.43,2420.16,2415.96,2417.86,10868.983,1728131399999,26278618.71851,19763,4987.340,12059404.90202,0
1728131400000,2417.86,2421.69,2417.70,2421.68,10060.700,1728133199999,24343386.78097,20758,6369.252,15412025.18212,0
1728133200000,2421.69,2423.00,2416.67,2416.90,18362.780,1728134999999,44442700.27851,24711,9279.885,22465149.27346,0
1728135000000,2416.89,2417.71,2407.31,2409.07,42416.496,1728136799999,102324341.75417,47029,17569.515,42380509.98241,0
1728136800000,2409.06,2413.58,2403.88,2408.86,41083.547,1728138599999,98944151.06359,49590,21535.050,51873540.88172,0
1728138600000,2408.85,2418.00,2407.08,2413.34,26365.290,1728140399999,63643320.90147,39921,12650.720,30534241.31708,0
1728140400000,2413.35,2415.29,2405.16,2410.92,26462.671,1728142199999,63756865.28636,37955,13872.231,33426979.97196,0
1728142200000,2410.92,2416.16,2409.65,2413.99,11056.182,1728143999999,26679151.43269,23990,5594.063,13498741.79598,0
1728144000000,2413.99,2415.13,2405.00,2412.81,25313.134,1728145799999,60998379.14479,40990,12811.190,30873246.24864,0
1728145800000,2412.80,2413.55,2402.22,2403.75,22688.724,1728147599999,54610716.34430,39604,7998.917,19254273.09838,0
1728147600000,2403.76,2407.91,2400.81,2404.96,25934.707,1728149399999,62357310.07687,44970,15098.052,36303398.58628,0
1728149400000,2404.96,2410.00,2404.96,2409.44,7589.166,1728151199999,18278020.16670,21131,4684.208,11281443.96917,0
1728151200000,2409.44,2411.06,2398.71,2402.37,36509.098,1728152999999,87700909.06388,47389,11403.548,27393842.27543,0
1728153000000,2402.36,2403.83,2394.39,2401.50,30612.058,1728154799999,73444322.88583,42243,17026.046,40856096.76908,0
1728154800000,2401.51,2401.53,2392.00,2397.13,24489.188,1728156599999,58686357.84468,40126,12374.082,29652089.86783,0
1728156600000,2397.13,2397.94,2392.82,2395.71,11280.949,1728158399999,27016019.15919,25345,5256.002,12587662.08329,0
1728158400000,2395.71,2399.00,2389.01,2397.09,23735.006,1728160199999,56801903.37057,42355,11531.481,27599936.41016,0
1728160200000,2397.09,2399.04,2389.86,2391.48,12628.522,1728161999999,30230268.33027,26784,5762.516,13796241.58393,0
1728162000000,2391.49,2408.63,2391.20,2403.13,24871.836,1728163799999,59713278.51516,39088,16916.502,40614644.35531,0
1728163800000,2403.12,2407.78,2400.83,2402.38,12136.188,1728165599999,29183639.55950,24876,5349.539,12864218.26219,0
1728165600000,2402.39,2415.84,2401.99,2411.46,29808.510,1728167399999,71846830.03300,43099,16952.054,40859527.01727,0
1728167400000,2411.46,2418.85,2411.46,2417.24,19224.568,1728169199999,46441943.74655,30618,9902.059,23922755.93804,0
1728169200000,2417.23,2418.56,2411.26,2412.21,14190.917,1728170999999,34261460.51006,26502,5659.326,13662310.06722,0
1728171000000,2412.21,2415.31,2410.40,2413.42,11337.135,1728172799999,27356548.07044,20375,5280.415,12741917.73193,0
