open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1704412800000,2267.85,2275.60,2266.00,2271.36,27104.422,1704414599999,61536839.08177,37766,13910.447,31581889.48786,0
1704414600000,2271.37,2271.60,2261.16,2268.37,31852.967,1704416399999,72168645.15923,43413,15147.037,34319815.19265,0
1704416400000,2268.36,2272.05,2253.80,2257.67,51148.779,1704418199999,115651680.01850,59163,21229.116,48004422.73487,0
1704418200000,2257.67,2259.14,2207.03,2238.66,220755.362,1704419999999,492779434.07776,199738,103169.609,230254502.42221,0
1704420000000,2238.66,2252.36,2231.49,2233.12,110288.976,1704421799999,247325229.04155,110570,55103.418,123595726.87061,0
1704421800000,2233.11,2247.34,2232.99,2241.17,30021.238,1704423599999,67307255.22496,42784,15804.730,35428302.12847,0
1704423600000,2241.17,2251.35,2240.41,2247.02,31312.694,1704425399999,70339110.34098,38844,15574.078,34985701.83452,0
1704425400000,2247.02,2247.87,2239.29,2242.89,21419.670,1704427199999,48057517.26489,28808,9638.213,21623423.68429,0
1704427200000,2242.89,2244.28,2234.34,2242.89,41303.796,1704428999999,92488145.24966,50957,20121.204,45058326.65751,0
1704429000000,2242.87,2248.14,2238.46,2244.06,25525.836,1704430799999,57295661.59380,35292,11898.880,26706405.15208,0
1704430800000,2244.06,2247.36,2242.60,2245.71,17689.655,1704432599999,39711405.28427,25473,8271.177,18566948.96063,0
1704432600000,2245.70,2248.92,2241.45,2246.53,23411.506,1704434399999,52583574.45203,32418,10842.154,24354034.20525,0
1704434400000,2246.53,2251.00,2241.41,2241.94,29075.139,1704436199999,65361481.98031,35505,14427.897,32441881.52320,0
1704436200000,2241.95,2258.00,2240.33,2255.29,44925.530,1704437999999,101095026.93108,48967,24238.728,54550068.67039,0
1704438000000,2255.29,2265.95,2254.65,2264.01,47782.678,1704439799999,108056152.09117,56613,24823.316,56135474.04537,0
1704439800000,2264.01,2264.70,2252.39,2252.39,31852.760,1704441599999,71886177.05793,38161,13754.596,31043145.86855,0
1704441600000,2252.40,2259.84,2251.60,2256.87,25301.501,1704443399999,57059621.30815,34444,13960.438,31484838.35568,0
1704443400000,2256.86,2258.10,2250.00,2252.69,27843.961,1704445199999,62733168.54600,34846,12364.434,27858102.78076,0
