open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1722816000000,2687.60,2695.93,2647.50,2650.58,224731.653,1722817799999,599642234.77217,249754,105700.899,282015326.68370,0
1722817800000,2650.58,2663.12,2475.25,2526.04,664362.147,1722819599999,1713883597.10689,576567,277430.054,716996947.69617,0
1722819600000,2526.04,2538.73,2112.00,2321.88,1730307.186,1722821399999,4038641733.39936,1487245,782740.841,1827681250.38970,0
1722821400000,2321.84,2383.55,2283.08,2317.37,589509.695,1722823199999,1377966801.24346,678924,287427.090,672201020.32377,0
1722823200000,2317.37,2331.84,2204.18,2283.01,557254.665,1722824999999,1266838462.80370,582284,253580.846,576988079.23309,0
1722825000000,2283.01,2337.15,2254.24,2332.87,364376.156,1722826799999,836509238.31910,383989,185241.144,425444051.70895,0
1722826800000,2332.88,2335.00,2284.12,2314.22,278651.274,1722828599999,643213170.34433,315277,140248.085,323712188.98154,0
1722828600000,2314.23,2343.68,2303.53,2311.67,207802.077,1722830399999,482760715.01458,224111,98983.158,230057270.66515,0
1722830400000,2311.64,2384.97,2305.85,2353.04,264148.331,1722832199999,621735046.79224,270413,135712.543,319328121.38453,0
1722832200000,2353.04,2360.00,2334.06,2335.00,151517.052,1722833999999,355298816.08139,192050,69243.926,162417414.27759,0
1722834000000,2335.00,2354.20,2260.38,2343.71,408116.982,1722835799999,941921963.64843,418063,194444.620,449023319.32556,0
1722835800000,2343.72,2364.59,2302.06,2310.31,260554.191,1722837599999,608699770.87034,320673,129137.203,301717162.37828,0
1722837600000,2310.31,2321.44,2150.37,2200.70,673067.176,1722839399999,1506616937.77373,642847,314534.517,704963713.62686,0
1722839400000,2201.00,2272.12,2177.01,2267.39,488525.689,1722841199999,1085809924.13659,546051,248996.597,553486773.63362,0
1722841200000,2267.36,2347.14,2255.59,2341.02,302806.485,1722842999999,696912553.10886,358845,160521.748,369544607.98956,0
1722843000000,2341.02,2367.53,2325.00,2356.42,211487.107,1722844799999,497037427.35839,249198,105747.769,248601811.06381,0
1722844800000,2356.42,2361.99,2309.13,2322.24,219491.007,1722846599999,513257907.32166,253751,100878.428,235964886.55933,0
1722846600000,2322.24,2335.00,2290.01,2324.40,186096.241,1722848399999,430585593.34229,251849,93854.130,217256582.84920,0
1722848400000,2324.41,2337.00,2301.53,2324.52,131181.549,1722850199999,304589043.91458,193728,64939.687,150796005.33325,0
1722850200000,2324.53,2329.05,2273.80,2315.90,167121.429,1722851999999,384545817.33464,229871,79948.053,183968464.20503,0
1722852000000,2315.90,2317.90,2251.52,2262.54,169283.828,1722853799999,386206315.39607,232601,75849.155,173093473.49414,0
1722853800000,2262.55,2286.89,2222.31,2271.37,258993.007,1722855599999,584339385.35807,289303,126810.479,286265960.97865,0
1722855600000,2271.41,2283.98,2224.55,2234.50,245995.626,1722857399999,554912138.82683,262857,118880.461,268206319.56991,0
1722857400000,2234.58,2301.97,2223.50,2289.89,268669.209,1722859199999,607151317.27286,264462,141166.677,319144563.38999,0
1722859200000,2289.89,2306.38,2226.01,2232.80,231112.159,1722860999999,522610898.52108,252089,115589.683,261443343.36294,0
1722861000000,2232.79,2277.49,2196.15,2227.55,342618.205,1722862799999,767334252.96983,353351,162533.434,364107060.43769,0
