open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1730764800000,2397.36,2410.31,2395.82,2405.28,60731.460,1730766599999,146021049.69625,94798,33762.643,81170563.49872,0
1730766600000,2405.29,2410.27,2397.35,2399.95,38437.619,1730768399999,92400374.66972,75798,15508.862,37286880.28551,0
1730768400000,2399.95,2403.46,2381.28,2383.72,69988.159,1730770199999,167419043.31583,99820,27373.024,65480447.71443,0
1730770200000,2383.71,2412.87,2379.48,2410.15,77848.286,1730771999999,186694332.54223,118040,45213.817,108414877.49364,0
1730772000000,2410.14,2415.24,2406.01,2411.41,29435.938,1730773799999,70967895.82072,68979,15343.312,36995567.93808,0
1730773800000,2411.41,2414.37,2399.62,2404.70,28608.670,1730775599999,68789773.36657,54266,11957.878,28763006.46340,0
1730775600000,2404.70,2418.10,2404.24,2417.40,33678.611,1730777399999,81221722.42435,55846,21179.341,51086256.47762,0
1730777400000,2417.41,2421.06,2410.03,2419.73,52664.588,1730779199999,127164882.39748,54770,40398.831,97535778.56343,0
1730779200000,2419.73,2429.68,2416.22,2426.26,53219.983,1730780999999,129002929.18376,80029,27794.819,67380547.77788,0
1730781000000,2426.25,2433.50,2424.00,2428.11,24141.988,1730782799999,58631898.98198,50998,11810.053,28681945.49628,0
1730782800000,2428.11,2430.00,2422.32,2425.93,19676.750,1730784599999,47722262.84509,39273,7405.936,17963929.90458,0
1730784600000,2425.93,2434.52,2424.73,2431.37,24728.999,1730786399999,60084319.64709,44275,12094.174,29385356.68665,0
1730786400000,2431.37,2432.80,2422.94,2425.32,30825.978,1730788199999,74826510.57062,49155,13265.510,32208892.37410,0
1730788200000,2425.32,2430.75,2424.60,2429.30,18232.173,1730789999999,44265406.08809,35496,10798.518,26219998.44365,0
1730790000000,2429.30,2432.00,2420.96,2422.59,27596.657,1730791799999,66968407.19624,45902,14924.729,36221437.55199,0
1730791800000,2422.59,2444.79,2422.58,2442.32,80784.148,1730793599999,196974877.16548,97023,46485.069,113325041.08357,0
1730793600000,2442.33,2444.59,2434.47,2435.66,31557.102,1730795399999,76968823.41138,57123,13466.110,32851454.40347,0
1730795400000,2435.66,2442.46,2432.36,2441.41,22371.076,1730797199999,54521783.90500,47239,11441.948,27887039.55495,0
1730797200000,2441.41,2447.31,2437.10,2437.11,39677.179,1730798999999,96940229.46165,62463,17730.140,43326201.76414,0
1730799000000,2437.10,2441.87,2434.20,2434.64,26455.673,1730800799999,64481254.70302,44363,11631.949,28353335.06089,0
1730800800000,2434.64,2436.98,2429.18,2436.98,33368.807,1730802599999,81181473.82411,49254,17145.626,41717525.34277,0
1730802600000,2436.98,2438.63,2433.44,2434.66,16384.694,1730804399999,39907944.14494,33946,6132.973,14940243.43090,0
1730804400000,2434.66,2440.99,2434.66,2439.05,19447.018,1730806199999,47424753.31931,33206,11308.954,27578473.98348,0
1730806200000,2439.05,2442.62,2436.04,2439.88,19914.177,1730807999999,48581584.48385,38888,9858.437,24051454.61916,0
1730808000000,2439.88,2442.60,2435.20,2436.70,20343.263,1730809799999,49609313.03289,38199,9534.658,23252256.77323,0
1730809800000,2436.70,2447.56,2434.80,2443.15,37864.553,1730811599999,92512777.10233,53414,19126.641,46730185.05414,0
1730811600000,2443.16,2444.58,2436.00,2439.74,22967.031,1730813399999,56020650.55269,45458,10821.494,26394268.90526,0
1730813400000,2439.74,2445.00,2439.12,2441.19,25397.251,1730815199999,62025731.87073,48573,12507.173,30547021.46949,0
1730815200000,2441.19,2464.55,2437.75,2457.55,98118.937,1730816999999,240854735.02270,111558,56716.050,139223988.34822,0
1730817000000,2457.55,2479.60,2456.61,2468.98,209448.306,1730818799999,517088391.23564,248337,109546.330,270474691.08856,0
1730818800000,2468.97,2473.32,2428.05,2436.92,245335.554,1730820599999,601277576.57574,272374,108798.736,266840532.67088,0
1730820600000,2436.92,2449.57,2426.00,2440.22,133997.425,1730822399999,326703951.79070,174201,73331.475,178842487.99079,0
1730822400000,2440.22,2451.84,2436.81,2450.88,55541.764,1730824199999,135822435.80681,93581,30701.248,75086410.35768,0
1730824200000,2450.88,2469.00,2448.35,2461.43,102374.202,1730825999999,251634926.52282,143876,53410.644,131294746.83315,0
1730826000000,2461.42,2474.97,2457.04,2459.20,86373.501,1730827799999,213077521.48046,103258,46900.217,115702282.70286,0
1730827800000,2459.21,2460.58,2450.00,2450.45,46792.336,1730829599999,114890382.18301,71873,23260.088,57118382.38356,0
1730829600000,2450.45,2456.22,2445.23,2452.41,36408.799,1730831399999,89218295.37201,66295,18254.977,44739873.62245,0
1730831400000,2452.42,2458.50,2448.07,2451.65,53079.301,1730833199999,130168248.24149,58683,31367.696,76915529.53815,0
1730833200000,2451.64,2454.00,2438.94,2446.31,36057.521,1730834999999,88194667.02305,62201,16300.698,39883668.05530,0
1730835000000,2446.31,2447.70,2400.23,2407.30,154418.739,1730836799999,373732807.06224,179240,63954.999,154744794.29286,0
1730836800000,2407.30,2431.00,2400.33,2430.41,99793.291,1730838599999,241489689.28028,144284,54558.543,132009546.77336,0
1730838600000,2430.41,2435.73,2424.70,2425.74,34478.010,1730840399999,83800470.44507,72415,16463.118,40018407.33719,0
1730840400000,2425.74,2429.05,2419.75,2423.72,27037.612,1730842199999,65536647.10880,55217,13028.927,31584765.60479,0
1730842200000,2423.72,2426.69,2412.13,2414.42,20960.808,1730843999999,50685795.43978,47257,9463.607,22885809.30302,0
1730844000000,2414.42,2422.98,2406.34,2420.86,38829.250,1730845799999,93710876.95969,66032,19766.642,47723292.67346,0
1730845800000,2420.86,2434.69,2420.85,2433.73,27722.995,1730847599999,67301573.36986,46302,16315.456,39610841.75647,0
1730847600000,2433.73,2437.67,2429.47,2436.81,24222.961,1730849399999,58930660.45527,57749,12309.369,29950674.16281,0
1730849400000,2436.83,2439.36,2419.10,2421.42,40520.088,1730851199999,98355101.66399,69055,13752.827,33390849.30231,0
