open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1717545600000,3813.11,3822.63,3811.40,3820.56,13735.427,1717547399999,52422008.56776,32098,7684.239,29327529.67415,0
1717547400000,3820.57,3832.42,3816.30,3822.47,31997.718,1717549199999,122386276.41642,51323,16995.235,65015849.85646,0
1717549200000,3822.47,3838.98,3815.20,3835.82,27107.971,1717550999999,103721296.01281,51260,15541.938,59485043.68564,0
1717551000000,3835.83,3845.00,3823.90,3825.76,50884.667,1717552799999,195150940.93349,83111,25229.325,96771612.66143,0
1717552800000,3825.76,3826.71,3800.01,3811.20,59740.568,1717554599999,227829046.76360,80155,25481.061,97167909.97656,0
1717554600000,3811.21,3818.84,3804.82,3806.00,32006.176,1717556399999,121956500.26606,53879,18156.927,69193334.79699,0
1717556400000,3806.00,3813.57,3803.31,3809.69,18657.948,1717558199999,71062504.68831,44808,9880.832,37633549.34693,0
1717558200000,3809.68,3813.89,3808.61,3813.01,10836.392,1717559999999,41298777.54959,29614,6312.990,24059631.58440,0
1717560000000,3813.01,3813.97,3805.62,3809.66,15121.213,1717561799999,57615737.19752,32453,7567.139,28832907.24532,0
1717561800000,3809.66,3815.24,3806.59,3811.85,19326.261,1717563599999,73640888.42681,42575,9862.247,37580490.81163,0
1717563600000,3811.86,3813.56,3786.82,3789.99,114257.753,1717565399999,433598832.48470,109759,51049.232,193660886.58091,0
1717565400000,3789.98,3792.69,3778.91,3790.18,55145.555,1717567199999,208759721.98725,65024,28799.813,109025980.18427,0
1717567200000,3790.19,3801.74,3785.22,3801.32,39857.521,1717568999999,151254756.26795,57664,21297.006,80830512.04638,0
1717569000000,3801.31,3816.97,3801.21,3816.97,37260.244,1717570799999,141879537.74384,49389,18043.840,68710795.95152,0
1717570800000,3816.97,3823.40,3808.62,3818.59,32254.045,1717572599999,123076092.94483,57926,15560.638,59385255.72588,0
1717572600000,3818.59,3820.99,3803.32,3811.35,45387.900,1717574399999,173114693.55848,59386,20621.516,78666998.67518,0
1717574400000,3811.36,3813.53,3801.29,3807.12,23714.112,1717576199999,90262677.89168,44608,10439.224,39733851.89983,0
1717576200000,3807.12,3816.14,3803.82,3805.28,24792.655,1717577999999,94430451.85377,43941,14431.193,54976168.18258,0
1717578000000,3805.29,3808.78,3803.17,3803.76,11471.965,1717579799999,43666060.44915,28039,4940.760,18805496.77347,0
1717579800000,3803.75,3804.14,3792.01,3799.99,31217.781,1717581599999,118565036.03188,55867,13115.673,49810374.39726,0
1717581600000,3799.98,3801.55,3793.03,3794.87,17173.745,1717583399999,65205763.35773,34234,7225.563,27434078.58977,0
1717583400000,3794.86,3804.10,3790.03,3797.40,22733.785,1717585199999,86337521.87319,47147,10830.727,41137359.39725,0
1717585200000,3797.39,3806.40,3792.30,3806.00,17707.137,1717586999999,67305192.23606,41332,9964.309,37877070.66249,0
1717587000000,3806.00,3810.63,3803.74,3806.87,27443.418,1717588799999,104476129.64433,40278,17299.482,65860777.13537,0
1717588800000,3806.86,3820.00,3804.77,3809.43,53180.023,1717590599999,202746431.24342,78794,27047.163,103127242.12844,0
1717590600000,3809.43,3827.47,3804.67,3822.60,55460.566,1717592399999,211799694.43025,85072,28714.884,109694439.54530,0
1717592400000,3822.59,3824.85,3812.99,3816.84,34123.735,1717594199999,130277938.94695,59009,16105.323,61484797.87376,0
1717594200000,3816.84,3816.84,3793.61,3801.92,55312.295,1717595999999,210335356.16099,96536,23682.042,90058235.68820,0
1717596000000,3801.99,3803.00,3783.21,3798.77,71932.003,1717597799999,272863414.00709,103593,34473.437,130768698.68625,0
1717597800000,3798.83,3805.55,3795.71,3797.40,28916.419,1717599599999,109944820.33324,60814,14790.210,56237065.49334,0
1717599600000,3797.43,3819.96,3793.98,3818.72,47594.707,1717601399999,181347624.56414,70945,25857.494,98532390.46916,0
1717601400000,3818.72,3823.78,3811.14,3816.63,44484.299,1717603199999,169809276.81820,71348,23111.096,88228514.21973,0
1717603200000,3816.62,3824.32,3810.60,3815.28,33466.606,1717604999999,127805259.97699,59772,17179.319,65611192.45957,0
1717605000000,3815.27,3816.88,3798.21,3804.07,35176.500,1717606799999,133897019.94785,61014,16432.076,62547722.95182,0
1717606800000,3804.06,3823.88,3802.00,3821.27,39971.697,1717608599999,152621905.96008,67306,20599.314,78643765.99638,0
1717608600000,3821.27,3853.28,3821.26,3844.66,111211.649,1717610399999,426817871.63415,125569,68382.723,262425441.50223,0
1717610400000,3844.66,3875.00,3843.82,3859.64,150482.170,1717612199999,581595732.48801,207978,75202.739,290595857.17123,0
1717612200000,3859.64,3870.10,3840.53,3848.24,74309.390,1717613999999,286426588.29465,103444,32697.856,126026324.42200,0
