open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1714867200000,3115.46,3125.68,3111.82,3119.44,29409.853,1714868999999,91699998.59552,43945,15545.253,48475540.43670,0
1714869000000,3119.43,3120.00,3082.59,3107.07,90869.204,1714870799999,281604133.00863,106828,40342.797,125045560.60727,0
1714870800000,3107.07,3113.06,3080.73,3088.64,65378.381,1714872599999,202319463.72494,90595,31336.771,96984536.03600,0
1714872600000,3088.64,3092.51,3071.10,3089.21,70512.981,1714874399999,217205779.28925,92409,36860.554,113551398.85070,0
1714874400000,3089.21,3095.61,3084.00,3092.50,21516.073,1714876199999,66482186.03423,37709,10918.354,33746215.33444,0
1714876200000,3092.50,3095.16,3079.14,3080.20,19137.482,1714877999999,59063052.74161,34477,7317.428,22589977.61895,0
1714878000000,3080.19,3086.75,3075.00,3075.86,18376.721,1714879799999,56625023.46774,33724,8942.278,27557353.30887,0
1714879800000,3075.86,3086.66,3072.82,3085.60,17829.779,1714881599999,54918399.27865,38607,10275.566,31652586.35435,0
1714881600000,3085.60,3093.11,3085.13,3093.11,19066.968,1714883399999,58901856.49800,31923,11422.549,35288052.61867,0
1714883400000,3093.11,3094.00,3084.05,3087.77,15123.540,1714885199999,46709626.74428,26028,6164.130,19036546.29564,0
1714885200000,3087.77,3097.15,3086.42,3090.60,18615.320,1714886999999,57551822.05869,27295,10377.307,32086728.13790,0
1714887000000,3090.60,3092.00,3078.83,3084.38,15143.380,1714888799999,46718940.05620,29310,5929.714,18294810.29133,0
1714888800000,3084.37,3093.64,3080.09,3090.56,12499.105,1714890599999,38596934.28322,25809,7539.606,23285541.50891,0
1714890600000,3090.56,3095.33,3087.11,3090.65,11581.978,1714892399999,35803267.39962,22424,4824.109,14913116.19770,0
1714892400000,3090.65,3106.65,3088.45,3100.71,33370.214,1714894199999,103427982.63569,47237,19306.581,59840081.33554,0
1714894200000,3100.70,3113.79,3099.32,3103.98,34272.724,1714895999999,106513441.74412,51915,16655.953,51765657.03453,0
1714896000000,3103.97,3131.72,3101.99,3129.36,42571.110,1714897799999,132723717.27587,57266,24633.400,76805747.42547,0
1714897800000,3129.36,3171.15,3117.06,3154.74,145543.219,1714899599999,458711424.37522,168944,73479.792,231578091.76634,0
1714899600000,3154.74,3156.22,3128.01,3136.56,72923.481,1714901399999,228923053.33507,95085,32848.277,103111462.46843,0
1714901400000,3136.55,3149.33,3132.35,3142.02,29779.704,1714903199999,93557081.56870,46398,16751.754,52624012.10998,0
1714903200000,3142.02,3150.93,3132.73,3134.49,33003.622,1714904999999,103682850.35856,49863,14722.789,46266565.63576,0
1714905000000,3134.49,3139.36,3126.83,3133.01,25351.313,1714906799999,79411666.87589,40498,12303.573,38546527.08526,0
1714906800000,3133.01,3139.95,3126.31,3137.00,21593.618,1714908599999,67672941.96625,38268,12078.193,37858206.55008,0
1714908600000,3137.01,3139.75,3130.12,3136.56,15203.244,1714910399999,47673046.25442,30983,7771.765,24373044.46896,0
1714910400000,3136.56,3139.73,3128.00,3133.24,14645.579,1714912199999,45894092.08492,32752,7741.647,24262318.87250,0
1714912200000,3133.23,3138.26,3129.03,3136.26,11616.006,1714913999999,36404125.87903,25304,6306.633,19764763.20998,0
1714914000000,3136.25,3154.20,3127.96,3138.75,51822.818,1714915799999,162938078.54724,75613,26561.517,83526913.50029,0
1714915800000,3138.76,3152.44,3125.00,3146.11,58132.332,1714917599999,182527988.49275,83896,25502.920,80088863.18160,0
1714917600000,3146.11,3146.57,3126.68,3130.61,49246.311,1714919399999,154257455.40874,59426,22907.189,71738497.93954,0
