open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1709596800000,3629.72,3637.77,3615.44,3621.29,59924.414,1709598599999,217428709.59308,110225,29661.994,107632688.19106,0
1709598600000,3621.30,3640.43,3610.12,3622.01,74926.985,1709600399999,271859851.29309,119829,33034.977,119840878.89130,0
1709600400000,3622.01,3642.57,3618.02,3641.29,56446.099,1709602199999,204797139.12795,108163,29523.497,107125515.94889,0
1709602200000,3641.28,3661.40,3637.04,3647.65,96821.440,1709603999999,353374212.84819,138622,50234.675,183365796.72714,0
1709604000000,3647.64,3648.46,3618.00,3625.19,82632.147,1709605799999,300188018.34970,116105,39512.974,143539783.66886,0
1709605800000,3625.19,3631.69,3611.00,3627.00,58422.648,1709607599999,211519516.06719,96314,26740.529,96825674.58791,0
1709607600000,3627.00,3648.86,3616.15,3647.97,53701.522,1709609399999,195119624.97553,79089,27998.771,101736222.06710,0
1709609400000,3647.99,3705.60,3647.99,3695.86,155015.386,1709611199999,570030017.72476,176610,80460.683,295930774.53760,0
1709611200000,3695.86,3751.11,3692.50,3722.64,252164.707,1709612999999,939985888.60492,286109,125928.561,469365985.19294,0
1709613000000,3722.64,3738.68,3676.21,3702.73,169525.225,1709614799999,628077335.14526,208532,79368.587,294121046.13693,0
1709614800000,3702.73,3714.22,3645.91,3711.40,250878.579,1709616599999,923649040.13867,277850,128722.789,473985733.05097,0
1709616600000,3711.40,3743.89,3699.21,3722.88,147494.213,1709618399999,549214835.09924,185380,76047.133,283148709.89447,0
1709618400000,3722.88,3728.02,3704.53,3723.94,80472.929,1709620199999,299061932.39389,101427,36558.433,135858016.15796,0
1709620200000,3723.94,3732.45,3708.16,3717.00,58339.438,1709621999999,217114177.59325,90431,26844.859,99893526.85067,0
1709622000000,3717.00,3726.94,3702.07,3703.14,60323.159,1709623799999,224176427.59295,85961,28147.759,104614804.63029,0
1709623800000,3703.14,3707.50,3678.00,3678.00,91767.675,1709625599999,338900000.93717,137587,42453.947,156819017.57639,0
1709625600000,3678.00,3695.96,3656.00,3690.60,136734.900,1709627399999,503162357.32710,181950,66560.008,245006268.89014,0
1709627400000,3690.59,3706.24,3683.16,3697.82,47467.187,1709629199999,175508497.13617,75548,23410.840,86571935.30255,0
1709629200000,3697.74,3709.11,3684.78,3702.69,42816.159,1709630999999,158288137.44281,63178,21418.867,79189321.77013,0
1709631000000,3702.69,3702.70,3680.08,3694.91,40989.744,1709632799999,151253347.79540,71649,20642.648,76166617.68965,0
1709632800000,3694.91,3720.00,3693.65,3719.00,56414.752,1709634599999,209101290.61555,72491,33067.589,122606276.52484,0
1709634600000,3719.00,3732.91,3714.42,3717.37,71579.526,1709636399999,266654938.72185,96503,35897.856,133741598.44077,0
1709636400000,3717.36,3748.00,3716.62,3747.46,65491.999,1709638199999,244561680.32437,94734,35181.938,131383938.97194,0
1709638200000,3747.46,3750.00,3731.00,3737.96,66830.502,1709639999999,250020617.54860,100638,31700.982,118609278.37116,0
1709640000000,3737.95,3777.20,3737.06,3775.23,130572.202,1709641799999,491331983.85440,164513,71496.972,269009109.68068,0
1709641800000,3775.22,3775.87,3755.07,3762.61,58434.558,1709643599999,219932057.14339,95772,25184.048,94789934.53788,0
1709643600000,3762.62,3784.00,3757.81,3764.00,82520.624,1709645399999,311133275.19811,116679,44688.014,168522809.53479,0
1709645400000,3764.01,3786.02,3754.50,3782.20,88172.958,1709647199999,332565933.62235,125720,44135.090,166489163.40576,0
1709647200000,3782.21,3793.28,3761.44,3768.64,116254.733,1709648999999,439197488.22701,164772,57567.744,217512945.91663,0
1709649000000,3768.64,3812.40,3750.00,3808.59,178656.853,1709650799999,676180452.76371,233222,88922.693,336625812.91153,0
1709650800000,3808.58,3827.93,3752.76,3786.16,366148.555,1709652599999,1390834766.49686,403516,179132.051,680633760.59819,0
1709652600000,3786.16,3822.00,3757.79,3786.85,252791.571,1709654399999,959203772.79466,300027,129033.506,489581421.72217,0
1709654400000,3786.85,3800.30,3666.00,3731.89,625129.618,1709656199999,2324414379.92620,605830,297453.105,1105909943.48215,0
1709656200000,3731.89,3732.94,3676.99,3695.00,195526.728,1709657999999,724178800.56759,264799,93426.794,346046534.43211,0
1709658000000,3695.00,3695.82,3560.43,3649.48,523203.515,1709659799999,1900620673.39093,484057,240465.231,873592570.30008,0
1709659800000,3649.48,3695.67,3630.02,3692.66,161488.845,1709661599999,591455527.79560,212463,82035.388,300561667.97992,0
1709661600000,3692.65,3692.66,3619.11,3653.66,158424.910,1709663399999,580846858.41107,173899,74134.882,271929063.89442,0
1709663400000,3653.67,3669.02,3593.05,3615.65,146455.584,1709665199999,531019561.38333,177946,69535.134,252183261.86129,0
1709665200000,3615.66,3631.68,3533.57,3580.73,275288.995,1709666999999,984759635.79174,266887,128212.183,458951470.88479,0
1709667000000,3580.74,3585.74,3205.00,3377.73,950071.536,1709668799999,3239812178.67899,729718,411166.833,1402771597.36041,0
1709668800000,3377.53,3470.40,3356.80,3426.75,559455.296,1709670599999,1919604049.79363,540956,277671.827,952787813.46280,0
1709670600000,3426.75,3435.00,3326.04,3388.71,408587.683,1709672399999,1384228156.58330,386347,195977.029,664032699.05838,0
1709672400000,3388.70,3532.80,3386.48,3532.53,308791.165,1709674199999,1071052598.05420,335220,163014.463,565402837.27958,0
1709674200000,3532.53,3532.99,3490.01,3522.38,158533.232,1709675999999,556706252.29956,190714,77632.273,272606999.28349,0
1709676000000,3522.38,3530.18,3455.00,3489.68,152805.178,1709677799999,533477915.21232,166721,72732.240,253914792.21593,0
1709677800000,3489.67,3510.79,3430.95,3508.62,87789.660,1709679599999,305407247.66070,112566,42721.439,148700278.90263,0
1709679600000,3508.61,3542.74,3495.43,3541.53,68381.945,1709681399999,240786284.36226,98842,35255.371,124176518.34651,0
