open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1712275200000,3329.65,3330.36,3314.11,3314.75,34691.156,1712276999999,115225922.88953,64656,15128.593,50252978.11899,0
1712277000000,3314.75,3337.80,3310.52,3331.34,33053.928,1712278799999,109845332.62302,64304,19092.755,63456485.49070,0
1712278800000,3331.35,3331.96,3290.00,3305.43,58556.384,1712280599999,193742056.51925,86267,23463.069,77657267.89816,0
1712280600000,3305.29,3311.47,3287.12,3302.06,46426.949,1712282399999,153170912.32852,70802,24307.725,80208334.62074,0
1712282400000,3302.06,3302.69,3275.00,3288.73,50390.666,1712284199999,165758866.23584,89282,23199.261,76332196.84194,0
1712284200000,3288.72,3291.72,3252.59,3269.37,112745.776,1712285999999,368233523.05593,146412,51443.427,168031534.46716,0
1712286000000,3269.37,3297.21,3266.04,3295.51,49988.575,1712287799999,164158207.79118,75043,28668.485,94139156.15189,0
1712287800000,3295.51,3313.00,3293.15,3310.00,46806.392,1712289599999,154592269.62870,70901,25773.378,85134068.41589,0
1712289600000,3310.00,3321.94,3303.89,3305.68,52160.267,1712291399999,172789512.99940,71755,28787.995,95386269.06866,0
1712291400000,3305.68,3306.36,3277.73,3298.40,64352.438,1712293199999,211886541.20017,86716,30194.245,99419576.40086,0
1712293200000,3298.40,3299.84,3241.71,3259.28,120969.760,1712294999999,394663654.38224,154644,53110.965,173237575.25680,0
1712295000000,3259.29,3280.91,3257.92,3275.81,48178.243,1712296799999,157582163.78561,87111,24880.958,81378951.16194,0
1712296800000,3275.81,3289.03,3271.92,3289.03,27643.424,1712298599999,90680413.25131,49150,15431.202,50626543.85346,0
1712298600000,3289.02,3294.08,3275.01,3290.15,38834.412,1712300399999,127637788.18887,56635,19162.657,62987616.67374,0
1712300400000,3290.16,3291.66,3274.69,3288.96,27807.837,1712302199999,91313050.25671,51920,13537.803,44457366.81118,0
1712302200000,3288.97,3294.61,3281.41,3289.18,28951.046,1712303999999,95177267.84722,51071,14199.502,46684212.86604,0
1712304000000,3289.18,3315.15,3286.56,3302.26,59871.180,1712305799999,197630443.80712,83633,31977.417,105549409.43485,0
1712305800000,3302.25,3302.94,3279.15,3287.06,44164.376,1712307599999,145263190.05177,78317,21185.615,69691589.44017,0
