open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1730851200000,2421.41,2457.41,2419.20,2451.83,93359.648,1730852999999,227663160.74880,139856,48937.235,119327294.61405,0
1730853000000,2451.83,2493.49,2451.70,2484.00,221689.281,1730854799999,548672492.14975,288949,114590.100,283642906.54902,0
1730854800000,2484.00,2509.79,2471.79,2480.26,236249.929,1730856599999,588557416.02926,308690,111252.055,277218898.61306,0
1730856600000,2480.27,2492.75,2469.26,2481.33,91863.086,1730858399999,227867011.25919,156223,47985.131,119047350.03313,0
1730858400000,2481.33,2543.52,2475.86,2539.42,219469.420,1730860199999,552584487.33543,276264,125603.706,316201209.45772,0
1730860200000,2539.41,2577.60,2538.90,2567.76,229664.595,1730861999999,587549803.06015,343880,120928.071,309424961.61501,0
1730862000000,2567.77,2637.32,2562.96,2586.69,479774.757,1730863799999,1247064175.98400,573656,245943.958,639292312.73680,0
1730863800000,2586.69,2599.75,2575.00,2579.04,147157.625,1730865599999,380472495.38811,221946,63926.295,165368022.77405,0
1730865600000,2579.04,2604.57,2575.00,2590.38,198964.368,1730867399999,515279800.52077,227979,122758.164,317985340.13536,0
1730867400000,2590.38,2603.78,2580.09,2583.60,101770.475,1730869199999,264088036.64418,147792,47936.659,124423353.48531,0
1730869200000,2583.60,2590.66,2560.56,2587.38,191838.721,1730870999999,493983093.84839,239264,87867.834,226359750.70573,0
1730871000000,2587.38,2598.00,2580.50,2596.99,85827.952,1730872799999,222369153.39955,110921,52967.981,137250176.31554,0
1730872800000,2596.98,2625.00,2589.94,2602.82,211102.411,1730874599999,550368784.82494,237763,117112.925,305361235.56290,0
1730874600000,2602.82,2613.98,2583.08,2584.04,147185.662,1730876399999,382434183.00591,210566,68161.848,177184829.02809,0
1730876400000,2584.04,2626.37,2583.52,2619.92,111908.902,1730878199999,291685299.02817,175973,60109.963,156690381.54375,0
1730878200000,2619.92,2644.77,2585.00,2595.40,341486.253,1730879999999,893203756.32700,383238,173053.339,453141397.74994,0
1730880000000,2595.40,2606.31,2575.46,2584.03,215478.322,1730881799999,557916997.92395,280343,92374.323,239265139.26327,0
1730881800000,2584.03,2607.98,2572.40,2607.40,107859.250,1730883599999,279455517.82980,174786,64310.970,166686202.34929,0
1730883600000,2607.40,2630.00,2605.89,2621.99,127824.174,1730885399999,334823794.79602,175314,67265.691,176183626.51210,0
1730885400000,2621.99,2630.00,2616.21,2623.00,64855.022,1730887199999,170097117.75840,110500,31179.610,81798144.20015,0
1730887200000,2623.00,2626.00,2610.51,2616.11,68699.501,1730888999999,179717991.70486,94459,31881.153,83410843.21123,0
1730889000000,2616.10,2631.40,2611.58,2624.39,58454.905,1730890799999,153417294.67722,87454,29120.472,76430131.62396,0
1730890800000,2624.40,2634.91,2618.01,2631.04,62891.646,1730892599999,165269172.87715,90359,34457.889,90554563.50662,0
1730892600000,2631.04,2638.58,2625.68,2629.83,90816.006,1730894399999,239036676.07662,100854,52088.390,137120650.65171,0
1730894400000,2629.83,2650.00,2628.90,2636.22,145012.361,1730896199999,383033432.96541,144375,88663.653,234220172.71028,0
1730896200000,2636.23,2647.20,2633.45,2633.59,68517.154,1730897999999,180863275.86685,96943,32191.280,84980565.74801,0
1730898000000,2633.59,2635.67,2607.00,2620.42,150373.655,1730899799999,394341095.93709,160268,66316.934,173883310.13493,0
1730899800000,2620.43,2626.00,2615.19,2618.35,83707.992,1730901599999,219292034.02606,100574,33411.173,87548378.80757,0
1730901600000,2618.35,2627.19,2612.14,2627.17,87410.438,1730903399999,228985859.48641,102012,48869.130,128066129.79382,0
1730903400000,2627.17,2643.33,2608.13,2614.44,181067.489,1730905199999,475387373.18634,235638,88192.314,231700931.77372,0
1730905200000,2614.47,2668.00,2611.83,2662.07,204284.450,1730906999999,540911390.58808,261954,109212.351,289114789.94859,0
1730907000000,2662.06,2662.26,2633.36,2634.28,128769.081,1730908799999,340600815.52366,186254,63782.486,168688144.65761,0
1730908800000,2634.28,2653.00,2633.65,2651.91,70189.915,1730910599999,185547013.71948,126765,37785.128,99899908.59342,0
1730910600000,2651.90,2665.94,2645.76,2656.40,99313.332,1730912399999,263931227.93460,135881,45533.129,121036164.20767,0
1730912400000,2656.40,2660.00,2643.43,2657.35,58634.856,1730914199999,155473870.88599,107611,30113.100,79852446.45551,0
1730914200000,2657.34,2661.15,2650.61,2652.71,28552.060,1730915999999,75826927.12392,66109,13300.358,35321223.44612,0
1730916000000,2652.72,2669.00,2651.17,2663.91,63987.320,1730917799999,170438089.41699,97273,33812.584,90067381.06073,0
1730917800000,2663.90,2679.26,2660.31,2677.95,67541.231,1730919599999,180509043.51512,103642,36918.663,98682202.86610,0
1730919600000,2677.94,2679.20,2663.21,2666.01,61649.257,1730921399999,164675971.48627,112300,26754.117,71468090.19175,0
1730921400000,2666.01,2687.80,2658.78,2687.74,100373.429,1730923199999,268311869.42086,125837,60003.836,160436963.34776,0
1730923200000,2687.74,2701.78,2671.42,2676.20,145307.998,1730924999999,390594337.43194,194840,69298.813,186372673.86602,0
1730925000000,2676.20,2697.30,2669.44,2689.92,75245.112,1730926799999,201595860.71733,119860,39995.783,107165335.24472,0
1730926800000,2689.92,2704.39,2682.63,2685.91,77353.472,1730928599999,208350287.99221,141237,36479.841,98282610.11757,0
1730928600000,2685.91,2695.00,2683.20,2686.99,35389.197,1730930399999,95138549.15011,82675,16321.831,43881878.27586,0
1730930400000,2687.00,2699.55,2684.08,2693.80,38132.392,1730932199999,102636561.44887,79236,18852.705,50743584.34375,0
1730932200000,2693.79,2746.02,2693.31,2736.27,200758.866,1730933999999,546982626.90735,191192,116865.418,318401936.53592,0
1730934000000,2736.26,2743.01,2721.10,2726.40,110583.829,1730935799999,302135203.56592,149582,51532.760,140778061.91451,0
1730935800000,2726.40,2726.66,2712.00,2722.49,52595.473,1730937599999,142966881.01391,81489,27952.383,75991551.71770,0
