open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1704499200000,2268.92,2270.34,2260.79,2263.01,34740.212,1704500999999,78737915.59329,44998,17122.298,38806897.58441,0
1704501000000,2263.00,2265.34,2258.05,2263.33,22000.424,1704502799999,49758063.66459,29519,11121.242,25152196.57499,0
1704502800000,2263.34,2263.95,2253.42,2256.42,27680.752,1704504599999,62500313.15075,33576,11726.281,26478670.88142,0
1704504600000,2256.42,2260.63,2253.08,2255.00,20546.044,1704506399999,46371724.56057,26577,8146.717,18389798.54890,0
1704506400000,2255.00,2256.80,2251.25,2254.90,27108.663,1704508199999,61099521.10069,31946,13421.716,30250249.67507,0
1704508200000,2254.89,2258.46,2254.52,2255.21,16632.471,1704509999999,37533760.15443,22614,8936.839,20167060.93325,0
1704510000000,2255.21,2256.44,2250.26,2254.09,19336.797,1704511799999,43565753.46647,25283,9096.479,20495449.34599,0
1704511800000,2254.09,2256.03,2251.56,2253.67,11606.630,1704513599999,26159779.52755,18077,6498.559,14647138.27849,0
1704513600000,2253.67,2255.99,2250.14,2252.15,11427.480,1704515399999,25744050.93559,17458,5219.260,11758382.51737,0
1704515400000,2252.14,2253.17,2245.00,2246.89,21751.014,1704517199999,48922224.96339,27228,9247.415,20798636.34273,0
1704517200000,2246.89,2249.83,2234.30,2236.57,57866.840,1704518999999,129698171.68860,58289,26068.454,58440982.62322,0
1704519000000,2236.57,2243.79,2230.00,2235.64,51304.992,1704520799999,114733558.29909,56783,26720.759,59765953.37068,0
1704520800000,2235.63,2235.98,2223.60,2227.66,54383.218,1704522599999,121286621.21612,59215,24990.763,55744099.92432,0
1704522600000,2227.67,2231.19,2215.56,2219.75,70502.889,1704524399999,156761546.60043,76069,36081.144,80230988.59540,0
1704524400000,2219.75,2231.06,2216.36,2230.68,56091.008,1704526199999,124773852.07404,60532,30852.921,68629790.40456,0
1704526200000,2230.68,2233.37,2226.53,2233.09,28680.473,1704527999999,63970475.79334,33903,15457.628,34479398.87242,0
1704528000000,2233.09,2238.00,2228.58,2237.53,27472.078,1704529799999,61351530.79373,36966,14955.738,33402363.76451,0
1704529800000,2237.53,2238.10,2230.27,2237.69,19822.357,1704531599999,44290410.75966,28837,9335.434,20859390.49705,0
1704531600000,2237.70,2239.63,2233.75,2238.65,19214.689,1704533399999,42982523.45549,26719,9889.230,22122847.29393,0
1704533400000,2238.65,2239.26,2234.00,2234.88,18089.509,1704535199999,40456166.77653,26006,7897.594,17662898.83231,0
1704535200000,2234.88,2236.06,2229.48,2236.02,27040.253,1704536999999,60363573.24680,39047,13469.561,30069494.94872,0
1704537000000,2236.03,2239.67,2234.50,2236.10,14167.823,1704538799999,31690398.32563,28344,7452.907,16670882.52997,0
1704538800000,2236.10,2237.74,2231.04,2237.36,19476.342,1704540599999,43527476.89877,29658,8484.591,18963104.28386,0
1704540600000,2237.37,2239.66,2234.29,2238.84,10926.214,1704542399999,24442135.62478,22264,5334.857,11934141.38792,0
1704542400000,2238.85,2242.56,2236.81,2237.55,23746.810,1704544199999,53184499.90729,31545,12618.616,28264765.95690,0
1704544200000,2237.55,2239.36,2228.18,2232.64,32864.762,1704545999999,73373858.44835,39907,13644.757,30461811.39211,0
1704546000000,2232.65,2236.66,2228.58,2234.39,19709.576,1704547799999,44023165.44086,26814,10278.272,22957811.55815,0
1704547800000,2234.39,2238.96,2233.16,2236.97,15860.065,1704549599999,35475309.02591,23999,9454.872,21149270.59917,0
1704549600000,2236.97,2245.93,2236.50,2245.00,36039.999,1704551399999,80821389.28086,42717,19555.068,43852313.31966,0
1704551400000,2245.00,2248.59,2238.11,2241.42,33784.001,1704553199999,75776206.33865,40514,18071.592,40537297.14774,0
1704553200000,2241.41,2246.75,2237.71,2245.50,18241.943,1704554999999,40929848.67625,30095,10039.401,22527169.73803,0
1704555000000,2245.49,2248.40,2241.32,2246.27,18571.923,1704556799999,41690080.23956,31718,8816.469,19792492.93061,0
1704556800000,2246.28,2250.07,2243.08,2245.16,21443.301,1704558599999,48182091.22430,33759,9760.651,21933851.37276,0
1704558600000,2245.16,2247.75,2243.01,2245.43,12880.369,1704560399999,28920018.61243,23742,5345.881,12003863.63367,0
1704560400000,2245.43,2247.50,2242.57,2242.86,11917.125,1704562199999,26748680.65765,23084,4520.048,10145149.17392,0
1704562200000,2242.86,2252.66,2242.35,2248.45,25842.433,1704563999999,58119688.33128,34908,12925.078,29070706.72363,0
1704564000000,2248.45,2249.96,2244.59,2249.96,15221.655,1704565799999,34206934.10039,22378,7545.255,16955017.39824,0
1704565800000,2249.95,2254.64,2246.14,2246.85,20003.404,1704567599999,45015444.69372,29360,10540.382,23723370.83892,0
1704567600000,2246.85,2247.79,2237.10,2241.69,34574.320,1704569399999,77516480.62140,41030,15239.564,34167698.37405,0
1704569400000,2241.69,2246.51,2239.14,2244.28,17034.346,1704571199999,38211237.22948,22947,8470.081,19001222.10521,0
1704571200000,2244.29,2247.63,2233.41,2242.90,43760.319,1704572999999,98009872.45504,42229,19608.971,43921354.64648,0
1704573000000,2242.90,2244.99,2239.40,2241.49,13337.428,1704574799999,29905332.48534,20330,6379.704,14304935.34013,0
1704574800000,2241.49,2242.22,2234.90,2239.70,17402.508,1704576599999,38957129.51293,26982,8750.633,19589814.51887,0
1704576600000,2239.70,2242.22,2237.29,2239.92,11511.199,1704578399999,25789910.44774,21798,6298.044,14111519.22396,0
1704578400000,2239.91,2240.96,2234.00,2236.73,11828.044,1704580199999,26465536.70349,21297,5579.977,12484548.67820,0
1704580200000,2236.73,2237.92,2230.03,2237.32,16462.095,1704581999999,36778781.10733,23605,7296.714,16303983.64955,0
1704582000000,2237.31,2238.17,2230.16,2236.13,25625.747,1704583799999,57232621.93426,36776,11882.662,26538083.57381,0
1704583800000,2236.13,2240.56,2235.70,2240.36,15778.200,1704585599999,35317553.33035,23617,8675.908,19418769.56515,0
