open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1707177600000,2300.83,2301.82,2297.74,2298.95,24446.718,1707179399999,56220785.11256,28990,9043.647,20799615.09362,0
1707179400000,2298.94,2301.97,2298.09,2301.97,8849.448,1707181199999,20353551.91279,19802,4813.129,11071057.13623,0
1707181200000,2301.97,2308.38,2299.58,2305.72,30012.336,1707182999999,69137644.07557,32364,18600.320,42849544.10676,0
1707183000000,2305.72,2311.84,2303.54,2306.62,24548.740,1707184799999,56662004.28187,34996,13503.937,31172089.12889,0
1707184800000,2306.63,2321.97,2305.34,2318.33,60131.913,1707186599999,139322807.11274,65310,33238.195,77007019.74685,0
1707186600000,2318.33,2329.30,2317.57,2323.77,52520.609,1707188399999,122119492.76420,62265,28174.401,65507470.78095,0
1707188400000,2323.77,2328.00,2319.16,2321.47,30851.459,1707190199999,71699853.71202,34159,12652.405,29408191.24024,0
1707190200000,2321.47,2321.74,2312.31,2315.79,31642.407,1707191999999,73322445.52406,36159,14726.377,34121741.51549,0
1707192000000,2315.79,2318.79,2312.31,2318.29,23608.152,1707193799999,54676195.09579,29770,12714.405,29451631.24080,0
1707193800000,2318.28,2318.29,2311.01,2313.87,16107.733,1707195599999,37279083.48278,23221,5856.206,13550982.25416,0
1707195600000,2313.87,2314.96,2307.00,2310.79,27586.762,1707197399999,63736446.06288,34722,12623.021,29165509.39019,0
1707197400000,2310.79,2313.74,2309.35,2313.11,13489.598,1707199199999,31179034.60756,19886,6663.457,15402141.19897,0
1707199200000,2313.10,2314.87,2308.23,2308.69,25063.374,1707200999999,57929667.30754,29062,10310.626,23834860.45723,0
1707201000000,2308.69,2316.50,2308.69,2315.64,14968.694,1707202799999,34622341.67778,22600,8743.280,20221981.99375,0
1707202800000,2315.64,2319.90,2310.24,2318.38,39594.096,1707204599999,91656815.95124,41071,25206.213,58351033.32091,0
1707204600000,2318.37,2326.98,2318.37,2326.05,46071.563,1707206399999,107045882.34477,52727,26754.209,62160631.23876,0
1707206400000,2326.05,2337.82,2322.51,2327.34,80722.485,1707208199999,188150002.93940,88010,39594.178,92297997.78213,0
1707208200000,2327.33,2336.58,2325.48,2336.30,49548.046,1707209999999,115546056.99063,57475,27284.706,63631568.12600,0
1707210000000,2336.30,2337.45,2327.35,2331.88,56913.516,1707211799999,132763356.90100,54319,28510.792,66508432.36261,0
1707211800000,2331.86,2334.56,2329.00,2333.67,22524.517,1707213599999,52511410.27473,29337,9990.136,23294784.13680,0
1707213600000,2333.66,2334.15,2327.52,2330.45,29582.386,1707215399999,68933110.09596,29898,10989.954,25606783.51705,0
1707215400000,2330.46,2344.45,2316.17,2326.05,131057.504,1707217199999,305323673.63047,122903,71271.528,166082579.64753,0
1707217200000,2326.05,2330.32,2317.28,2323.40,54078.538,1707218999999,125646721.86078,58397,26248.531,60988267.49939,0
1707219000000,2323.41,2327.75,2320.45,2324.58,19202.109,1707220799999,44634259.65035,32740,9942.052,23109440.53390,0
1707220800000,2324.59,2331.23,2319.59,2326.96,51031.902,1707222599999,118727426.85796,50580,23666.358,55067747.74476,0
1707222600000,2326.96,2331.79,2308.16,2325.35,94708.624,1707224399999,219726867.93200,82065,44285.308,102779468.14958,0
1707224400000,2325.36,2342.65,2318.83,2341.90,105488.047,1707226199999,246003105.90166,90157,60120.594,140258289.87880,0
1707226200000,2341.90,2350.00,2334.38,2337.13,90441.966,1707227999999,211804207.38415,81510,44406.750,104031212.67800,0
1707228000000,2337.13,2341.69,2330.66,2337.59,46751.614,1707229799999,109237745.89042,47249,21969.582,51342772.58920,0
1707229800000,2337.60,2346.86,2334.04,2337.77,74012.076,1707231599999,173228289.10698,63281,35830.040,83885353.68999,0
1707231600000,2337.78,2344.66,2328.93,2342.27,73331.693,1707233399999,171417970.87608,66635,39039.936,91294562.96334,0
1707233400000,2342.36,2346.14,2338.00,2342.85,40316.326,1707235199999,94395913.03065,48730,19544.183,45763828.60880,0
1707235200000,2342.84,2359.00,2340.00,2358.60,106910.508,1707236999999,251351243.35582,103146,58520.861,137591196.27462,0
1707237000000,2358.60,2361.99,2345.62,2346.21,62698.328,1707238799999,147539770.95853,71355,27666.331,65113013.26182,0
1707238800000,2346.20,2365.00,2344.16,2357.70,60846.035,1707240599999,143284127.09578,71657,33940.387,79934078.16391,0
1707240600000,2357.71,2358.32,2350.40,2353.00,19235.827,1707242399999,45275531.70216,32912,8540.476,20100448.92775,0
1707242400000,2353.00,2359.35,2349.26,2352.11,25834.560,1707244199999,60849543.16470,39600,13203.255,31098721.16425,0
1707244200000,2352.11,2364.80,2348.00,2363.12,36331.547,1707245999999,85605503.69470,50671,19741.174,46528714.94383,0
1707246000000,2363.13,2373.00,2358.86,2370.05,52983.789,1707247799999,125379423.41661,65401,28209.761,66772852.71467,0
1707247800000,2370.05,2378.99,2369.94,2377.85,54067.465,1707249599999,128375701.24003,64543,28573.866,67852083.40702,0
1707249600000,2377.86,2392.00,2377.78,2382.47,98030.481,1707251399999,233880807.25099,106773,50839.361,121281106.53981,0
1707251400000,2382.49,2387.71,2375.20,2379.34,48356.578,1707253199999,115109477.40626,54848,22356.045,53212223.31188,0
1707253200000,2379.34,2384.34,2374.19,2379.25,29952.954,1707254999999,71273588.76727,39969,13559.660,32267265.81251,0
1707255000000,2379.26,2385.58,2379.18,2379.61,22290.597,1707256799999,53111553.43956,35284,11648.606,27756358.36085,0
1707256800000,2379.62,2383.74,2375.40,2382.23,20209.674,1707258599999,48095157.16133,29459,10211.898,24301331.71157,0
1707258600000,2382.22,2383.66,2376.00,2380.74,13324.938,1707260399999,31715275.51392,23563,5882.130,14001431.37806,0
1707260400000,2380.74,2383.38,2371.03,2375.96,32776.062,1707262199999,77892861.92122,39662,12764.240,30337979.84451,0
1707262200000,2375.95,2375.96,2370.59,2371.74,24453.556,1707263999999,58028777.80705,30958,9712.576,23047818.74523,0
