open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1722902400000,2418.60,2513.87,2414.63,2512.77,184682.188,1722904199999,456918262.86519,209763,100836.468,249480341.86822,0
1722904200000,2512.76,2542.06,2504.97,2539.71,146450.550,1722905999999,369670836.68233,201400,74902.006,189119483.80647,0
1722906000000,2539.70,2545.91,2525.23,2528.52,96145.537,1722907799999,243771533.25084,154182,44750.858,113511233.45853,0
1722907800000,2528.52,2529.62,2497.22,2514.98,99104.721,1722909599999,249027900.81886,142125,49083.418,123309701.93941,0
1722909600000,2514.99,2520.59,2499.40,2506.61,72527.994,1722911399999,182016200.64635,116234,37405.947,93887154.18478,0
1722911400000,2506.60,2522.33,2498.55,2505.91,63058.508,1722913199999,158172175.07203,88403,32910.139,82560111.71840,0
1722913200000,2505.90,2507.35,2480.84,2499.25,76589.369,1722914999999,191055435.70640,111305,38491.817,96022427.87236,0
1722915000000,2499.26,2504.41,2483.95,2490.40,34633.971,1722916799999,86378953.21774,63416,18194.073,45382624.94917,0
1722916800000,2490.40,2497.85,2476.94,2495.15,54666.067,1722918599999,135983661.76091,87260,28697.810,71390802.49186,0
1722918600000,2495.16,2503.40,2480.00,2498.47,53618.027,1722920399999,133695989.62624,93412,27376.275,68272019.29805,0
1722920400000,2498.48,2503.99,2483.24,2497.53,51320.002,1722922199999,128011863.36444,103554,24952.408,62246866.02778,0
1722922200000,2497.52,2525.00,2492.20,2523.31,86419.385,1722923999999,217318548.86398,138306,48198.123,121197857.32411,0
1722924000000,2523.30,2530.00,2499.30,2520.50,87568.007,1722925799999,220303874.77850,131936,43045.804,108303373.04128,0
1722925800000,2520.51,2533.94,2511.02,2513.38,77326.077,1722927599999,194934331.75458,111182,38960.997,98219881.42862,0
1722927600000,2513.38,2516.12,2492.62,2497.72,71898.026,1722929399999,179964697.87953,103503,32039.046,80197341.22976,0
1722929400000,2497.73,2528.50,2497.00,2522.19,66340.073,1722931199999,166914326.25673,97782,36647.437,92196487.92598,0
1722931200000,2522.18,2523.50,2481.10,2484.05,96920.674,1722932999999,242567834.29902,132315,43742.497,109506587.01038,0
1722933000000,2484.05,2488.00,2438.41,2459.13,179393.731,1722934799999,441120892.19105,236871,84002.444,206553323.77548,0
1722934800000,2459.19,2460.01,2441.66,2455.42,73544.548,1722936599999,180276918.46855,142361,35574.337,87209165.06081,0
1722936600000,2455.42,2469.60,2443.84,2462.31,70081.403,1722938399999,172164889.76906,140469,36510.724,89702260.01575,0
1722938400000,2462.30,2466.66,2444.69,2462.50,53306.230,1722940199999,130929165.28428,106337,24649.692,60539457.05706,0
1722940200000,2462.51,2473.98,2447.06,2456.09,60812.803,1722941999999,149558789.23195,105970,31089.449,76478542.34479,0
1722942000000,2456.10,2463.63,2441.04,2447.09,65912.718,1722943799999,161552895.98994,114611,29464.415,72228301.32326,0
1722943800000,2447.08,2470.58,2446.69,2457.07,73212.073,1722945599999,179956242.97927,110002,39204.480,96370301.35409,0
1722945600000,2457.08,2467.00,2448.18,2465.77,77222.970,1722947399999,189888271.41872,117068,37762.262,92869530.92649,0
1722947400000,2465.77,2466.24,2425.45,2438.00,108430.970,1722949199999,264708548.21948,145863,49980.793,122025976.04636,0
1722949200000,2437.99,2459.00,2412.35,2455.97,123679.767,1722950999999,301674442.90722,175479,66507.806,162332394.02782,0
1722951000000,2455.98,2468.18,2419.28,2451.63,201257.095,1722952799999,492201641.41279,280271,101917.896,249340661.15244,0
1722952800000,2451.62,2558.24,2449.41,2528.10,332512.281,1722954599999,836690124.29468,385996,175703.196,441910187.73186,0
