open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1720224000000,2980.37,2985.56,2969.23,2981.59,38924.801,1720225799999,115859540.06741,64637,19667.310,58538347.75736,0
1720225800000,2981.60,3026.40,2979.60,2985.90,127222.739,1720227599999,382252255.40394,150239,65350.738,196408545.31021,0
1720227600000,2985.90,2987.65,2970.10,2973.11,47103.688,1720229399999,140168936.39032,76095,21899.972,65171427.30816,0
1720229400000,2973.11,2974.32,2960.00,2961.48,36276.701,1720231199999,107603278.75805,63810,16655.559,49405330.90561,0
1720231200000,2961.49,2972.32,2953.45,2969.66,55325.146,1720232999999,163859816.04932,78506,32023.273,94879900.58712,0
1720233000000,2969.66,2985.99,2968.94,2979.29,24490.668,1720234799999,72972304.97686,52201,12632.640,37637508.31672,0
1720234800000,2979.30,2983.00,2971.36,2973.00,22602.369,1720236599999,67290303.28710,42703,8663.191,25798782.77261,0
1720236600000,2972.99,2982.80,2968.84,2978.95,17735.435,1720238399999,52775310.24071,35220,8323.491,24771817.50697,0
1720238400000,2978.94,2981.36,2967.24,2971.45,18339.103,1720240199999,54529070.72877,35885,9274.955,27576821.51143,0
1720240200000,2971.45,2971.45,2960.67,2961.30,21216.308,1720241999999,62913493.39981,37548,10206.542,30266496.56417,0
1720242000000,2961.31,2973.00,2960.78,2971.27,22382.101,1720243799999,66402449.77513,38202,13434.491,39855556.55240,0
1720243800000,2971.28,2977.22,2969.41,2970.51,17902.032,1720245599999,53231805.89448,28141,8268.981,24588145.33879,0
1720245600000,2970.51,2990.30,2968.98,2986.58,36967.301,1720247399999,110232267.09912,44134,21908.242,65308402.04659,0
1720247400000,2986.59,2997.85,2985.01,2990.25,39109.167,1720249199999,116974266.12728,52183,18127.411,54228991.63614,0
1720249200000,2990.24,3014.82,2988.27,3008.13,65566.695,1720250999999,197121068.96673,74305,33259.089,99977068.95891,0
1720251000000,3008.11,3013.75,3001.35,3002.82,29983.014,1720252799999,90151462.91376,43188,14941.432,44924927.99504,0
1720252800000,3002.81,3013.67,2996.37,3011.83,39664.890,1720254599999,119146359.08208,44920,23695.902,71203313.77164,0
1720254600000,3011.82,3012.46,2996.63,3000.70,29125.711,1720256399999,87466958.13107,37536,13072.173,39258489.66521,0
1720256400000,3000.69,3000.70,2986.16,2988.49,30361.270,1720258199999,90850551.04050,37285,11352.306,33964533.30564,0
1720258200000,2988.49,3005.34,2983.73,3003.10,46447.305,1720259999999,139042268.97590,53305,30615.353,91653872.42649,0
1720260000000,3003.03,3006.88,2997.07,3001.00,31852.813,1720261799999,95639922.17820,46140,17597.674,52841416.40062,0
1720261800000,3001.01,3012.96,2998.36,3007.57,24802.703,1720263599999,74548133.66766,33187,15101.432,45395077.15027,0
1720263600000,3007.57,3011.75,3003.11,3006.11,14163.326,1720265399999,42581808.58213,30341,6160.522,18523472.24679,0
1720265400000,3006.12,3010.00,3001.88,3004.44,13914.702,1720267199999,41819314.61543,28105,5806.620,17453272.10976,0
