open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1728172800000,2413.42,2414.86,2407.17,2409.38,21068.749,1728174599999,50775863.99589,30706,6504.365,15675401.25971,0
1728174600000,2409.38,2409.90,2405.76,2409.59,9889.414,1728176399999,23810210.83206,21125,4530.212,10907144.38545,0
1728176400000,2409.59,2420.92,2407.68,2418.72,26639.005,1728178199999,64339691.36821,34627,18943.257,45754021.93968,0
1728178200000,2418.73,2421.99,2415.39,2419.87,20903.451,1728179999999,50546532.01823,28711,10016.516,24221093.20613,0
1728180000000,2419.88,2421.46,2415.00,2418.56,13555.984,1728181799999,32773233.09342,24411,5408.151,13075354.72151,0
1728181800000,2418.55,2419.15,2413.03,2415.31,14146.522,1728183599999,34159760.19414,22508,4914.323,11866291.29662,0
1728183600000,2415.30,2420.99,2413.07,2417.31,14978.531,1728185399999,36220446.75731,24693,6997.592,16920940.44071,0
1728185400000,2417.31,2418.60,2412.02,2412.78,13538.286,1728187199999,32683844.28330,22492,7052.673,17026597.84777,0
1728187200000,2412.78,2419.50,2412.77,2416.22,10722.309,1728188999999,25910840.62302,19608,5735.526,13861267.62879,0
1728189000000,2416.22,2416.66,2409.26,2414.26,16614.330,1728190799999,40071254.56315,26002,7130.537,17197579.35061,0
1728190800000,2414.25,2416.94,2410.57,2414.93,16353.859,1728192599999,39479667.71432,26473,6367.137,15373890.93822,0
1728192600000,2414.92,2417.00,2412.70,2415.89,7071.057,1728194399999,17079046.86324,16337,3556.821,8591416.19991,0
1728194400000,2415.89,2420.00,2415.75,2419.08,17215.361,1728196199999,41628520.88659,22451,10124.740,24485232.49546,0
1728196200000,2419.08,2419.44,2412.25,2414.99,11275.667,1728197999999,27244073.30913,19194,4632.434,11194615.47814,0
1728198000000,2414.99,2418.60,2414.99,2417.46,6920.726,1728199799999,16729611.58271,16010,3759.617,9087920.75148,0
1728199800000,2417.46,2418.59,2415.12,2416.25,9344.285,1728201599999,22582984.92906,15733,2893.764,6993542.55311,0
1728201600000,2416.24,2425.89,2414.36,2422.20,36111.508,1728203399999,87464807.62270,37835,25057.990,60694159.58684,0
1728203400000,2422.20,2424.56,2418.41,2419.92,18222.110,1728205199999,44121394.83493,29550,7498.411,18157536.65791,0
1728205200000,2419.93,2424.00,2419.03,2422.66,14720.092,1728206999999,35644650.10307,24100,7998.281,19370853.86879,0
1728207000000,2422.66,2427.00,2420.64,2421.01,22433.131,1728208799999,54382057.97979,28146,13057.243,31656884.12711,0
1728208800000,2421.01,2421.45,2418.01,2419.78,13180.505,1728210599999,31892765.36501,21242,6480.336,15680491.68791,0
1728210600000,2419.79,2419.79,2417.73,2418.63,10486.240,1728212399999,25362889.48452,16800,5880.092,14222661.55195,0
1728212400000,2418.64,2423.79,2417.67,2422.99,17593.673,1728214199999,42591938.39417,23809,9623.745,23297219.52390,0
1728214200000,2422.99,2430.00,2422.76,2425.65,34604.618,1728215999999,84000182.43887,47846,18393.805,44649625.21074,0
1728216000000,2425.65,2432.82,2423.64,2429.73,32478.997,1728217799999,78892335.60335,42002,16548.474,40206394.32964,0
1728217800000,2429.74,2431.97,2426.22,2428.42,17161.171,1728219599999,41685154.71620,30915,8155.188,19809151.35210,0
1728219600000,2428.41,2436.69,2427.56,2428.51,40660.147,1728221399999,98864419.68564,46897,20752.960,50462999.34816,0
1728221400000,2428.51,2433.45,2428.44,2429.52,23007.859,1728223199999,55931232.08679,30049,13797.077,33542063.01953,0
1728223200000,2429.51,2439.86,2425.40,2436.15,38919.369,1728224999999,94688146.75554,47925,21702.222,52817844.97735,0
1728225000000,2436.15,2457.11,2434.00,2451.74,117669.864,1728226799999,287892000.48016,119480,68300.935,167105688.84725,0
1728226800000,2451.74,2454.26,2437.80,2440.90,73176.320,1728228599999,178959203.61797,83540,35057.052,85754332.89957,0
1728228600000,2440.90,2447.88,2440.15,2445.68,24487.432,1728230399999,59871102.87923,46182,13745.976,33610570.22837,0
1728230400000,2445.67,2451.96,2435.00,2439.09,49658.436,1728232199999,121363533.47757,71024,22340.870,54608328.56852,0
1728232200000,2439.10,2442.37,2435.04,2435.64,19938.730,1728233999999,48626059.56473,39696,9427.785,22995991.61843,0
1728234000000,2435.64,2442.52,2434.00,2440.52,20678.988,1728235799999,50427095.18975,35302,10240.751,24975275.48358,0
1728235800000,2440.52,2442.49,2437.51,2440.67,23305.601,1728237599999,56876103.83515,31601,14548.440,35505997.45382,0
1728237600000,2440.67,2448.47,2440.28,2445.51,23925.930,1728239399999,58489272.12567,33744,12221.844,29876112.36012,0
1728239400000,2445.51,2449.00,2442.87,2445.08,14214.389,1728241199999,34760504.22668,25086,8370.930,20473276.64304,0
1728241200000,2445.08,2452.00,2445.08,2450.48,26626.798,1728242999999,65223106.28676,36201,14999.782,36739578.74165,0
1728243000000,2450.48,2451.93,2437.50,2440.47,28592.593,1728244799999,69867549.67834,39619,12081.234,29516913.06454,0
1728244800000,2440.47,2443.35,2437.45,2440.32,25693.536,1728246599999,62708604.87749,29599,12534.359,30593293.73559,0
1728246600000,2440.33,2441.79,2436.27,2437.60,11896.943,1728248399999,29009558.77605,20196,4952.731,12076322.58850,0
1728248400000,2437.61,2441.87,2426.11,2433.38,32489.097,1728250199999,79048905.06391,36761,11234.826,27343933.50238,0
1728250200000,2433.38,2437.90,2413.80,2416.69,63277.209,1728251999999,153311373.97939,59821,23386.048,56676069.35367,0
1728252000000,2416.68,2427.06,2416.21,2424.75,30259.047,1728253799999,73314562.83620,40350,17089.364,41400711.51699,0
1728253800000,2424.74,2431.49,2423.01,2430.56,15224.691,1728255599999,36966528.41687,23010,8836.845,21458689.28767,0
1728255600000,2430.56,2443.83,2430.37,2437.57,46838.950,1728257399999,114133508.52646,60212,23707.745,57772142.43121,0
1728257400000,2437.57,2441.39,2434.22,2438.77,21663.228,1728259199999,52800557.91467,33168,10351.504,25230376.71785,0
