open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1714953600000,3135.24,3157.08,3135.20,3145.55,33800.939,1714955399999,106359122.02609,51520,17704.471,55710598.60891,0
1714955400000,3145.55,3153.20,3144.41,3146.61,11868.921,1714957199999,37367211.21915,32092,5469.325,17220275.56678,0
1714957200000,3146.61,3165.00,3146.29,3152.93,34225.003,1714958999999,108075820.62707,59334,17652.228,55751646.61058,0
1714959000000,3152.92,3152.93,3135.33,3142.62,30871.588,1714960799999,97038945.40318,49996,13253.480,41658782.30461,0
1714960800000,3142.61,3152.59,3139.75,3152.12,21288.038,1714962599999,66987326.72196,49650,11107.324,34956993.28875,0
1714962600000,3152.12,3152.13,3130.75,3131.17,22319.659,1714964399999,70103160.90013,37514,9116.706,28624619.23523,0
1714964400000,3131.17,3138.27,3123.00,3134.71,31659.697,1714966199999,99110544.57215,49201,16377.350,51283012.66221,0
1714966200000,3134.71,3137.54,3130.12,3133.74,12577.153,1714967999999,39421419.78146,28164,5800.144,18179725.16872,0
1714968000000,3133.73,3135.49,3126.67,3130.55,14326.195,1714969799999,44854359.15711,31169,7415.708,23220429.91181,0
1714969800000,3130.55,3146.96,3127.76,3146.83,21616.810,1714971599999,67851731.21695,41077,14354.535,45055998.97281,0
1714971600000,3146.82,3159.79,3139.64,3157.02,38302.579,1714973399999,120662519.22283,49881,20165.028,63552239.09598,0
1714973400000,3157.02,3178.00,3154.00,3177.65,87954.216,1714975199999,278600717.92607,104998,48167.621,152596851.37327,0
1714975200000,3177.65,3191.55,3170.95,3183.57,78315.885,1714976999999,249283925.28686,109996,44086.497,140349625.76841,0
1714977000000,3183.55,3186.51,3170.28,3174.71,41731.492,1714978799999,132616222.49255,63262,17283.051,54921843.05682,0
1714978800000,3174.71,3183.81,3167.00,3173.00,44924.426,1714980599999,142588324.28978,66546,23108.453,73360783.02368,0
1714980600000,3172.99,3183.17,3168.62,3179.10,33929.729,1714982399999,107718436.75150,51323,19262.758,61160386.23877,0
1714982400000,3179.10,3221.95,3174.30,3215.49,126176.125,1714984199999,403968621.58657,161835,75032.622,240268859.47053,0
1714984200000,3215.49,3220.67,3191.94,3196.19,103785.802,1714985999999,332884220.20204,141328,48705.432,156202193.62480,0
1714986000000,3196.20,3202.94,3195.17,3195.74,38266.430,1714987799999,122443159.23039,59335,19928.026,63768893.78162,0
1714987800000,3195.75,3206.25,3191.42,3201.28,23713.174,1714989599999,75862623.32783,45538,12244.008,39170032.35080,0
1714989600000,3201.27,3203.00,3181.00,3184.38,42170.712,1714991399999,134591147.61765,63349,15896.785,50746587.57963,0
1714991400000,3184.37,3185.90,3128.53,3144.32,216179.335,1714993199999,681386672.84767,256396,94244.643,296979799.56944,0
1714993200000,3144.32,3163.61,3144.00,3152.26,62336.073,1714994999999,196623650.03807,94587,31823.463,100378302.87608,0
1714995000000,3152.27,3156.51,3138.18,3147.89,53886.089,1714996799999,169525137.17260,68232,30294.471,95300951.81441,0
1714996800000,3147.89,3153.50,3120.00,3127.03,69059.607,1714998599999,216586967.25314,91763,28915.621,90698313.33116,0
1714998600000,3127.04,3133.18,3083.48,3101.83,199101.315,1715000399999,618820561.22251,250825,89658.074,278641635.26934,0
1715000400000,3101.83,3109.50,3093.60,3099.78,76010.552,1715002199999,235844223.12704,110793,37311.279,115776324.51115,0
1715002200000,3099.79,3120.00,3096.48,3115.99,81415.411,1715003999999,253326790.02496,107729,47264.714,147036457.68229,0
1715004000000,3115.99,3123.80,3104.12,3104.99,72489.774,1715005799999,225812512.86859,108020,36133.214,112597377.31602,0
1715005800000,3104.99,3106.61,3072.10,3075.75,111959.339,1715007599999,345810625.16561,154692,45897.519,141769791.53973,0
1715007600000,3075.76,3080.49,3054.67,3077.99,181711.685,1715009399999,557040923.31776,199559,86340.176,264726825.40516,0
1715009400000,3077.99,3093.40,3075.24,3088.29,69862.819,1715011199999,215495961.23146,102143,36304.597,111997518.46351,0
1715011200000,3088.29,3096.26,3076.20,3084.97,69558.376,1715012999999,214661274.23095,99633,32050.850,98954449.58340,0
1715013000000,3084.97,3087.60,3068.00,3071.17,48338.851,1715014799999,148745609.36282,77381,20876.198,64246476.11088,0
1715014800000,3071.17,3089.04,3069.97,3079.50,32142.674,1715016599999,99041707.43767,53627,17799.641,54845788.73106,0
1715016600000,3079.50,3082.88,3058.12,3069.58,65532.318,1715018399999,201034913.77636,89731,31063.387,95296633.48977,0
1715018400000,3069.58,3076.95,3064.20,3071.01,23070.148,1715020199999,70849391.16763,41067,13312.985,40884935.31304,0
1715020200000,3071.03,3084.00,3059.43,3075.17,42563.633,1715021999999,130887667.57616,67473,21469.931,66030437.61810,0
1715022000000,3075.17,3075.98,3043.92,3062.39,81576.000,1715023799999,249332353.01115,98828,32145.740,98268081.96307,0
1715023800000,3062.38,3070.83,3050.82,3069.32,34110.735,1715025599999,104452547.11371,58753,18867.860,57781306.97434,0
1715025600000,3069.31,3077.28,3060.82,3076.31,26322.315,1715027399999,80788782.55277,42933,13837.957,42480192.78296,0
1715027400000,3076.30,3080.00,3073.72,3076.02,19057.457,1715029199999,58628670.80246,34130,8406.622,25864874.15915,0
1715029200000,3076.02,3087.87,3075.00,3084.78,28009.653,1715030999999,86329822.15713,40053,13919.433,42904074.48597,0
1715031000000,3084.78,3087.28,3077.64,3083.50,11983.374,1715032799999,36935840.06852,22446,5633.172,17363496.75309,0
1715032800000,3083.50,3085.03,3078.27,3083.12,11643.605,1715034599999,35887461.60496,24242,5146.176,15861835.44450,0
1715034600000,3083.13,3083.68,3076.50,3080.31,11284.744,1715036399999,34756981.89190,24016,5505.011,16955270.56589,0
1715036400000,3080.31,3080.38,3066.73,3071.45,24640.601,1715038199999,75722155.13026,37164,9193.088,28245469.97885,0
1715038200000,3071.46,3071.68,3059.42,3061.50,21035.968,1715039999999,64463392.75754,34676,9869.303,30244492.98837,0
