open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1707264000000,2371.74,2389.96,2371.17,2385.99,45398.548,1707265799999,108091880.17673,57091,27981.455,66637383.00172,0
1707265800000,2386.00,2387.74,2377.49,2378.96,25544.436,1707267599999,60834775.54983,36791,11187.438,26642172.09055,0
1707267600000,2378.97,2387.61,2377.89,2382.72,25702.221,1707269399999,61234428.48637,34833,13332.124,31765612.37198,0
1707269400000,2382.72,2386.87,2374.30,2375.30,25189.229,1707271199999,59978325.14173,33127,12335.543,29384127.27540,0
1707271200000,2375.34,2378.23,2374.75,2376.22,13816.182,1707272999999,32836963.64762,24727,6878.212,16346933.47924,0
1707273000000,2376.22,2379.71,2373.24,2374.98,14972.836,1707274799999,35581249.77972,26000,7165.821,17030336.50262,0
1707274800000,2374.99,2376.33,2368.04,2368.31,28236.577,1707276599999,66992727.55290,36785,10355.374,24571317.38168,0
1707276600000,2368.31,2369.74,2362.00,2363.79,43200.392,1707278399999,102214747.99977,54289,19544.455,46243242.95581,0
1707278400000,2363.79,2368.17,2355.92,2359.80,51145.301,1707280199999,120809751.58079,57678,22470.360,53085693.47405,0
1707280200000,2359.79,2363.46,2357.76,2359.79,22324.863,1707281999999,52707537.27479,33017,11518.656,27198361.28447,0
1707282000000,2359.79,2366.80,2355.89,2365.44,26259.723,1707283799999,62036032.68660,40573,15185.288,35874444.60654,0
1707283800000,2365.44,2367.01,2362.56,2364.60,18941.038,1707285599999,44789447.37038,29105,10496.904,24822514.89990,0
1707285600000,2364.59,2365.16,2359.93,2360.95,16219.906,1707287399999,38318701.90030,22614,7060.439,16680698.08343,0
1707287400000,2360.95,2364.24,2358.81,2363.04,16518.516,1707289199999,39007152.00445,24922,9033.326,21334472.66623,0
1707289200000,2363.04,2367.53,2360.95,2363.51,18759.096,1707290999999,44358669.00360,25052,9170.786,21686161.88227,0
1707291000000,2363.52,2364.34,2359.26,2362.07,14594.358,1707292799999,34460708.04226,25048,7352.813,17362227.50280,0
1707292800000,2362.07,2362.82,2356.27,2361.00,27706.797,1707294599999,65377028.06686,38047,13240.091,31243564.38189,0
1707294600000,2361.01,2364.77,2359.62,2362.49,11246.201,1707296399999,26565471.64863,21656,6098.619,14406445.87073,0
1707296400000,2362.48,2365.87,2360.36,2364.21,14748.296,1707298199999,34856225.83492,23005,9095.440,21495718.83150,0
1707298200000,2364.21,2377.11,2363.96,2370.50,61066.576,1707299999999,144823339.35832,61787,35260.151,83614865.27224,0
1707300000000,2370.50,2371.07,2366.32,2369.57,21598.599,1707301799999,51159751.14386,29474,10884.975,25782133.45548,0
1707301800000,2369.57,2370.13,2352.06,2354.67,61221.575,1707303599999,144430799.66404,59550,22178.306,52323249.66154,0
1707303600000,2354.67,2361.69,2353.36,2360.46,43984.908,1707305399999,103699186.85445,47619,23096.653,54451531.12072,0
1707305400000,2360.47,2361.59,2356.33,2360.72,24006.657,1707307199999,56620446.69734,27961,9114.523,21498961.42895,0
1707307200000,2360.71,2366.87,2359.91,2366.35,25099.380,1707308999999,59313495.19095,31959,15281.671,36114227.84152,0
1707309000000,2366.34,2373.00,2365.78,2371.98,34405.021,1707310799999,81538846.09693,42753,18247.114,43243773.88144,0
1707310800000,2371.99,2375.76,2369.39,2371.50,33196.704,1707312599999,78745540.63131,43720,17262.719,40950812.79780,0
1707312600000,2371.49,2375.19,2364.65,2371.63,39104.633,1707314399999,92645998.74741,47130,16717.310,39608507.06083,0
1707314400000,2371.64,2378.95,2367.64,2372.25,48578.562,1707316199999,115302570.27150,63427,23130.809,54907065.77392,0
1707316200000,2372.24,2385.00,2361.00,2364.84,106577.413,1707317999999,252958401.50178,104325,54510.800,129416175.04005,0
1707318000000,2364.83,2375.81,2360.16,2373.51,55846.109,1707319799999,132120650.72836,72984,30198.121,71452874.69936,0
1707319800000,2373.51,2374.06,2365.73,2368.69,24743.730,1707321599999,58622824.03242,42021,10323.980,24458789.70254,0
1707321600000,2368.69,2381.79,2367.29,2375.56,56293.282,1707323399999,133736073.76733,78042,31044.493,73752393.11430,0
1707323400000,2375.56,2399.62,2375.56,2397.03,150293.900,1707325199999,359517436.90250,137386,86864.946,207766947.16197,0
1707325200000,2397.04,2423.62,2395.02,2421.00,221922.802,1707326999999,535696692.11582,195747,128251.972,309527183.72317,0
1707327000000,2420.99,2423.95,2405.77,2409.59,139645.362,1707328799999,337206474.44235,118790,61764.967,149136387.54150,0
1707328800000,2409.59,2416.61,2405.01,2412.86,45705.974,1707330599999,110203572.16934,58662,26479.662,63848410.55561,0
1707330600000,2412.86,2418.16,2408.04,2416.97,32657.697,1707332399999,78813379.71985,43363,17247.213,41626917.37426,0
1707332400000,2416.97,2423.72,2413.10,2419.35,43009.262,1707334199999,104011112.86881,54019,20515.540,49621065.29352,0
1707334200000,2419.36,2424.92,2412.04,2418.66,39457.498,1707335999999,95485825.98840,45201,18863.646,45660340.23762,0
1707336000000,2418.66,2434.99,2418.66,2428.97,109319.648,1707337799999,265510844.94963,104929,58920.990,143108355.38592,0
1707337800000,2428.97,2445.00,2428.66,2438.64,93197.214,1707339599999,227139631.41978,95736,55642.095,135625527.50726,0
1707339600000,2438.64,2439.27,2429.53,2430.64,52780.771,1707341399999,128454534.53353,57563,30171.468,73426887.94845,0
1707341400000,2430.65,2434.16,2424.86,2429.71,37728.429,1707343199999,91651876.96584,48644,16158.892,39254262.60503,0
1707343200000,2429.71,2430.40,2422.95,2429.45,22877.573,1707344999999,55514107.23741,30607,11198.542,27176348.95230,0
1707345000000,2429.46,2431.16,2421.03,2424.75,24022.787,1707346799999,58258896.29497,30449,10709.160,25976626.34294,0
1707346800000,2424.76,2429.61,2421.81,2425.37,26691.248,1707348599999,64752810.57154,29472,15349.535,37241433.85134,0
1707348600000,2425.37,2426.28,2422.02,2424.22,18945.123,1707350399999,45924326.91228,24103,9540.372,23125755.57434,0
