open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1715040000000,3061.50,3071.58,3046.72,3068.72,54191.245,1715041799999,165815009.14607,82378,29562.580,90464151.06704,0
1715041800000,3068.72,3082.50,3066.63,3070.92,49349.852,1715043599999,151742202.34205,71270,23259.829,71518950.91030,0
1715043600000,3070.91,3083.02,3067.00,3075.01,31658.844,1715045399999,97386651.29106,49719,15537.993,47797147.72966,0
1715045400000,3075.01,3096.13,3074.08,3092.95,35899.841,1715047199999,110859613.24571,59141,19291.965,59577851.92057,0
1715047200000,3092.94,3094.39,3085.40,3092.20,25152.352,1715048999999,77717136.87893,40040,11191.380,34582147.25716,0
1715049000000,3092.20,3092.50,3080.62,3085.08,18716.614,1715050799999,57753386.77405,33225,6624.191,20442392.58467,0
1715050800000,3085.07,3086.73,3030.90,3036.00,93538.783,1715052599999,285514672.23645,108000,39034.519,119070005.41687,0
1715052600000,3036.00,3054.00,3018.00,3048.00,105965.110,1715054399999,321958754.38924,133701,53217.717,161773926.87702,0
1715054400000,3047.99,3060.39,3042.45,3057.80,35093.484,1715056199999,107113215.12260,64652,19686.329,60097332.86311,0
1715056200000,3057.80,3066.52,3056.00,3064.35,29626.877,1715057999999,90703687.38303,44520,15903.478,48694353.39848,0
1715058000000,3064.34,3068.00,3059.66,3062.87,20188.587,1715059799999,61862660.40587,38130,8922.506,27343470.83489,0
1715059800000,3062.87,3080.69,3054.04,3068.00,45206.161,1715061599999,138687606.07034,74532,20969.851,64366849.61157,0
1715061600000,3068.00,3074.80,3056.28,3063.00,29868.962,1715063399999,91524920.35988,48947,15785.340,48375948.32299,0
1715063400000,3063.00,3070.44,3056.86,3067.87,23391.615,1715065199999,71713729.15148,40891,11509.485,35283669.99255,0
1715065200000,3067.88,3079.92,3062.33,3078.62,35679.773,1715066999999,109673501.28376,50686,21221.284,65239466.21513,0
1715067000000,3078.63,3081.69,3073.75,3076.19,21057.875,1715068799999,64806993.54635,38796,10519.140,32375981.36661,0
1715068800000,3076.20,3117.38,3072.78,3112.27,93290.539,1715070599999,289108450.61754,117758,53708.099,166415660.67879,0
1715070600000,3112.28,3123.69,3105.15,3118.05,95755.195,1715072399999,298283316.18888,138650,44097.117,137391017.65896,0
1715072400000,3118.05,3128.59,3114.83,3121.39,51327.341,1715074199999,160287833.07494,70760,26669.122,83289527.43351,0
1715074200000,3121.40,3122.50,3107.07,3112.09,39214.195,1715075999999,122148363.42025,60188,16869.831,52550201.72775,0
1715076000000,3112.08,3114.24,3087.42,3093.82,69135.730,1715077799999,214269158.73379,99657,29780.106,92296327.36085,0
1715077800000,3093.82,3102.57,3092.48,3098.70,40727.280,1715079599999,126185061.49083,58293,24600.498,76224662.41160,0
1715079600000,3098.70,3104.03,3091.53,3094.80,26590.968,1715081399999,82386874.12268,46100,11265.437,34911232.39896,0
1715081400000,3094.80,3095.93,3057.00,3061.91,99090.429,1715083199999,304473209.67190,127839,42331.060,130041281.16322,0
1715083200000,3061.92,3073.99,3061.48,3070.20,35461.936,1715084999999,108809266.70925,62663,17900.278,54927046.75792,0
1715085000000,3070.20,3082.52,3067.39,3074.56,30268.891,1715086799999,93075878.72339,51484,15230.379,46838139.73512,0
1715086800000,3074.56,3080.90,3066.36,3069.55,35762.794,1715088599999,109884644.62251,53585,18339.822,56354932.51502,0
1715088600000,3069.55,3076.83,3046.61,3059.32,66070.877,1715090399999,202178451.45700,107106,29288.213,89640632.39921,0
1715090400000,3059.31,3068.15,3053.03,3054.81,34337.944,1715092199999,105097878.40802,76929,17292.457,52935465.15438,0
1715092200000,3054.80,3092.69,3044.03,3090.70,90575.368,1715093999999,278066595.69447,135026,54387.587,167035166.09513,0
1715094000000,3090.72,3105.67,3071.45,3080.04,97848.405,1715095799999,302141976.04664,141983,44617.522,137818176.51670,0
1715095800000,3080.05,3080.72,3066.66,3070.20,35102.766,1715097599999,107849410.83378,64200,15174.056,46621855.12970,0
1715097600000,3070.21,3078.43,3068.50,3069.29,19444.202,1715099399999,59745861.39778,41017,9730.134,29901552.78681,0
1715099400000,3069.29,3070.33,3059.22,3070.32,29866.952,1715101199999,91543464.79214,53143,13708.222,42024759.03813,0
1715101200000,3070.32,3071.00,3056.47,3059.46,22235.499,1715102999999,68105671.08057,42277,11025.831,33778462.25631,0
1715103000000,3059.47,3066.52,3053.56,3057.86,22139.012,1715104799999,67728176.00049,49168,9762.451,29869291.75605,0
1715104800000,3057.87,3058.70,3038.19,3040.00,40130.954,1715106599999,122321996.56656,73665,17077.993,52066045.30528,0
1715106600000,3040.00,3047.44,3025.22,3046.51,74250.755,1715108399999,225395422.47821,120125,39310.873,119358397.69107,0
1715108400000,3046.50,3052.98,3043.05,3050.65,23054.227,1715110199999,70290284.42118,50849,12106.197,36915164.53270,0
1715110200000,3050.66,3054.14,3045.20,3048.66,21706.569,1715111999999,66214026.69861,38429,9572.338,29202874.90477,0
1715112000000,3048.75,3057.87,3045.30,3051.43,14876.035,1715113799999,45417757.19207,31342,7966.819,24324861.07608,0
1715113800000,3051.43,3057.48,3032.04,3047.29,57359.156,1715115599999,174642538.06306,68473,24377.229,74230442.61380,0
1715115600000,3047.30,3060.98,3045.50,3056.67,27126.095,1715117399999,82849571.73980,47677,17057.152,52101656.56954,0
1715117400000,3056.67,3056.67,3034.21,3050.46,21251.740,1715119199999,64727481.24174,43192,9096.463,27705775.55428,0
1715119200000,3050.45,3050.85,3026.80,3043.86,39687.249,1715120999999,120578919.67224,65020,17577.346,53404445.49597,0
1715121000000,3043.84,3051.94,3034.53,3035.76,24265.279,1715122799999,73885898.17697,48653,10463.477,31875782.64319,0
1715122800000,3035.75,3036.94,3005.46,3011.23,111420.721,1715124599999,335991723.65681,151283,49959.865,150631983.44099,0
1715124600000,3011.24,3021.94,2996.53,3004.55,57575.628,1715126399999,173337074.81161,77943,24218.037,72954669.19291,0
