open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1717718400000,3815.77,3816.45,3809.40,3812.03,20579.401,1717720199999,78458139.25244,39930,9334.651,35588270.97510,0
1717720200000,3812.03,3815.00,3808.47,3811.13,14630.696,1717721999999,55768570.07979,31494,6144.720,23421530.04226,0
1717722000000,3811.14,3812.00,3803.40,3806.33,10257.297,1717723799999,39058504.48980,28883,4210.861,16035896.32398,0
1717723800000,3806.32,3813.01,3800.96,3808.01,14897.743,1717725599999,56724859.15065,33153,7626.931,29044333.88966,0
1717725600000,3808.00,3810.40,3801.00,3803.66,19117.860,1717727399999,72748251.71628,34683,7332.353,27902711.59514,0
1717727400000,3803.67,3804.95,3793.10,3803.33,23031.152,1717729199999,87491471.15348,39192,10588.027,40225107.00415,0
1717729200000,3803.33,3806.80,3794.72,3806.68,23221.942,1717730999999,88266828.04097,36658,11404.161,43354192.01688,0
1717731000000,3806.70,3810.40,3805.97,3808.66,12392.718,1717732799999,47197154.80965,28051,6748.529,25701848.06553,0
1717732800000,3808.66,3820.88,3807.94,3819.55,29153.066,1717734599999,111245273.50726,51112,17894.419,68281243.45232,0
1717734600000,3819.55,3822.53,3813.94,3818.07,18254.999,1717736399999,69696121.62692,36451,8673.796,33118293.66836,0
1717736400000,3818.08,3822.60,3816.49,3821.11,13888.345,1717738199999,53044513.30330,28421,6430.164,24559360.97107,0
1717738200000,3821.11,3828.32,3818.09,3820.52,22118.244,1717739999999,84575430.34373,36110,11045.372,42236715.86264,0
1717740000000,3820.52,3823.58,3815.92,3817.61,12374.342,1717741799999,47254912.58081,24624,4722.520,18034663.95640,0
1717741800000,3817.62,3820.38,3815.07,3819.37,10595.719,1717743599999,40452830.00198,19519,5303.220,20247510.08243,0
1717743600000,3819.36,3826.96,3817.00,3823.54,12175.388,1717745399999,46539437.51316,26467,6164.270,23563318.32413,0
1717745400000,3823.53,3824.45,3817.19,3819.25,14098.383,1717747199999,53851612.45952,25812,7265.575,27751849.63412,0
1717747200000,3819.25,3819.93,3810.59,3817.30,22902.419,1717748999999,87369986.34592,33042,9857.319,37604506.36681,0
1717749000000,3817.30,3817.40,3813.19,3814.11,8547.547,1717750799999,32607939.82800,19706,4263.777,16265321.39826,0
1717750800000,3814.11,3815.92,3809.56,3815.50,12031.950,1717752599999,45865369.85377,25064,5767.392,21985767.88202,0
1717752600000,3815.50,3816.63,3810.43,3814.60,13494.540,1717754399999,51452498.15837,24678,5940.090,22650832.97240,0
1717754400000,3814.59,3816.00,3808.30,3808.99,17531.087,1717756199999,66835162.96842,26159,7487.498,28549183.96143,0
1717756200000,3808.99,3816.49,3803.51,3813.23,23659.761,1717757999999,90127034.87413,37695,11980.058,45639020.79347,0
1717758000000,3813.22,3818.88,3810.16,3814.91,20658.529,1717759799999,78798233.27644,31549,10775.091,41105493.77458,0
1717759800000,3814.91,3843.89,3814.54,3838.30,73722.109,1717761599999,282540930.93474,99989,40595.195,155556146.10280,0
1717761600000,3838.30,3844.32,3822.43,3839.41,87394.187,1717763399999,335197988.04490,111442,46074.250,176735819.14135,0
1717763400000,3839.41,3842.50,3774.30,3810.39,325553.716,1717765199999,1237071747.71510,420805,161276.936,612936580.31865,0
1717765200000,3810.38,3813.00,3797.90,3811.68,47677.074,1717766999999,181455918.29539,82639,23183.924,88249513.64145,0
1717767000000,3811.68,3823.54,3803.19,3817.28,46536.818,1717768799999,177545843.77674,72732,23788.798,90771768.41399,0
1717768800000,3817.28,3820.14,3811.36,3818.78,31384.006,1717770599999,119761940.40921,53332,14281.039,54506580.28504,0
1717770600000,3818.78,3832.73,3813.54,3825.00,37584.131,1717772399999,143779760.54356,68209,19661.622,75216528.25862,0
1717772400000,3825.00,3825.46,3801.88,3806.76,44617.359,1717774199999,170175847.25764,66073,17729.995,67632172.64448,0
1717774200000,3806.76,3808.64,3793.70,3802.96,47292.204,1717775999999,179749079.94194,70451,24357.390,92592350.79335,0
1717776000000,3802.96,3808.85,3793.89,3806.84,32528.495,1717777799999,123609791.86873,52280,15508.357,58939069.92447,0
1717777800000,3806.84,3810.88,3780.10,3786.97,55733.492,1717779599999,211416521.62083,79053,22943.616,87024410.53349,0
1717779600000,3786.98,3787.31,3764.80,3774.57,90026.516,1717781399999,339788398.07011,125495,39903.358,150622654.14167,0
1717781400000,3774.58,3782.73,3725.01,3725.33,135404.234,1717783199999,508368272.04179,158872,49609.867,186416854.59181,0
1717783200000,3725.32,3732.21,3555.02,3669.19,687488.162,1717784999999,2514250618.12126,733309,293040.265,1072118993.55142,0
1717785000000,3669.18,3691.98,3663.91,3681.01,119564.894,1717786799999,439460961.02238,214616,56472.808,207577167.46206,0
1717786800000,3681.00,3697.78,3657.53,3695.26,94444.664,1717788599999,347092187.25885,133114,50684.647,186327263.09209,0
1717788600000,3695.26,3706.64,3687.51,3689.08,65079.384,1717790399999,240557143.07021,90728,28892.364,106806474.13767,0
1717790400000,3688.89,3689.32,3670.83,3677.23,67734.577,1717792199999,249172585.13551,79136,31260.434,114983719.36793,0
1717792200000,3677.23,3696.39,3674.45,3693.16,27775.938,1717793999999,102378372.76569,52316,15201.047,56027585.83256,0
1717794000000,3693.16,3700.00,3686.47,3699.98,21902.059,1717795799999,80890766.25282,36490,11842.948,43743934.80926,0
1717795800000,3699.98,3700.00,3688.86,3694.79,15849.330,1717797599999,58534401.45875,37844,6850.688,25299092.31386,0
1717797600000,3694.80,3695.71,3687.29,3690.87,13405.996,1717799399999,49487349.36750,29534,6258.758,23103809.81075,0
1717799400000,3690.87,3702.41,3687.72,3696.61,23571.054,1717801199999,87082309.44754,33462,15684.797,57945705.72190,0
1717801200000,3696.61,3697.44,3680.00,3683.87,21629.316,1717802999999,79771690.12029,35335,6915.917,25511702.17063,0
1717803000000,3683.87,3685.89,3679.51,3679.82,14085.942,1717804799999,51872517.17448,35923,6090.490,22429323.16048,0
