open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1725667200000,2223.70,2235.24,2222.56,2227.68,55204.022,1725668999999,123031569.00600,66989,26949.244,60061712.78218,0
1725669000000,2227.69,2242.00,2225.27,2232.19,40024.049,1725670799999,89464635.32492,50251,20618.127,46084812.04440,0
1725670800000,2232.19,2236.05,2222.61,2227.03,38105.085,1725672599999,84907764.37316,43271,17539.158,39086505.11313,0
1725672600000,2227.03,2227.03,2220.76,2225.93,27298.328,1725674399999,60716699.49742,37446,12286.281,27323808.10690,0
1725674400000,2225.94,2235.81,2221.81,2230.49,22322.480,1725676199999,49749112.56705,33654,12328.576,27482582.28942,0
1725676200000,2230.48,2238.98,2228.69,2232.09,27366.547,1725677999999,61118115.80415,39120,12040.096,26895352.89834,0
1725678000000,2232.09,2241.00,2231.84,2239.99,26596.179,1725679799999,59497324.72822,34873,11747.425,26277818.05823,0
1725679800000,2240.00,2240.62,2236.17,2237.23,17829.404,1725681599999,39895248.62028,29274,7376.513,16506851.02752,0
1725681600000,2237.23,2242.91,2236.26,2239.09,18313.888,1725683399999,41017157.66786,29896,9539.613,21364810.29506,0
1725683400000,2239.10,2249.89,2238.46,2249.43,34992.542,1725685199999,78522879.42010,37182,24229.443,54371608.01831,0
1725685200000,2249.43,2275.00,2245.22,2257.68,140423.966,1725686999999,317723886.90979,116258,73949.138,167294110.20295,0
1725687000000,2257.69,2264.14,2257.64,2263.59,41011.236,1725688799999,92721765.00085,45313,21658.701,48969171.22927,0
1725688800000,2263.59,2272.49,2258.00,2271.96,53611.732,1725690599999,121491919.36446,63478,29790.182,67518692.50095,0
1725690600000,2271.95,2282.97,2266.38,2276.10,43219.533,1725692399999,98279673.04173,60748,23783.959,54093985.50870,0
1725692400000,2276.09,2287.35,2273.34,2286.47,44839.509,1725694199999,102242760.57769,66152,22577.834,51488567.64956,0
1725694200000,2286.46,2292.99,2281.26,2287.03,57051.165,1725695999999,130446821.48639,69222,25618.498,58581077.92892,0
1725696000000,2287.03,2288.99,2274.03,2287.45,68580.517,1725697799999,156479036.95144,68698,34294.711,78269288.13271,0
1725697800000,2287.44,2298.96,2283.49,2295.00,66833.628,1725699599999,153170804.38380,70122,34665.357,79467281.34129,0
1725699600000,2295.01,2296.41,2282.30,2282.63,37095.950,1725701399999,84877099.90033,46639,12038.844,27548076.71687,0
1725701400000,2282.63,2286.50,2277.35,2281.09,37087.498,1725703199999,84637479.33134,43904,19843.443,45289466.92851,0
1725703200000,2281.09,2289.74,2280.87,2284.34,19152.479,1725704999999,43759341.98388,27795,10661.228,24362188.44884,0
1725705000000,2284.34,2287.77,2280.89,2281.22,15430.558,1725706799999,35246313.82702,28620,6186.291,14132833.89399,0
1725706800000,2281.23,2286.88,2279.00,2286.68,16550.582,1725708599999,37791261.71682,28124,9413.877,21500252.44467,0
1725708600000,2286.67,2289.54,2280.81,2282.71,21423.408,1725710399999,48945617.79467,31961,9629.845,22005181.94432,0
1725710400000,2282.70,2288.70,2282.70,2286.77,16591.152,1725712199999,37931096.74047,25957,7866.802,17985374.79534,0
1725712200000,2286.77,2296.30,2285.66,2289.11,34747.556,1725713999999,79598839.60466,43001,17436.373,39948177.64644,0
1725714000000,2289.11,2294.21,2286.63,2293.99,20448.281,1725715799999,46846398.13037,33633,9904.986,22695063.54566,0
1725715800000,2293.99,2298.00,2281.04,2290.54,46590.647,1725717599999,106673100.26881,53755,21606.765,49479925.44008,0
1725717600000,2290.53,2297.41,2288.72,2292.29,24855.842,1725719399999,57003738.95369,41154,11676.070,26777655.89938,0
1725719400000,2292.29,2295.45,2287.59,2293.64,19732.580,1725721199999,45197260.03878,33820,9621.609,22039872.46640,0
1725721200000,2293.64,2310.00,2290.56,2308.61,85649.847,1725722999999,197085676.04610,82382,52847.205,121632344.22615,0
1725723000000,2308.61,2309.49,2298.22,2299.17,39790.974,1725724799999,91636085.59818,56344,17776.189,40936581.99553,0
1725724800000,2299.18,2303.31,2294.16,2294.16,30108.452,1725726599999,69184856.18003,41872,12545.837,28833647.09597,0
1725726600000,2294.16,2295.52,2282.38,2288.19,74485.158,1725728399999,170412927.33976,71102,31788.382,72730671.84918,0
1725728400000,2288.19,2291.68,2285.50,2288.22,35511.325,1725730199999,81272212.61890,38981,16629.188,38059347.68533,0
1725730200000,2288.21,2289.39,2262.01,2271.50,107261.555,1725731999999,243913549.07810,88338,45413.678,103282422.16733,0
1725732000000,2271.50,2281.05,2265.89,2278.89,41148.200,1725733799999,93647634.02562,53156,21545.269,49040506.21750,0
1725733800000,2278.89,2286.76,2274.94,2281.64,31621.934,1725735599999,72128859.77652,38409,17317.228,39509819.46007,0
1725735600000,2281.64,2286.51,2278.57,2285.86,18873.585,1725737399999,43094628.99190,27257,11192.151,25560153.34355,0
1725737400000,2285.85,2293.06,2283.10,2289.03,27656.259,1725739199999,63280735.16724,35197,18019.840,41234974.79066,0
1725739200000,2289.03,2290.00,2276.48,2279.17,29492.287,1725740999999,67338547.08061,34001,9697.303,22143847.75472,0
1725741000000,2279.17,2280.84,2270.17,2270.17,22904.903,1725742799999,52098101.06028,34261,8098.038,18424797.45793,0
1725742800000,2270.17,2273.39,2255.00,2268.78,53901.140,1725744599999,122094881.16707,60756,24887.185,56396390.65490,0
1725744600000,2268.78,2270.52,2260.70,2263.90,24267.323,1725746399999,54981723.02223,33857,9431.714,21373280.38643,0
1725746400000,2263.90,2270.53,2262.30,2267.45,17812.482,1725748199999,40386667.47692,30489,10012.121,22701257.37851,0
1725748200000,2267.46,2267.96,2261.24,2263.54,13573.281,1725749999999,30732216.24120,22372,6417.751,14530319.19847,0
1725750000000,2263.55,2267.91,2256.75,2267.52,21921.757,1725751799999,49603784.55294,28933,13036.824,29504970.85112,0
1725751800000,2267.53,2274.91,2265.46,2272.21,23459.438,1725753599999,53257828.52723,32811,15100.357,34278787.63594,0
