open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1720310400000,3065.49,3067.86,3052.16,3055.01,33221.341,1720312199999,101598783.64377,45097,12093.637,36985492.05328,0
1720312200000,3055.01,3059.64,3045.00,3046.64,27063.603,1720313999999,82607439.53703,37315,11379.222,34741779.84646,0
1720314000000,3046.64,3051.75,3037.81,3042.85,42775.787,1720315799999,130198921.30941,47469,21346.506,64977639.29843,0
1720315800000,3042.86,3058.20,3040.00,3052.01,26891.851,1720317599999,81983996.16491,36252,14613.918,44551585.62243,0
1720317600000,3052.00,3072.00,3051.32,3061.38,34235.226,1720319399999,104890263.48162,46697,18662.879,57178770.42804,0
1720319400000,3061.38,3067.92,3058.28,3065.94,17627.684,1720321199999,53986314.76890,29347,7429.777,22755055.92265,0
1720321200000,3065.94,3066.24,3040.71,3045.18,52297.514,1720322999999,159451886.98620,52603,22735.025,69295747.39052,0
1720323000000,3045.18,3052.30,3044.00,3049.52,12465.257,1720324799999,38008862.16160,23181,6495.783,19806574.83492,0
1720324800000,3049.54,3049.76,3040.28,3044.68,20091.369,1720326599999,61177589.85361,31952,9784.493,29792597.00097,0
1720326600000,3044.65,3047.51,3026.17,3029.05,56284.393,1720328399999,170793591.69451,70090,28738.806,87211008.70767,0
1720328400000,3029.04,3032.64,3015.12,3030.67,42543.037,1720330199999,128668023.67384,59834,23060.671,69755159.94897,0
1720330200000,3030.66,3035.24,3028.00,3029.15,15840.332,1720331999999,48021093.90569,26848,7446.804,22577022.33787,0
1720332000000,3029.16,3034.87,3027.60,3033.49,11947.360,1720333799999,36219590.93200,25458,6783.795,20567982.38735,0
1720333800000,3033.48,3037.99,3027.00,3027.41,21053.560,1720335599999,63852267.50032,28928,9489.333,28785584.30757,0
1720335600000,3027.41,3030.94,3001.95,3005.99,62199.016,1720337399999,187431982.51940,70457,24630.985,74214608.55530,0
1720337400000,3005.99,3005.99,2991.52,3002.98,73866.000,1720339199999,221473975.89564,79616,38325.080,114911054.27471,0
1720339200000,3002.98,3012.57,3002.32,3006.41,34333.448,1720340999999,103234991.64597,44119,18983.978,57080312.80055,0
1720341000000,3006.40,3012.40,3003.60,3011.51,21104.149,1720342799999,63491294.18873,33559,12022.995,36168902.93577,0
1720342800000,3011.51,3018.79,3005.40,3017.12,27034.704,1720344599999,81417235.66526,43752,14483.360,43629010.53462,0
1720344600000,3017.12,3018.13,3007.10,3013.79,16274.525,1720346399999,49008488.30159,32422,7646.042,23028544.74016,0
1720346400000,3013.79,3022.50,3011.10,3021.58,20084.731,1720348199999,60600642.58278,37340,11488.505,34668784.45507,0
1720348200000,3021.57,3031.83,3007.54,3013.23,39002.513,1720349999999,117717047.98380,56689,18529.634,55947863.71882,0
1720350000000,3013.23,3018.98,3008.00,3008.36,16360.365,1720351799999,49283603.63073,37670,6655.396,20053001.53959,0
1720351800000,3008.36,3017.00,3008.00,3013.97,11583.805,1720353599999,34892696.89589,28772,6193.962,18659161.74434,0
1720353600000,3013.96,3022.91,3011.26,3013.47,18688.624,1720355399999,56402348.77183,42384,8776.248,26487580.75410,0
1720355400000,3013.47,3015.71,2994.90,3008.50,38203.956,1720357199999,114813689.69570,58993,17319.184,52050642.71730,0
1720357200000,3008.50,3008.50,2970.90,2977.28,117876.384,1720358999999,351768671.94845,128435,53262.737,158937244.57378,0
