open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1728345600000,2421.75,2437.27,2421.75,2432.28,51059.977,1728347399999,124123914.83416,76004,26484.146,64374170.61725,0
1728347400000,2432.28,2438.23,2431.49,2435.72,17997.240,1728349199999,43827719.97607,40397,9422.456,22946281.26312,0
1728349200000,2435.73,2437.20,2426.66,2429.99,19641.328,1728350999999,47749422.87936,38433,8761.262,21298374.81552,0
1728351000000,2430.00,2439.29,2425.15,2433.80,42350.229,1728352799999,103054490.38436,58783,22147.787,53892559.90188,0
1728352800000,2433.80,2439.08,2422.32,2426.17,30445.222,1728354599999,74012750.69057,48270,12686.733,30850633.69359,0
1728354600000,2426.18,2447.38,2424.00,2444.65,43448.171,1728356399999,105790331.55960,59315,29213.485,71141064.40848,0
1728356400000,2444.60,2447.56,2435.22,2435.77,28418.838,1728358199999,69337829.96962,46744,14081.307,34358115.44402,0
1728358200000,2435.77,2440.00,2435.43,2437.29,10206.700,1728359999999,24880508.33849,24848,4483.460,10930114.65557,0
1728360000000,2437.29,2443.01,2436.60,2442.65,23162.810,1728361799999,56514939.38774,30507,13637.260,33274556.68929,0
1728361800000,2442.64,2445.00,2432.07,2436.59,24303.068,1728363599999,59250212.51448,39979,10018.311,24428179.99613,0
1728363600000,2436.59,2438.08,2417.91,2418.67,43747.564,1728365399999,106138598.10811,59159,17315.608,42018392.04773,0
1728365400000,2418.68,2429.04,2418.67,2427.25,69066.331,1728367199999,167477046.18075,73341,39726.259,96320179.93929,0
1728367200000,2427.25,2427.67,2414.38,2420.36,53779.366,1728368999999,130137066.62219,71897,19875.669,48083565.47640,0
1728369000000,2420.36,2438.42,2420.36,2434.44,52117.848,1728370799999,126712881.82786,63683,31208.201,75872266.93539,0
1728370800000,2434.44,2434.95,2409.11,2422.60,79392.682,1728372599999,192289895.55215,94286,32019.186,77513020.36169,0
1728372600000,2422.61,2430.75,2419.00,2427.54,30820.426,1728374399999,74770445.93142,55560,18069.604,43833891.48968,0
1728374400000,2427.55,2430.96,2420.01,2427.42,36880.058,1728376199999,89428488.24183,59967,19592.526,47518738.45935,0
1728376200000,2427.41,2430.60,2423.48,2425.94,17462.666,1728377999999,42386942.86848,36269,7415.258,18000665.90999,0
1728378000000,2425.95,2427.77,2416.36,2425.93,26754.696,1728379799999,64816007.12841,42385,11138.182,26981141.68723,0
1728379800000,2425.94,2436.50,2423.01,2432.16,32660.710,1728381599999,79380824.00885,48897,19855.498,48267254.38907,0
1728381600000,2432.17,2435.00,2428.26,2430.76,22032.253,1728383399999,53586804.26417,39188,8988.737,21863024.30931,0
1728383400000,2430.76,2432.40,2426.35,2429.20,16909.600,1728385199999,41082427.77664,35591,6960.398,16911189.71104,0
