open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1717804800000,3679.82,3687.48,3675.00,3687.48,22905.254,1717806599999,84309320.50207,42410,11712.891,43110393.54132,0
1717806600000,3687.47,3691.98,3685.43,3687.00,16729.012,1717808399999,61707029.77038,29962,7400.990,27300105.93099,0
1717808400000,3687.00,3691.71,3679.62,3688.77,14984.730,1717810199999,55224844.80578,30312,6136.827,22617678.55529,0
1717810200000,3688.77,3693.76,3688.76,3691.99,12948.555,1717811999999,47795097.88152,24774,5632.713,20791138.47037,0
1717812000000,3691.99,3692.00,3687.01,3688.08,8187.505,1717813799999,30214840.33815,23441,3574.936,13193107.14804,0
1717813800000,3688.08,3689.39,3686.97,3689.28,6675.191,1717815599999,24617855.25935,17848,3107.954,11462130.62983,0
1717815600000,3689.27,3690.95,3686.43,3689.04,8725.637,1717817399999,32184555.58197,19148,4106.933,15147607.40820,0
1717817400000,3689.04,3691.89,3689.03,3690.84,7267.311,1717819199999,26822597.54536,18416,3647.876,13463634.45662,0
1717819200000,3690.85,3691.28,3685.26,3685.27,13896.107,1717820999999,51264449.25400,19562,7592.317,28013383.92200,0
1717821000000,3685.27,3688.16,3680.79,3682.30,14948.089,1717822799999,55071088.40873,28787,5761.273,21227323.16547,0
1717822800000,3682.30,3686.43,3678.35,3686.39,15227.344,1717824599999,56059244.45610,27583,8347.129,30733672.45494,0
1717824600000,3686.39,3686.65,3680.50,3681.72,7906.791,1717826399999,29126593.75088,20559,4071.176,14997332.85655,0
1717826400000,3681.72,3687.00,3680.50,3685.91,7826.355,1717828199999,28831875.83304,20820,4316.348,15901433.24865,0
1717828200000,3685.90,3689.40,3684.44,3686.62,9818.141,1717829999999,36203309.46968,19285,4929.780,18177357.92107,0
1717830000000,3686.62,3704.65,3686.61,3702.46,33892.700,1717831799999,125253766.07042,47212,19909.460,73574663.77070,0
1717831800000,3702.47,3711.28,3700.21,3710.26,35300.374,1717833599999,130849692.85190,49125,18374.429,68110970.90597,0
1717833600000,3710.26,3710.67,3698.47,3698.47,18280.016,1717835399999,67695442.90545,33092,7028.345,26029056.50722,0
1717835400000,3698.47,3700.74,3693.87,3696.96,12677.229,1717837199999,46867360.44170,26773,5175.222,19133311.08524,0
1717837200000,3696.95,3700.16,3693.71,3694.13,9970.799,1717838999999,36854075.60627,22079,5215.528,19278443.59548,0
1717839000000,3694.13,3698.33,3692.77,3694.28,11260.788,1717840799999,41605652.52677,24081,5558.684,20538668.65633,0
1717840800000,3694.28,3696.80,3682.06,3685.91,22877.216,1717842599999,84374032.38384,39153,7951.071,29328369.59376,0
1717842600000,3685.91,3697.49,3683.32,3696.12,25951.691,1717844399999,95775769.01084,42640,15640.362,57720357.25796,0
1717844400000,3696.12,3698.63,3690.13,3692.86,11941.136,1717846199999,44115102.98609,27811,6190.420,22870941.59781,0
1717846200000,3692.86,3695.55,3680.20,3684.55,31335.127,1717847999999,115476813.35015,51121,15414.914,56811530.29540,0
1717848000000,3684.55,3690.60,3678.27,3685.44,27625.680,1717849799999,101778730.45793,49098,13413.926,49423241.48958,0
1717849800000,3685.44,3688.15,3679.32,3684.20,12754.411,1717851599999,46988737.74245,32228,5831.627,21485844.17847,0
1717851600000,3684.20,3685.58,3672.25,3673.11,35192.242,1717853399999,129421738.33832,53147,16629.333,61151838.41937,0
1717853400000,3673.12,3689.00,3659.00,3688.84,56395.708,1717855199999,207390163.83474,77625,26402.855,97133098.80311,0
1717855200000,3688.83,3690.40,3683.17,3685.00,16730.407,1717856999999,61688070.73271,30492,7620.597,28097839.50564,0
1717857000000,3685.00,3698.65,3684.42,3697.86,36720.233,1717858799999,135622278.10491,48646,19595.893,72373077.56185,0
1717858800000,3697.86,3699.20,3691.08,3693.95,17057.846,1717860599999,63030507.22925,30195,6958.800,25713101.18789,0
1717860600000,3693.94,3697.05,3688.75,3689.33,14920.558,1717862399999,55101717.01054,30470,7277.890,26878864.24369,0
1717862400000,3689.33,3694.08,3680.81,3684.33,22630.331,1717864199999,83418905.45505,40031,9654.450,35587463.97503,0
1717864200000,3684.33,3688.74,3679.73,3684.33,14498.217,1717865999999,53405486.89498,28633,7760.991,28591573.11914,0
1717866000000,3684.33,3689.94,3681.34,3683.22,13321.219,1717867799999,49098170.65700,22862,6961.064,25658966.78130,0
1717867800000,3683.22,3689.27,3672.70,3689.26,16533.348,1717869599999,60873184.87768,33021,8253.065,30391785.75695,0
1717869600000,3689.27,3696.30,3688.01,3693.89,13933.777,1717871399999,51464106.21369,29881,6858.645,25330185.95772,0
1717871400000,3693.89,3694.15,3689.40,3690.01,6288.712,1717873199999,23214149.55395,19698,2418.525,8927316.00836,0
1717873200000,3690.00,3695.38,3689.95,3691.87,6258.992,1717874999999,23107817.98414,18704,2817.789,10403678.58399,0
1717875000000,3691.87,3691.88,3681.99,3683.31,9982.762,1717876799999,36786959.23477,21594,3690.306,13598680.91386,0
1717876800000,3683.31,3685.89,3679.27,3679.28,9147.810,1717878599999,33689062.85515,22862,4099.695,15100459.23655,0
1717878600000,3679.28,3679.28,3671.00,3674.76,20317.344,1717880399999,74670786.14791,33573,10656.867,39166567.29405,0
1717880400000,3674.76,3680.79,3671.81,3680.39,13066.364,1717882199999,48027290.55509,23832,8503.782,31257428.22985,0
1717882200000,3680.38,3681.42,3676.78,3676.78,6274.536,1717883999999,23086359.38507,19096,2910.542,10709059.09227,0
1717884000000,3676.79,3681.00,3671.36,3672.24,14430.052,1717885799999,53041416.39911,26158,6537.072,24027570.13145,0
1717885800000,3672.24,3679.41,3671.97,3678.34,8171.135,1717887599999,30040456.93941,18476,4684.892,17222557.27681,0
1717887600000,3678.34,3680.00,3673.00,3679.80,7503.374,1717889399999,27587974.11235,18613,3507.128,12895407.35823,0
1717889400000,3679.81,3685.95,3679.34,3682.11,12273.799,1717891199999,45202244.93833,23876,6589.860,24268284.64134,0
