open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1712534400000,3456.00,3459.50,3437.77,3439.36,42935.357,1712536199999,148017454.60437,85695,17555.509,60511957.48548,0
1712536200000,3439.39,3441.90,3426.43,3431.02,36563.498,1712537999999,125531030.76234,86381,17780.963,61048475.13860,0
1712538000000,3431.01,3442.69,3423.90,3434.58,30082.704,1712539799999,103299135.92755,68692,16211.231,55670255.88046,0
1712539800000,3434.59,3438.83,3422.01,3426.76,19735.315,1712541599999,67678752.18549,55337,9339.606,32032686.90206,0
1712541600000,3426.76,3439.18,3422.21,3436.25,22252.571,1712543399999,76326245.15176,50405,13459.566,46166384.96987,0
1712543400000,3436.24,3437.83,3419.02,3426.41,32886.640,1712545199999,112755554.34277,74612,16213.650,55594712.27276,0
1712545200000,3426.40,3427.39,3407.33,3417.81,41489.671,1712546999999,141754872.04558,79011,18691.416,63867979.51994,0
1712547000000,3417.81,3427.23,3417.81,3424.77,15560.141,1712548799999,53261053.25730,40928,9976.786,34150288.39877,0
1712548800000,3424.76,3428.78,3417.60,3418.92,14785.665,1712550599999,50608092.82144,37396,6917.000,23680999.35662,0
1712550600000,3418.92,3425.27,3414.50,3421.31,15872.457,1712552399999,54287633.33253,37640,9241.951,31614690.33816,0
1712552400000,3421.32,3432.96,3421.32,3423.48,20129.673,1712554199999,69003148.85505,43424,11202.093,38405069.80164,0
1712554200000,3423.49,3435.00,3422.26,3430.09,19470.342,1712555999999,66758703.28368,43751,11851.937,40640890.35673,0
1712556000000,3430.08,3433.89,3424.19,3429.80,16805.792,1712557799999,57620595.02460,37900,7158.368,24543575.95174,0
1712557800000,3429.79,3432.74,3422.35,3432.45,16850.179,1712559599999,57759900.56670,35689,7640.764,26193422.57114,0
1712559600000,3432.44,3441.58,3431.00,3440.13,24176.481,1712561399999,83086940.92422,55231,13672.640,46990206.15783,0
1712561400000,3440.13,3482.80,3440.13,3476.16,143716.159,1712563199999,498324239.04283,215080,77465.752,268539131.72792,0
1712563200000,3476.17,3593.00,3472.09,3564.67,318313.160,1712564999999,1128723949.96550,422406,178663.874,633066287.59869,0
1712565000000,3564.67,3619.94,3562.58,3601.22,228749.226,1712566799999,822075785.38556,279822,120143.353,431756042.45875,0
1712566800000,3601.22,3629.43,3588.15,3621.00,130706.615,1712568599999,471803599.94451,211834,65505.102,236479211.13463,0
1712568600000,3621.00,3624.83,3606.13,3622.19,70700.810,1712570399999,255567406.37080,132533,34165.733,123508370.46529,0
1712570400000,3622.16,3637.20,3612.01,3633.40,76304.234,1712572199999,276489788.39160,144775,40445.003,146591866.74486,0
1712572200000,3633.41,3634.41,3616.61,3622.04,44410.355,1712573999999,161008656.87867,106079,20198.899,73230820.53648,0
1712574000000,3622.05,3648.00,3617.69,3639.07,46939.771,1712575799999,170391328.33748,106646,28861.538,104796605.14304,0
1712575800000,3639.06,3641.23,3626.13,3636.17,38615.480,1712577599999,140271551.81257,86392,19340.144,70252478.94264,0
1712577600000,3636.18,3675.42,3636.18,3641.84,122256.400,1712579399999,446602613.96232,205086,68376.377,249807885.62214,0
1712579400000,3641.83,3652.77,3638.00,3646.32,53948.047,1712581199999,196619363.27840,115292,26609.769,96990934.51395,0
1712581200000,3646.33,3675.00,3646.32,3664.01,78769.099,1712582999999,288324865.76116,149018,42572.088,155854024.05348,0
1712583000000,3664.01,3666.44,3598.00,3630.81,181692.402,1712584799999,659767103.40238,233660,67703.326,246035563.44866,0
1712584800000,3630.81,3643.85,3617.46,3634.72,66873.735,1712586599999,243000362.58992,125204,33656.391,122298145.67085,0
1712586600000,3634.72,3654.21,3625.07,3648.40,68368.608,1712588399999,248863627.94994,127405,35460.087,129104001.46816,0
1712588400000,3648.40,3654.99,3628.67,3628.68,56776.798,1712590199999,206956389.20862,103159,24965.333,91034373.13376,0
1712590200000,3628.68,3640.42,3625.35,3631.65,40130.328,1712591999999,145796989.80370,88370,21617.057,78546676.95184,0
1712592000000,3631.64,3654.98,3629.93,3648.93,48582.650,1712593799999,177098571.41981,97694,25035.492,91256093.37123,0
1712593800000,3648.93,3667.92,3648.68,3661.01,54963.532,1712595599999,201145847.14002,105661,30067.701,110036604.43634,0
1712595600000,3661.01,3667.36,3645.44,3646.12,45352.320,1712597399999,165711916.99307,90768,18688.404,68290386.69865,0
1712597400000,3646.14,3685.37,3642.45,3671.55,65054.492,1712599199999,238487518.07791,108666,38016.023,139403512.06351,0
1712599200000,3671.55,3693.32,3671.23,3683.18,67275.111,1712600999999,247722213.65017,115678,34425.250,126778383.10507,0
1712601000000,3683.18,3714.98,3682.60,3694.32,95861.571,1712602799999,354708384.19132,159861,52751.976,195205477.95880,0
1712602800000,3694.33,3700.50,3688.33,3690.10,27361.797,1712604599999,101056391.37412,64230,12567.009,46418849.39912,0
1712604600000,3690.10,3707.68,3684.30,3705.66,39369.510,1712606399999,145431615.01789,75073,20028.724,73995051.00694,0
1712606400000,3705.73,3712.00,3687.25,3688.38,34544.021,1712608199999,127734306.68337,68340,14730.760,54485648.50105,0
1712608200000,3688.37,3694.78,3684.00,3692.35,18914.040,1712609999999,69776630.09559,42259,10609.636,39142244.72361,0
1712610000000,3692.35,3699.89,3689.76,3695.28,17683.029,1712611799999,65337154.98276,39883,9060.300,33473926.47476,0
1712611800000,3695.28,3698.14,3685.00,3689.16,14832.039,1712613599999,54729119.44102,36744,7565.608,27915569.54866,0
1712613600000,3689.17,3700.89,3685.32,3697.10,20120.344,1712615399999,74286932.35075,47839,10981.632,40550727.34629,0
1712615400000,3697.11,3735.31,3692.75,3724.08,71869.802,1712617199999,266982251.41869,110342,43688.315,162326848.61691,0
1712617200000,3724.08,3733.33,3706.07,3711.06,52602.104,1712618999999,195641432.66757,103856,24992.015,92955512.16035,0
1712619000000,3711.06,3712.62,3692.31,3697.60,34680.554,1712620799999,128315670.02352,72096,17216.961,63696729.19116,0
