open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1720396800000,2930.23,2951.07,2920.00,2947.01,103193.325,1720398599999,302740754.95546,149447,52700.964,154673676.52136,0
1720398600000,2947.01,2947.48,2883.16,2886.11,174302.200,1720400399999,506022729.81601,210905,78695.508,228389882.02292,0
1720400400000,2886.11,2888.76,2821.26,2845.98,342998.903,1720402199999,976210692.37834,371466,148069.749,421170775.62386,0
1720402200000,2845.99,2855.68,2826.66,2855.45,108074.561,1720403999999,306973375.67154,143110,55282.754,157032573.83592,0
1720404000000,2855.46,2886.99,2837.86,2885.13,141106.398,1720405799999,404294788.96758,177907,73307.608,210118677.18341,0
1720405800000,2885.13,2894.72,2877.76,2888.02,68763.314,1720407599999,198592792.65895,101501,32969.914,95240476.01646,0
1720407600000,2888.03,2893.49,2864.40,2872.63,60596.687,1720409399999,174334853.54789,83435,27503.557,79124254.45913,0
1720409400000,2872.62,2895.58,2869.20,2877.90,52027.934,1720411199999,149893109.38221,86148,28084.117,80922573.28785,0
1720411200000,2877.90,2894.63,2873.76,2892.56,42807.048,1720412999999,123494367.79616,72570,22020.782,63528925.71202,0
1720413000000,2892.56,2915.84,2887.59,2912.74,75089.937,1720414799999,218137879.20720,104022,39938.239,116010246.39765,0
1720414800000,2912.76,2918.32,2903.09,2904.07,51995.683,1720416599999,151428439.86568,69013,24176.928,70429660.36748,0
1720416600000,2904.07,2919.68,2900.92,2915.33,39261.777,1720418399999,114323010.92279,63179,21166.313,61640628.31634,0
1720418400000,2915.33,2931.44,2901.36,2925.67,53510.610,1720420199999,156243404.57796,83709,29331.486,85676725.83950,0
1720420200000,2925.67,2930.82,2911.05,2911.54,53282.932,1720421999999,155673052.46961,70920,22175.296,64805513.57987,0
1720422000000,2911.54,2916.61,2901.00,2916.58,48067.202,1720423799999,139765429.54264,69082,26934.941,78331344.78110,0
1720423800000,2916.50,2927.31,2912.41,2925.86,32738.355,1720425599999,95607339.80507,60979,18046.518,52705271.14161,0
1720425600000,2925.85,3013.34,2921.22,3008.27,242604.261,1720427399999,721794094.74237,256177,127724.424,379900126.85826,0
1720427400000,3008.27,3064.81,2997.30,3056.25,258197.088,1720429199999,782625514.75193,279611,135493.688,410950145.60768,0
1720429200000,3056.26,3098.00,3051.00,3068.61,204888.419,1720430999999,628677678.55249,208888,100631.153,308955244.31154,0
1720431000000,3068.61,3072.23,3041.30,3050.00,95422.258,1720432799999,291333685.60526,123162,45918.639,140180247.37388,0
1720432800000,3050.01,3069.32,3040.47,3055.54,57548.944,1720434599999,175964462.10615,86468,30531.923,93374182.76070,0
1720434600000,3055.53,3056.72,3005.86,3013.07,111009.580,1720436399999,336622738.38907,135617,49146.207,149037161.52777,0
1720436400000,3013.07,3044.61,3008.52,3036.52,83011.929,1720438199999,251529131.57295,111978,46282.255,140214547.24395,0
1720438200000,3036.52,3063.71,3035.42,3052.85,62318.213,1720439999999,190131877.76238,92322,33221.728,101356933.75550,0
1720440000000,3052.85,3062.79,3036.41,3049.21,61551.415,1720441799999,187661449.93854,95611,30176.763,92019922.01758,0
1720441800000,3049.21,3062.74,3041.69,3048.09,52175.070,1720443599999,159205831.41939,91938,26276.101,80193454.57841,0
1720443600000,3048.10,3059.80,3035.74,3046.42,54307.257,1720445399999,165576733.43764,84810,26131.288,79687080.75274,0
1720445400000,3046.42,3051.71,3017.66,3037.15,100104.507,1720447199999,303341372.41626,136117,51461.666,155938774.82825,0
1720447200000,3037.14,3046.25,2952.01,2955.64,216670.697,1720448999999,648087878.35936,226945,90054.176,269453182.80739,0
1720449000000,2955.65,2996.60,2886.62,2980.60,492405.296,1720450799999,1450180206.70068,497617,245050.145,722195014.39134,0
1720450800000,2980.60,3035.10,2972.18,3002.51,207945.970,1720452599999,624399616.76091,235081,108033.111,324361239.20308,0
1720452600000,3002.49,3011.22,2964.11,2968.22,149545.621,1720454399999,446085715.93217,173718,70755.721,211032462.15946,0
1720454400000,2968.22,2992.68,2950.00,2954.74,112630.462,1720456199999,334635581.10549,139113,55119.989,163845197.42737,0
1720456200000,2954.74,2978.83,2943.45,2970.44,70676.078,1720457999999,209377430.36427,102940,37127.644,110025386.70051,0
1720458000000,2970.45,2987.25,2951.49,2970.94,59992.804,1720459799999,178110578.88417,93403,31493.527,93527512.16856,0
1720459800000,2970.93,2988.00,2969.65,2983.05,38591.379,1720461599999,114955459.22781,64703,20629.505,61460845.28671,0
1720461600000,2983.04,2986.86,2972.17,2981.30,28266.727,1720463399999,84246665.48534,50512,12590.491,37529911.77532,0
1720463400000,2981.30,2999.98,2975.27,2990.16,51843.658,1720465199999,155027319.27578,77318,27353.711,81809280.99129,0
1720465200000,2990.16,3005.39,2981.10,2998.44,31146.254,1720466999999,93243361.50748,52514,15631.563,46813283.66392,0
1720467000000,2998.44,3008.99,2988.99,3003.18,25916.871,1720468799999,77730790.01689,47020,10670.612,32006289.53441,0
1720468800000,3003.18,3010.30,2990.49,3010.30,39926.873,1720470599999,119790479.39486,66516,19141.250,57438126.74887,0
1720470600000,3010.30,3013.99,2991.24,2996.26,27369.633,1720472399999,82200478.12104,47792,10948.511,32889359.44155,0
1720472400000,2996.25,3022.17,2982.60,3018.49,52336.597,1720474199999,156930837.59251,74949,28180.018,84499842.21589,0
1720474200000,3018.67,3027.81,3005.13,3024.33,43377.081,1720475999999,130990520.01179,66324,20070.601,60613293.06027,0
1720476000000,3024.33,3044.77,3018.93,3035.46,52249.212,1720477799999,158380527.56455,71786,26706.684,80961496.50456,0
1720477800000,3035.46,3036.17,3019.36,3023.08,22774.262,1720479599999,68910348.07581,40619,10533.567,31872623.86806,0
1720479600000,3023.08,3033.11,3019.00,3023.51,18861.329,1720481399999,57056233.28847,34204,10406.109,31480662.30328,0
1720481400000,3023.51,3026.24,3013.55,3017.51,20337.533,1720483199999,61378790.82905,35861,9705.229,29289679.19944,0
