open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1725753600000,2272.21,2274.23,2267.00,2269.23,23470.745,1725755399999,53290495.50780,32851,9355.635,21242846.86283,0
1725755400000,2269.23,2271.82,2262.00,2268.54,18632.955,1725757199999,42250894.73455,30155,9280.608,21048265.25118,0
1725757200000,2268.54,2279.91,2268.00,2275.37,35688.886,1725758999999,81200728.95508,39085,21103.195,48013264.24861,0
1725759000000,2275.37,2279.30,2273.09,2279.08,14716.845,1725760799999,33496394.26369,21834,6921.637,15755710.51903,0
1725760800000,2279.07,2287.56,2277.91,2285.72,41160.403,1725762599999,93950120.74209,41773,23744.815,54205962.54462,0
1725762600000,2285.72,2286.87,2280.96,2282.77,17786.967,1725764399999,40602961.12442,25017,7363.955,16810671.25647,0
1725764400000,2282.76,2285.70,2281.52,2281.75,9323.409,1725766199999,21291127.44630,16595,4106.749,9379037.30747,0
1725766200000,2281.75,2285.17,2279.00,2284.77,12961.272,1725767999999,29569350.21405,17766,7091.224,16179373.53778,0
1725768000000,2284.77,2293.85,2283.94,2290.53,29581.375,1725769799999,67722055.27862,34603,17771.151,40688768.38580,0
1725769800000,2290.53,2303.90,2286.03,2296.52,40732.491,1725771599999,93490020.34984,45124,23055.925,52926356.93593,0
1725771600000,2296.53,2298.88,2289.24,2291.68,27092.609,1725773399999,62150797.62783,36271,12686.223,29106044.99148,0
1725773400000,2291.68,2292.48,2282.22,2284.08,17702.367,1725775199999,40486503.76147,28404,6734.763,15406685.36877,0
1725775200000,2284.08,2287.76,2283.30,2285.45,12481.892,1725776999999,28532541.47704,20555,6806.571,15559602.84749,0
1725777000000,2285.45,2287.49,2283.50,2286.01,11333.714,1725778799999,25899515.67366,18267,4683.086,10702898.02602,0
1725778800000,2286.00,2298.55,2286.00,2294.50,32836.976,1725780599999,75330698.60062,40594,15947.902,36581003.47546,0
1725780600000,2294.50,2298.60,2293.00,2293.69,21128.182,1725782399999,48506393.93607,29342,10680.372,24520998.33981,0
1725782400000,2293.70,2295.59,2286.33,2288.22,21007.142,1725784199999,48097818.17331,27046,8694.558,19908024.39141,0
1725784200000,2288.22,2297.00,2288.21,2295.40,17653.933,1725785999999,40490987.42194,26737,9639.704,22110363.26419,0
1725786000000,2295.41,2309.00,2294.67,2302.54,62146.696,1725787799999,143075396.74928,64746,32277.147,74314960.78029,0
1725787800000,2302.55,2303.70,2293.33,2293.99,20706.112,1725789599999,47576535.40638,32738,7767.357,17846045.18981,0
1725789600000,2294.00,2308.00,2294.00,2305.41,31399.581,1725791399999,72330384.57345,39000,16775.565,38642125.81318,0
1725791400000,2305.42,2307.08,2300.16,2302.65,12376.403,1725793199999,28497759.15249,23581,5820.756,13402029.94261,0
1725793200000,2302.64,2305.38,2300.05,2300.73,14595.911,1725794999999,33609930.33444,23676,5955.280,13715936.69858,0
1725795000000,2300.73,2305.48,2292.52,2295.27,31773.063,1725796799999,73000355.51306,37184,13303.676,30567399.79977,0
1725796800000,2295.28,2298.16,2284.04,2287.00,42316.161,1725798599999,96924146.65949,43560,16132.118,36960468.06488,0
1725798600000,2287.00,2292.00,2270.00,2276.00,97281.516,1725800399999,221791100.68338,89844,43381.347,98916532.29067,0
1725800400000,2276.00,2277.92,2265.60,2275.37,49831.773,1725802199999,113250552.64522,62909,24538.385,55777262.88574,0
1725802200000,2275.38,2284.87,2272.40,2283.19,42123.249,1725803999999,96004570.78593,47142,26151.736,59604901.54675,0
1725804000000,2283.11,2284.16,2267.92,2272.74,56879.067,1725805799999,129311348.28338,60547,24454.502,55588947.59044,0
1725805800000,2272.74,2274.73,2266.17,2267.05,28723.184,1725807599999,65230124.05587,34633,13541.764,30751298.20481,0
1725807600000,2267.04,2271.12,2256.21,2260.02,69681.301,1725809399999,157646143.53798,66949,33071.661,74828269.66956,0
1725809400000,2260.02,2265.64,2238.88,2244.67,107063.775,1725811199999,241197769.44489,101469,48576.894,109482488.86408,0
1725811200000,2244.68,2252.99,2242.17,2250.32,59713.574,1725812999999,134233649.95677,69841,32057.200,72069964.98024,0
1725813000000,2250.32,2259.99,2247.92,2249.86,49124.855,1725814799999,110678162.35035,48681,26918.414,60651331.67117,0
1725814800000,2249.87,2272.00,2248.86,2265.93,79227.293,1725816599999,179229707.31020,71406,46612.094,105448105.55596,0
1725816600000,2265.93,2282.29,2265.92,2280.69,60506.357,1725818399999,137560209.60227,59767,36268.318,82468750.97572,0
1725818400000,2280.67,2282.59,2271.33,2271.72,30124.330,1725820199999,68554566.37650,36904,11880.838,27037210.84989,0
1725820200000,2271.72,2279.35,2270.16,2274.65,20336.873,1725821999999,46255314.44462,27401,8905.868,20262533.89098,0
1725822000000,2274.65,2277.23,2268.28,2270.82,17396.379,1725823799999,39537698.20437,22914,6299.445,14315442.61349,0
1725823800000,2270.82,2274.48,2268.50,2270.63,12530.223,1725825599999,28457098.99931,18936,6163.422,13997330.88650,0
1725825600000,2270.64,2273.86,2267.43,2270.60,13149.415,1725827399999,29860871.91339,19894,5325.950,12096013.49864,0
1725827400000,2270.60,2276.26,2266.46,2275.59,16743.652,1725829199999,38020768.77556,25283,9145.472,20772765.67541,0
1725829200000,2275.59,2289.24,2273.40,2277.16,50184.069,1725830999999,114539927.06354,57342,26963.710,61538081.64333,0
1725831000000,2277.15,2286.90,2275.26,2279.53,20183.721,1725832799999,46056699.46922,27583,12549.005,28634702.86499,0
1725832800000,2279.52,2333.98,2277.09,2327.42,176323.227,1725834599999,406983597.33342,154840,103326.341,238578228.84676,0
1725834600000,2327.42,2329.21,2291.46,2292.37,152765.430,1725836399999,352496624.26888,134789,72329.456,166830791.32582,0
1725836400000,2292.37,2305.97,2287.67,2301.81,55538.677,1725838199999,127642609.66797,67822,28340.892,65122459.52780,0
1725838200000,2301.81,2303.99,2293.52,2295.89,47786.724,1725839999999,109807030.92658,53198,22565.533,51849066.69195,0
