open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1731024000000,2895.76,2956.99,2895.58,2941.92,231567.620,1731025799999,679509525.62434,283112,129873.532,381009772.94780,0
1731025800000,2941.91,2945.79,2905.32,2907.63,123699.509,1731027599999,361648200.17357,180387,55891.832,163418231.06878,0
1731027600000,2907.63,2928.64,2905.10,2924.59,90004.845,1731029399999,262571653.96525,140228,53090.336,154904009.65284,0
1731029400000,2924.58,2926.89,2896.00,2922.53,85171.541,1731031199999,247923849.33563,147433,35678.957,103871366.00839,0
1731031200000,2922.53,2928.96,2898.96,2899.47,65918.807,1731032999999,192015395.54428,123485,25832.467,75244298.14408,0
1731033000000,2899.47,2905.94,2886.47,2890.26,59653.497,1731034799999,172705542.74694,111896,26412.153,76488486.06956,0
1731034800000,2890.25,2909.70,2887.01,2896.62,73593.752,1731036599999,213459036.21554,105163,38637.890,112087563.92945,0
1731036600000,2896.62,2903.22,2890.03,2902.92,28714.193,1731038399999,83188400.99660,66166,14951.408,43326796.33680,0
1731038400000,2902.91,2914.86,2900.40,2913.37,36926.188,1731040199999,107368386.92790,64965,22630.942,65810500.34609,0
1731040200000,2913.36,2917.47,2901.70,2902.54,33050.142,1731041999999,96109666.30174,60866,14125.683,41084961.94586,0
1731042000000,2902.54,2916.28,2901.73,2912.00,26064.026,1731043799999,75877081.05728,62024,13023.490,37916224.59625,0
1731043800000,2912.00,2924.75,2911.41,2924.46,47183.174,1731045599999,137753029.52175,82850,27018.772,78885440.28963,0
1731045600000,2924.46,2924.47,2914.52,2916.48,29445.294,1731047399999,85967513.28238,63780,13002.720,37967589.38596,0
1731047400000,2916.49,2920.84,2904.80,2909.43,33378.330,1731049199999,97172941.31759,60296,13492.439,39281346.69688,0
1731049200000,2909.43,2911.96,2892.61,2910.56,65852.269,1731050999999,191005991.57104,98786,32099.216,93135223.92188,0
1731051000000,2910.56,2921.02,2906.95,2912.94,57820.421,1731052799999,168585520.22627,100348,26166.925,76291751.04137,0
1731052800000,2912.93,2914.37,2893.63,2906.37,73657.291,1731054599999,213704565.45789,111291,35723.184,103660883.70115,0
1731054600000,2906.36,2909.93,2896.57,2900.00,31185.019,1731056399999,90482751.97615,74195,14710.667,42682150.19722,0
1731056400000,2900.00,2916.03,2898.17,2914.17,45727.524,1731058199999,133026728.62898,71941,23176.307,67414550.36275,0
1731058200000,2914.17,2918.80,2908.76,2914.42,31166.678,1731059999999,90839022.27913,64727,13148.290,38325049.93185,0
1731060000000,2914.42,2915.97,2903.57,2915.97,35298.629,1731061799999,102663420.82696,69723,19667.187,57206735.43823,0
1731061800000,2915.97,2933.00,2910.50,2924.79,68220.705,1731063599999,199321842.32595,89764,38325.695,111996506.39260,0
1731063600000,2924.79,2927.60,2917.38,2920.57,45377.011,1731065399999,132592874.10597,88166,16525.855,48293057.03982,0
1731065400000,2920.56,2924.77,2914.72,2915.27,22842.052,1731067199999,66670766.64415,43706,8654.223,25265930.04056,0
1731067200000,2915.27,2920.58,2910.01,2914.55,40781.006,1731068999999,118882080.96564,66581,17527.554,51101404.25359,0
1731069000000,2914.55,2942.00,2914.55,2937.04,102661.986,1731070799999,301026774.73050,166638,56056.752,164368219.78754,0
1731070800000,2937.04,2943.38,2928.00,2930.32,67427.719,1731072599999,197885252.43449,130459,30775.857,90335173.13421,0
1731072600000,2930.32,2955.30,2925.34,2947.51,103435.328,1731074399999,304365158.14669,149382,57143.458,168205753.02400,0
1731074400000,2947.51,2958.00,2935.32,2949.46,114915.823,1731076199999,338548571.83412,161481,57286.010,168800840.38476,0
1731076200000,2949.47,2952.78,2908.26,2913.46,179077.661,1731077999999,524197362.16376,243373,80501.604,235617825.06913,0
1731078000000,2913.47,2941.34,2903.25,2935.58,159232.303,1731079799999,465214512.82428,244431,79408.827,232053547.03099,0
1731079800000,2935.58,2946.98,2914.29,2937.59,165678.923,1731081599999,485870631.10081,214329,78755.497,231053398.36166,0
1731081600000,2937.60,2945.73,2919.77,2924.66,122615.672,1731083399999,359332059.32307,164539,60681.387,177876180.44487,0
1731083400000,2924.67,2925.37,2904.72,2906.35,134926.914,1731085199999,393036840.84762,162814,59823.477,174283431.06377,0
1731085200000,2906.35,2915.40,2890.04,2895.16,133700.041,1731086999999,387626540.48022,168496,63528.420,184202573.52787,0
1731087000000,2895.18,2926.50,2890.61,2919.66,114817.031,1731088799999,334511344.87419,146765,63230.726,184178627.48287,0
1731088800000,2919.65,2934.12,2915.44,2933.69,59771.625,1731090599999,174818396.22310,90159,30819.655,90153184.50590,0
1731090600000,2933.70,2973.00,2928.92,2958.37,267323.839,1731092399999,789835221.42928,274300,145781.171,430736570.39275,0
1731092400000,2958.36,2971.14,2951.20,2965.73,85280.142,1731094199999,252555882.00213,152725,40277.776,119306814.27970,0
1731094200000,2965.73,2982.75,2950.00,2950.00,138705.272,1731095999999,411274805.95057,182375,68789.931,204014508.66973,0
1731096000000,2950.00,2958.83,2932.80,2934.43,99133.568,1731097799999,292069633.84005,152671,41298.933,121705454.70009,0
1731097800000,2934.42,2941.02,2924.85,2934.98,59593.132,1731099599999,174791112.39065,108489,30449.939,89317958.44615,0
1731099600000,2934.99,2938.42,2915.13,2923.69,56870.495,1731101399999,166308751.36414,87653,27166.922,79456396.41260,0
1731101400000,2923.68,2942.82,2920.71,2942.11,43557.304,1731103199999,127906395.55600,71024,27767.010,81532826.47145,0
1731103200000,2942.10,2974.99,2940.30,2969.01,89118.454,1731104999999,263373951.63614,106465,51806.733,153122685.14102,0
1731105000000,2969.02,2975.88,2954.42,2959.20,43738.361,1731106799999,129655930.77895,80564,19843.239,58833787.95538,0
1731106800000,2959.19,2962.29,2952.74,2956.74,22864.080,1731108599999,67623291.41826,56241,10250.662,30318906.97056,0
1731108600000,2956.74,2962.67,2952.89,2962.12,23421.812,1731110399999,69278342.15262,40121,12595.772,37259088.36595,0
