open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1709856000000,3871.69,3893.35,3866.61,3884.61,42932.268,1709857799999,166585709.24462,69201,24169.728,93803239.56860,0
1709857800000,3884.61,3913.23,3874.28,3909.69,56414.098,1709859599999,219916458.46012,85957,29938.822,116705535.54575,0
1709859600000,3909.68,3947.36,3906.45,3938.60,108784.338,1709861399999,427744108.64586,168003,53429.219,210071197.49749,0
1709861400000,3938.61,3938.61,3907.30,3909.06,55867.987,1709863199999,218958031.38145,100679,25737.795,100863077.08960,0
1709863200000,3909.06,3921.83,3903.21,3915.07,34464.590,1709864999999,134845176.91025,67682,18903.739,73963405.58321,0
1709865000000,3915.06,3915.83,3895.20,3907.06,38172.899,1709866799999,149058148.81524,69560,18153.694,70893804.64279,0
1709866800000,3907.06,3916.93,3895.41,3916.67,30327.577,1709868599999,118471457.65694,62773,16296.977,63665128.81341,0
1709868600000,3916.66,3916.66,3902.05,3905.18,18396.296,1709870399999,71898463.96813,41134,9828.268,38411325.80484,0
1709870400000,3905.19,3915.29,3899.60,3901.16,37964.872,1709872199999,148316676.29901,45689,19342.172,75570212.69842,0
1709872200000,3901.16,3904.99,3889.35,3903.62,27422.231,1709873999999,106897162.77709,48555,13466.156,52499497.50455,0
1709874000000,3903.62,3908.88,3885.22,3889.16,27033.406,1709875799999,105262994.45163,51502,11938.073,46487601.06565,0
1709875800000,3889.15,3895.00,3883.11,3892.26,24416.499,1709877599999,94949139.86948,44063,12554.071,48826599.80753,0
1709877600000,3892.25,3905.96,3886.66,3900.55,27150.771,1709879399999,105781171.11120,46640,14380.314,56035699.78380,0
1709879400000,3900.56,3937.27,3897.44,3935.06,60515.311,1709881199999,237079390.84758,82088,35368.584,138564704.13241,0
1709881200000,3935.06,3940.00,3919.08,3921.99,60057.548,1709882999999,235993533.26590,94189,25956.622,102015130.85624,0
1709883000000,3921.98,3954.43,3910.55,3913.52,92621.586,1709884799999,364404337.88297,130369,44534.762,175287515.69174,0
1709884800000,3913.52,3934.59,3913.27,3928.69,38567.745,1709886599999,151294149.90997,60995,21895.113,85887591.34271,0
1709886600000,3928.69,3958.40,3928.38,3944.80,79192.609,1709888399999,312793568.57324,129772,39207.284,154856158.75804,0
1709888400000,3944.80,3956.96,3934.42,3943.40,45592.833,1709890199999,179829410.10632,80603,20963.654,82689271.51794,0
1709890200000,3943.39,3955.25,3931.14,3934.81,40866.965,1709891999999,161224076.64614,72617,19550.168,77142159.81795,0
1709892000000,3934.80,3941.00,3926.03,3940.68,46305.267,1709893799999,182154858.61000,59048,26401.003,103871130.03913,0
1709893800000,3940.68,3959.98,3938.50,3950.19,46498.321,1709895599999,183723907.26730,74545,23037.400,91024887.24521,0
1709895600000,3950.19,3954.50,3941.03,3943.80,31655.901,1709897399999,124992273.29999,57266,15802.082,62394977.85126,0
1709897400000,3943.81,3956.50,3937.34,3954.66,36636.310,1709899199999,144605014.86219,60669,19628.602,77487750.78229,0
1709899200000,3954.66,3957.14,3937.26,3948.01,34662.563,1709900999999,136733806.55733,64531,16409.677,64731260.36281,0
1709901000000,3948.00,3957.73,3938.30,3948.78,28462.816,1709902799999,112413844.65726,54427,14032.247,55419961.63802,0
1709902800000,3948.77,3973.00,3944.37,3951.78,77773.814,1709904599999,307964720.53660,117233,40986.343,162309668.82762,0
1709904600000,3951.78,3987.20,3948.38,3975.19,124458.437,1709906399999,494954581.30879,169331,66607.509,264911313.98159,0
1709906400000,3975.19,3977.52,3948.50,3964.38,89695.582,1709908199999,355588647.99240,136322,40539.812,160723918.60752,0
1709908200000,3964.38,3991.81,3964.00,3976.96,99341.398,1709909999999,395433379.85480,152168,49448.363,196855770.84035,0
1709910000000,3976.94,3997.92,3952.89,3996.62,149109.555,1709911799999,592713578.53741,190024,77121.211,306623700.51247,0
1709911800000,3996.63,4003.33,3889.29,3904.01,433105.837,1709913599999,1704725645.02198,493563,207958.623,818648477.02307,0
1709913600000,3904.02,3915.88,3826.08,3864.52,417710.414,1709915399999,1613674881.54713,463852,197128.102,761512409.64239,0
1709915400000,3864.51,3913.75,3855.19,3908.63,151959.611,1709917199999,591175088.25063,203948,82545.735,321146210.77822,0
1709917200000,3908.62,3934.63,3900.90,3931.59,90455.324,1709918999999,354162594.25476,128853,45813.353,179419175.37395,0
1709919000000,3931.59,3983.43,3931.03,3947.01,146805.084,1709920799999,580887342.86864,188206,71674.124,283620088.52136,0
1709920800000,3947.00,3955.60,3930.14,3932.73,72493.455,1709922599999,285746063.29808,107357,38368.836,151246959.63932,0
1709922600000,3932.73,3937.64,3920.05,3931.75,42938.924,1709924399999,168642141.61801,66996,21690.697,85198924.96763,0
1709924400000,3931.76,3935.17,3886.77,3904.59,92484.098,1709926199999,361686461.37573,111691,40041.404,156626670.54565,0
1709926200000,3904.59,3932.23,3897.64,3932.00,53308.111,1709927999999,208570480.34909,85582,30499.979,119357905.71811,0
1709928000000,3932.01,3954.82,3927.23,3932.08,81593.365,1709929799999,321621929.09410,129763,40465.998,159526624.12688,0
1709929800000,3932.08,3944.95,3924.79,3943.17,42161.426,1709931599999,165879262.39920,72320,21495.545,84580706.44529,0
1709931600000,3943.17,3955.73,3918.59,3925.20,49691.127,1709933399999,195572699.93653,78099,22266.740,87658502.70185,0
1709933400000,3925.21,3931.58,3893.00,3906.61,60772.933,1709935199999,237764028.19747,84834,25926.808,101437740.25824,0
1709935200000,3906.61,3914.22,3897.45,3906.51,34613.039,1709936999999,135214789.48046,54833,16852.468,65838165.26016,0
1709937000000,3906.51,3916.35,3872.79,3879.27,59972.151,1709938799999,233423601.04058,68088,25898.692,100802714.84404,0
1709938800000,3879.27,3904.00,3879.26,3892.75,31053.255,1709940599999,120957785.69247,51297,17276.224,67288200.39505,0
1709940600000,3892.75,3897.13,3875.21,3886.04,33386.987,1709942399999,129721850.49536,49874,17222.449,66917651.02917,0
