open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1701993600000,2357.05,2365.94,2356.13,2362.29,51387.104,1701995399999,121277860.90007,40825,27794.944,65605300.09265,0
1701995400000,2362.29,2365.42,2353.21,2361.92,35664.545,1701997199999,84123932.40814,36039,17487.824,41252903.95536,0
1701997200000,2361.92,2368.60,2357.35,2365.76,42292.724,1701998999999,99968390.58653,38616,20815.060,49207025.67631,0
1701999000000,2365.76,2367.79,2360.07,2362.03,29124.327,1702000799999,68842574.73406,30491,12149.634,28720599.15468,0
1702000800000,2362.03,2374.36,2362.03,2371.44,42206.580,1702002599999,99999386.76261,38880,24481.255,58004375.47485,0
1702002600000,2371.43,2389.95,2368.97,2379.16,101406.968,1702004399999,241396528.98192,82105,59709.780,142142148.65576,0
1702004400000,2379.15,2382.02,2370.68,2374.79,48632.420,1702006199999,115489614.66645,46356,22200.245,52723684.74222,0
1702006200000,2374.78,2382.86,2372.85,2376.35,38634.706,1702007999999,91867812.78629,37684,18618.204,44274117.59119,0
1702008000000,2376.35,2397.44,2374.63,2385.24,94336.865,1702009799999,225081634.25567,68026,51589.867,123128006.99042,0
1702009800000,2385.24,2387.60,2369.33,2370.54,70213.504,1702011599999,166775994.64041,51863,30510.941,72470255.29561,0
1702011600000,2370.54,2376.20,2368.60,2374.35,40199.956,1702013399999,95383607.85281,34295,21355.430,50673687.84560,0
1702013400000,2374.34,2379,2371.37,2377.68,28760.398,1702015199999,68331097.41773,28421,15730.707,37374753.01832,0
1702015200000,2377.69,2382.89,2374.50,2378.24,29325.674,1702016999999,69778664.68352,30498,14790.419,35195930.56564,0
1702017000000,2378.23,2380,2370.13,2376.01,39932.980,1702018799999,94841249.10395,36705,20395.506,48440620.70896,0
1702018800000,2376.01,2377.12,2359.27,2360.03,64404.698,1702020599999,152475451.64500,59567,27934.374,66132323.83607,0
1702020600000,2360.03,2367.52,2354.21,2354.99,83868.555,1702022399999,197991347.71924,67969,35682.645,84246950.82075,0
1702022400000,2355,2360.10,2350.68,2357.56,90999.926,1702024199999,214277585.78526,70181,45213.251,106474172.65186,0
1702024200000,2357.57,2360.30,2352.48,2353.63,37979.441,1702025999999,89498860.12491,35100,15771.840,37173289.02220,0
1702026000000,2353.63,2359.49,2352.54,2353.13,38993.725,1702027799999,91859574.00964,34093,19801.183,46644196.15982,0
1702027800000,2353.13,2358.05,2345.71,2348.71,46052.730,1702029599999,108294864.18485,43094,19927.901,46862291.76361,0
1702029600000,2348.69,2361.79,2348.17,2358.97,46511.620,1702031399999,109541184.20001,38880,25964.210,61145452.77527,0
1702031400000,2358.97,2362.41,2353.67,2359.37,44687.562,1702033199999,105400233.58098,41108,23384.429,55157469.09961,0
1702033200000,2359.37,2369.44,2356.59,2366.92,65149.440,1702034999999,153991172.36193,53558,36013.195,85123083.97949,0
1702035000000,2366.91,2374.97,2365,2367.11,63680.166,1702036799999,150939151.25993,60550,31746.951,75256380.60300,0
1702036800000,2367.08,2369.55,2361.76,2367.03,40529.616,1702038599999,95864345.24410,42640,19040.003,45037610.01438,0
