open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1715126400000,3004.55,3023.08,3002.34,3011.76,50337.303,1715128199999,151715230.74618,79483,30581.324,92171100.11599,0
1715128200000,3011.77,3022.70,2993.00,3019.11,58094.841,1715129999999,174874342.71559,100560,27766.573,83617328.12198,0
1715130000000,3019.11,3029.32,3013.50,3023.50,24475.496,1715131799999,73950484.04172,53545,12817.378,38731532.19041,0
1715131800000,3023.50,3028.49,3017.06,3023.06,17081.376,1715133599999,51658099.56955,43876,8438.056,25521353.45115,0
1715133600000,3023.06,3031.24,3023.06,3028.66,18917.213,1715135399999,57286516.20177,36777,9999.289,30280881.23248,0
1715135400000,3028.65,3033.00,3024.00,3024.35,28212.185,1715137199999,85453690.62040,36651,10572.847,32029710.83074,0
1715137200000,3024.34,3030.45,3016.78,3026.21,18947.121,1715138999999,57304364.11994,31403,6510.791,19693241.65974,0
1715139000000,3026.21,3037.52,3025.13,3030.73,18813.699,1715140799999,57033754.11562,35850,11198.377,33948799.86381,0
1715140800000,3030.72,3034.99,3026.64,3026.86,15311.054,1715142599999,46402835.48415,32162,6756.232,20477789.39870,0
1715142600000,3026.87,3026.87,2997.64,3011.59,60543.415,1715144399999,182325747.14353,89354,24584.269,74035133.76801,0
1715144400000,3011.58,3020.30,3003.05,3018.88,33460.495,1715146199999,100777722.40044,56520,18750.534,56476472.39807,0
1715146200000,3018.88,3027.49,3018.14,3024.53,21706.382,1715147999999,65637401.67180,36087,9890.981,29909153.59354,0
1715148000000,3024.52,3029.69,2994.00,2996.46,58390.030,1715149799999,175492777.38105,86315,26586.154,79878451.98450,0
1715149800000,2996.46,3018.83,2992.56,3014.47,50263.120,1715151599999,151234916.46195,78749,27204.040,81868489.33212,0
1715151600000,3014.48,3021.72,2995.00,2995.01,40319.114,1715153399999,121216092.40136,66514,17251.546,51870079.11477,0
1715153400000,2995.01,3003.66,2987.24,2994.23,56092.864,1715155199999,168030611.26896,75842,25023.665,75002652.76873,0
1715155200000,2994.22,3008.69,2983.70,3003.94,60627.609,1715156999999,181644360.51848,94846,32717.847,98054004.51566,0
1715157000000,3003.94,3007.72,2981.00,3000.40,56870.706,1715158799999,170202923.36300,92132,29664.695,88777487.82427,0
1715158800000,3000.40,3005.38,2980.25,2992.71,45924.291,1715160599999,137434313.04362,79898,21954.918,65707238.47953,0
1715160600000,2992.71,2998.10,2976.14,2997.73,62390.708,1715162399999,186250865.88347,99551,31477.958,93999064.56774,0
1715162400000,2997.74,3009.96,2995.08,3007.00,52121.482,1715164199999,156500150.83425,82145,26718.979,80228638.38285,0
1715164200000,3006.99,3011.62,2999.01,3003.30,29896.611,1715165999999,89848641.01368,48311,14706.593,44207292.37927,0
1715166000000,3003.30,3005.38,2982.20,2983.21,47993.741,1715167799999,143537142.81682,75062,21547.412,64441902.82286,0
1715167800000,2983.21,2999.95,2980.86,2989.63,33112.308,1715169599999,99040554.51214,57737,17261.304,51631942.40594,0
1715169600000,2989.63,3006.08,2987.13,2996.10,38535.272,1715171399999,115544287.03955,67910,18391.371,55147940.99899,0
1715171400000,2996.11,3002.33,2983.73,3001.10,43244.779,1715173199999,129392978.34768,77515,22198.091,66432178.27582,0
1715173200000,3001.09,3014.98,2987.35,3005.99,75337.761,1715174999999,226245392.11825,112038,39824.109,119622390.06143,0
1715175000000,3006.00,3031.98,2999.14,3026.88,94446.263,1715176799999,284842903.73883,139498,52221.270,157534693.27044,0
1715176800000,3026.88,3028.14,3006.89,3018.48,68438.374,1715178599999,206600213.50090,108530,32513.950,98173753.51212,0
1715178600000,3018.48,3031.00,3015.85,3019.18,37916.815,1715180399999,114632594.95143,76026,17696.115,53508482.45273,0
1715180400000,3019.17,3021.83,2984.04,2992.56,98691.952,1715182199999,295949752.81499,138200,45717.500,137053902.70503,0
1715182200000,2992.55,3016.61,2987.05,3006.00,58117.440,1715183999999,174611638.89178,99889,28211.347,84762651.82405,0
1715184000000,3005.99,3012.39,2991.10,3006.44,39955.216,1715185799999,119972267.73034,73241,18938.694,56873387.35498,0
1715185800000,3006.45,3015.63,3001.00,3015.04,22183.416,1715187599999,66717424.57317,47700,12047.267,36239822.86741,0
1715187600000,3015.03,3024.32,3006.57,3009.96,27695.313,1715189399999,83503947.21360,52807,11722.699,35353358.88539,0
1715189400000,3009.95,3015.20,3004.19,3010.06,16066.736,1715191199999,48346612.22481,35752,8232.276,24775518.32705,0
1715191200000,3010.06,3021.13,3007.49,3016.49,18893.399,1715192999999,56978380.53347,33486,9184.254,27693211.57557,0
1715193000000,3016.49,3016.79,3007.64,3008.16,14805.499,1715194799999,44586089.86052,30664,6592.986,19852676.14371,0
1715194800000,3008.17,3014.64,2984.80,2990.99,48153.454,1715196599999,144313136.59801,65927,23128.112,69315344.56323,0
1715196600000,2990.99,3006.17,2989.41,2998.36,25953.673,1715198399999,77779039.58484,54360,14822.612,44417741.65149,0
1715198400000,2998.36,3002.82,2930.64,2954.73,167950.867,1715200199999,497254153.55623,207226,68541.580,202951150.70670,0
1715200200000,2954.73,2955.44,2935.00,2950.29,68823.234,1715201999999,202739402.85368,115305,36637.526,107945269.92144,0
1715202000000,2950.29,2982.58,2941.34,2970.99,94596.035,1715203799999,280188577.90846,108694,53062.700,157180254.46234,0
1715203800000,2970.99,2979.84,2962.33,2970.78,48180.204,1715205599999,143247893.86620,61093,15466.978,45973802.88195,0
1715205600000,2970.77,2974.00,2952.69,2970.31,48087.177,1715207399999,142511214.16510,83788,22278.197,66036144.13088,0
1715207400000,2970.32,2973.89,2958.30,2968.33,26582.006,1715209199999,78835343.29704,60155,12927.781,38348136.97306,0
1715209200000,2968.34,2975.26,2960.50,2967.49,35064.114,1715210999999,104039218.36815,74003,17081.340,50674738.06917,0
1715211000000,2967.48,2976.53,2966.05,2972.93,17987.436,1715212799999,53449532.75900,52513,10032.217,29811795.93317,0
