open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1707350400000,2424.21,2436.96,2422.69,2430.62,61042.289,1707352199999,148246467.31138,62371,34431.565,83623769.43736,0
1707352200000,2430.63,2434.56,2427.01,2433.89,31483.926,1707353999999,76545061.96365,45268,14135.933,34368750.14156,0
1707354000000,2433.89,2443.21,2429.11,2438.00,51212.029,1707355799999,124742280.70546,59391,28579.793,69627001.05472,0
1707355800000,2438.00,2443.43,2431.12,2440.72,48708.115,1707357599999,118717346.03103,52003,26083.254,63582317.15939,0
1707357600000,2440.73,2443.40,2430.01,2430.56,35219.393,1707359399999,85776988.89681,48477,13995.690,34092176.17226,0
1707359400000,2430.56,2434.94,2429.08,2433.55,18206.641,1707361199999,44278620.27204,28129,9720.121,23640500.94636,0
1707361200000,2433.55,2435.80,2431.05,2431.40,15795.504,1707362999999,38432453.74281,25986,7222.170,17573458.90546,0
1707363000000,2431.40,2435.78,2431.39,2432.45,14698.832,1707364799999,35769336.12126,27043,7666.922,18657483.68173,0
1707364800000,2432.45,2434.32,2430.30,2431.12,12546.407,1707366599999,30507303.23536,22614,5284.608,12850376.64686,0
1707366600000,2431.12,2431.12,2424.74,2426.39,29406.934,1707368399999,71382465.25424,38409,11033.892,26781306.42709,0
1707368400000,2426.38,2427.86,2424.19,2427.44,16705.289,1707370199999,40524086.80381,25912,8833.140,21428361.44801,0
1707370200000,2427.43,2427.73,2421.20,2422.42,24172.877,1707371999999,58580197.81025,36054,10698.774,25926669.39902,0
1707372000000,2422.41,2422.86,2419.14,2422.26,21514.746,1707373799999,52091866.96547,27437,9671.116,23416535.44342,0
1707373800000,2422.25,2422.46,2418.26,2419.21,16180.076,1707375599999,39168529.24273,25463,8184.297,19814112.41143,0
1707375600000,2419.20,2423.00,2410.16,2421.79,67334.663,1707377399999,162688614.26989,60011,36011.934,87007538.38907,0
1707377400000,2421.79,2424.16,2418.74,2420.20,25598.908,1707379199999,61987951.85511,27153,14695.891,35589618.59395,0
1707379200000,2420.20,2424.18,2420.20,2421.60,21667.818,1707380999999,52484963.54783,35646,13358.015,32357336.28534,0
1707381000000,2421.59,2427.01,2420.63,2423.15,26323.925,1707382799999,63810090.30210,37174,15199.898,36846284.25506,0
1707382800000,2423.15,2425.87,2419.50,2420.67,18464.606,1707384599999,44731224.12822,27649,8947.885,21677000.01970,0
1707384600000,2420.67,2425.72,2419.84,2422.87,15229.776,1707386399999,36903363.83666,24031,8880.704,21517652.87980,0
1707386400000,2422.88,2429.88,2420.01,2422.60,33403.814,1707388199999,80996042.96575,37251,19702.214,47775745.33563,0
1707388200000,2422.60,2426.14,2421.82,2421.93,21185.540,1707389999999,51351147.67593,26632,10398.310,25205914.18478,0
1707390000000,2421.93,2425.14,2420.02,2420.20,20310.666,1707391799999,49205214.71108,26813,8892.972,21545733.97899,0
1707391800000,2420.21,2424.71,2415.00,2424.19,33890.550,1707393599999,81984824.43590,39874,14449.692,34961618.79682,0
1707393600000,2424.19,2428.59,2420.22,2420.89,26635.931,1707395399999,64578811.56957,38858,13384.626,32455289.24547,0
1707395400000,2420.89,2421.49,2416.25,2421.20,25045.159,1707397199999,60577459.05747,35412,10793.918,26108212.52618,0
1707397200000,2421.20,2422.70,2416.39,2418.96,18786.261,1707398999999,45452565.24934,26536,8587.028,20777404.34441,0
1707399000000,2418.96,2424.12,2415.50,2424.12,44525.877,1707400799999,107788630.30225,52022,25588.059,61950070.95670,0
1707400800000,2424.12,2437.00,2422.00,2430.42,100929.263,1707402599999,245439433.42473,97688,52939.994,128748502.81079,0
1707402600000,2430.42,2443.44,2418.64,2437.18,98805.938,1707404399999,240194520.69091,101100,48971.391,119074525.11599,0
1707404400000,2437.18,2463.28,2427.19,2455.82,200607.603,1707406199999,491598365.26087,165593,111756.106,273872688.75378,0
1707406200000,2455.83,2459.88,2448.82,2452.52,75509.070,1707407999999,185320133.44430,90050,34458.959,84569316.68135,0
1707408000000,2452.47,2454.56,2435.02,2437.76,75584.392,1707409799999,184729967.19677,91236,32191.708,78676339.85921,0
1707409800000,2437.76,2440.43,2412.00,2423.57,160208.286,1707411599999,388441387.89657,127154,70562.235,171060738.42177,0
1707411600000,2423.58,2430.40,2416.65,2430.04,69287.243,1707413399999,167904025.48752,79069,33794.048,81906262.83141,0
1707413400000,2430.01,2436.00,2421.76,2423.60,48612.694,1707415199999,118130413.37017,60153,21140.068,51384662.77675,0
1707415200000,2423.60,2430.33,2420.17,2429.49,30577.405,1707416999999,74165453.57602,36747,16376.676,39722706.90027,0
1707417000000,2429.50,2431.97,2425.75,2429.66,21219.999,1707418799999,51543824.16387,31145,11117.015,27005209.47820,0
