open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1723075200000,2341.40,2356.17,2323.24,2324.75,77439.525,1723076999999,181339847.45308,110865,38089.266,89192740.04473,0
1723077000000,2324.76,2354.60,2318.64,2352.30,82286.308,1723078799999,192225418.50259,120350,42200.893,98582116.02410,0
1723078800000,2352.30,2398.03,2350.76,2378.27,143315.733,1723080599999,340996959.81879,179203,72299.749,172078475.67360,0
1723080600000,2378.28,2447.84,2377.28,2438.95,203474.358,1723082399999,492446011.39104,218225,112059.224,271064727.31157,0
1723082400000,2438.96,2464.28,2435.75,2461.32,127200.553,1723084199999,311948992.18544,159944,64539.707,158309639.99735,0
1723084200000,2461.32,2462.67,2447.82,2454.02,83886.942,1723085999999,205974000.59234,96588,36905.477,90625437.39661,0
1723086000000,2454.02,2458.00,2440.86,2450.02,62754.475,1723087799999,153729997.68179,81279,29021.116,71116994.66422,0
1723087800000,2450.03,2452.41,2428.14,2429.21,59856.572,1723089599999,146010524.52274,72711,27437.146,66929551.40353,0
1723089600000,2429.21,2444.25,2425.18,2432.01,47374.091,1723091399999,115378373.93917,78214,25676.322,62548615.63798,0
1723091400000,2432.06,2436.46,2416.79,2421.37,43786.173,1723093199999,106229891.00846,73329,21314.549,51721201.77938,0
1723093200000,2421.37,2432.30,2418.00,2429.12,49241.744,1723094999999,119508344.07737,63402,28648.801,69536490.67954,0
1723095000000,2429.11,2433.97,2420.29,2421.98,33179.919,1723096799999,80517113.66618,55757,18100.285,43930719.09517,0
1723096800000,2421.99,2433.74,2410.04,2432.32,54261.587,1723098599999,131482807.41550,84880,29654.308,71903010.22377,0
1723098600000,2432.31,2439.00,2427.56,2431.56,34468.894,1723100399999,83856714.09630,54775,19477.595,47390525.91970,0
1723100400000,2431.57,2432.48,2420.44,2425.28,40517.655,1723102199999,98317132.74613,68027,19756.577,47942781.65213,0
1723102200000,2425.28,2426.00,2410.35,2413.04,51677.111,1723103999999,124870166.27454,80258,22651.716,54745129.82897,0
1723104000000,2413.07,2426.53,2407.08,2418.64,48631.794,1723105799999,117494335.88777,75684,25149.865,60766268.41889,0
1723105800000,2418.65,2431.99,2417.04,2426.32,32209.150,1723107599999,78118832.84641,57758,17457.469,42342040.64886,0
1723107600000,2426.31,2431.00,2413.12,2430.04,43787.777,1723109399999,106101758.09585,70342,19988.748,48445168.91340,0
1723109400000,2430.00,2451.51,2427.65,2435.79,83091.884,1723111199999,202759439.10849,106215,44233.841,107942774.05425,0
1723111200000,2435.80,2440.95,2424.76,2437.42,48603.188,1723112999999,118197889.33978,77885,25942.871,63104936.72768,0
1723113000000,2437.41,2448.09,2431.36,2445.65,45398.022,1723114799999,110790241.49173,76296,21805.539,53222622.40884,0
