open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1723161600000,2681.59,2683.77,2665.30,2678.43,75624.098,1723163399999,202208498.69367,113938,35947.098,96127844.48546,0
1723163400000,2678.42,2693.99,2650.00,2664.67,146171.872,1723165199999,390808085.97737,159397,69075.116,184719765.03440,0
1723165200000,2664.68,2670.79,2644.44,2665.58,89033.556,1723166999999,236443222.87510,119378,40151.747,106684019.13390,0
1723167000000,2665.58,2673.67,2661.32,2669.37,37101.217,1723168799999,99014287.14399,63914,20311.216,54217171.23473,0
1723168800000,2669.38,2673.63,2657.30,2665.42,33055.948,1723170599999,88151732.45191,59766,17118.887,45659019.99846,0
1723170600000,2665.42,2681.63,2662.37,2667.40,32455.548,1723172399999,86699251.18155,59047,17753.229,47432942.17183,0
1723172400000,2667.40,2693.50,2665.68,2688.80,46606.079,1723174199999,125057001.56522,73974,26697.449,71645994.59646,0
1723174200000,2688.79,2700.00,2679.86,2692.90,54417.611,1723175999999,146355215.29679,77712,28862.194,77650766.68197,0
1723176000000,2692.90,2708.80,2676.68,2678.62,72153.248,1723177799999,194296935.08994,100325,35651.863,96078868.41463,0
1723177800000,2678.61,2683.00,2658.00,2658.22,54565.029,1723179599999,145715530.61436,82063,24916.213,66558145.17826,0
1723179600000,2658.22,2668.34,2647.35,2663.62,71155.370,1723181399999,189188046.32064,94830,34115.299,90755452.78874,0
1723181400000,2663.62,2677.92,2662.65,2676.03,31563.688,1723183199999,84327751.20217,49651,17800.000,47549599.76869,0
1723183200000,2676.03,2689.35,2673.08,2678.40,46571.677,1723184999999,124898428.29642,74792,23076.442,61896127.60504,0
1723185000000,2678.41,2702.88,2677.62,2686.69,68553.422,1723186799999,184552621.94794,92350,36277.585,97665366.62657,0
1723186800000,2686.69,2697.66,2680.26,2684.95,36674.387,1723188599999,98621053.89212,65716,17611.175,47375765.30228,0
1723188600000,2684.95,2685.50,2661.60,2668.97,73782.760,1723190399999,197128402.26449,91503,29169.663,77917913.58973,0
1723190400000,2668.98,2671.66,2654.11,2667.95,54150.792,1723192199999,144272398.00428,79910,28814.045,76782601.95848,0
1723192200000,2667.95,2674.34,2664.00,2669.65,31075.140,1723193999999,82956893.41447,52129,15694.327,41900867.39975,0
1723194000000,2669.65,2681.08,2656.00,2668.90,53512.186,1723195799999,142751493.60379,80447,31057.286,82856125.98162,0
1723195800000,2668.91,2671.41,2650.07,2657.34,57988.803,1723197599999,154310253.90952,91600,28681.049,76346528.31573,0
1723197600000,2657.35,2661.00,2616.69,2639.30,159996.738,1723199399999,421648993.38701,184736,71091.659,187351890.75508,0
1723199400000,2639.42,2642.51,2618.76,2633.99,68759.960,1723201199999,180859881.96724,116163,36293.182,95485687.96486,0
1723201200000,2634.00,2642.00,2620.43,2622.11,40254.881,1723202999999,105925167.37050,74613,17786.044,46820988.80078,0
1723203000000,2622.11,2638.52,2617.52,2633.46,38580.924,1723204799999,101425059.36730,72731,21090.296,55453830.28397,0
1723204800000,2633.45,2646.82,2622.02,2624.22,63698.587,1723206599999,167789093.38446,98270,31586.450,83218107.75171,0
1723206600000,2624.22,2628.35,2607.27,2626.51,71163.623,1723208399999,186407545.91286,111043,33698.623,88307093.55476,0
1723208400000,2626.51,2637.19,2605.00,2617.53,82385.349,1723210199999,215616458.74005,122524,41824.620,109504557.88492,0
1723210200000,2617.53,2620.80,2578.25,2614.67,199519.263,1723211999999,517918792.44026,260862,92897.452,241220656.65322,0
1723212000000,2614.67,2663.27,2592.79,2594.71,213186.206,1723213799999,560208058.76832,294688,104966.532,276019446.04770,0
1723213800000,2594.75,2599.95,2556.00,2589.86,235317.740,1723215599999,606465206.39157,280158,121564.456,313339818.34616,0
1723215600000,2589.85,2604.42,2578.16,2579.61,76872.964,1723217399999,199186924.92074,130777,36163.754,93733054.37659,0
1723217400000,2579.61,2584.42,2555.25,2557.33,83547.987,1723219199999,214532707.43866,126650,39883.094,102418923.22719,0
1723219200000,2557.33,2585.78,2551.23,2580.32,97054.630,1723220999999,249430224.27811,134631,53931.706,138635437.70601,0
1723221000000,2580.31,2594.00,2580.00,2592.33,49464.614,1723222799999,128020975.28397,88489,26526.570,68654988.82908,0
1723222800000,2592.32,2608.49,2583.26,2587.51,69986.458,1723224599999,181616245.83665,84741,33713.570,87512333.78244,0
1723224600000,2587.52,2601.40,2585.94,2589.09,33215.898,1723226399999,86165996.57815,61078,18284.401,47440289.60863,0
1723226400000,2589.01,2596.11,2573.03,2588.28,45160.159,1723228199999,116699438.01207,70129,21992.207,56841996.24571,0
1723228200000,2588.28,2592.54,2579.81,2585.18,23516.563,1723229999999,60830813.26330,52379,10796.024,27930096.83954,0
1723230000000,2585.17,2595.54,2576.66,2590.86,20278.596,1723231799999,52476194.61503,45181,11627.237,30093348.13112,0
1723231800000,2590.87,2598.98,2586.10,2589.17,20041.383,1723233599999,51971839.69542,45913,9893.479,25659558.70427,0
1723233600000,2589.18,2606.12,2585.81,2594.03,26750.615,1723235399999,69406094.39592,49652,13634.383,35380733.41427,0
1723235400000,2594.03,2603.77,2585.64,2591.28,19765.640,1723237199999,51256862.95264,43591,9803.401,25421652.28202,0
1723237200000,2591.26,2591.67,2560.40,2572.36,60397.416,1723238999999,155275541.72677,87834,28332.278,72815509.55560,0
1723239000000,2572.37,2605.59,2565.56,2600.92,42319.479,1723240799999,109561558.91175,59041,24678.057,63891094.86824,0
1723240800000,2600.92,2612.55,2583.30,2598.45,55726.981,1723242599999,144728553.96126,97781,25584.930,66439278.48633,0
1723242600000,2598.61,2606.50,2587.26,2596.70,26318.577,1723244399999,68344249.62066,49928,11165.303,28992590.21041,0
1723244400000,2596.70,2599.32,2572.73,2583.58,31504.939,1723246199999,81398702.42619,54220,14436.402,37288720.82863,0
1723246200000,2583.58,2600.85,2580.26,2597.90,30682.553,1723247999999,79553314.06251,54451,15554.050,40327848.66323,0
