open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1728432000000,2439.84,2442.97,2435.28,2441.96,26445.137,1728433799999,64506922.89412,52589,13015.578,31743416.01868,0
1728433800000,2441.97,2443.00,2426.00,2437.17,43015.590,1728435599999,104640946.78583,80946,19777.216,48111020.83132,0
1728435600000,2437.18,2458.57,2433.48,2457.99,53941.614,1728437399999,132029535.45973,85489,26492.617,64854504.45071,0
1728437400000,2458.00,2472.90,2456.31,2461.31,84929.755,1728439199999,209385278.32991,109596,42011.834,103581595.31617,0
1728439200000,2461.31,2461.94,2453.01,2454.03,30224.834,1728440999999,74273775.57981,52143,11473.286,28192953.05385,0
1728441000000,2454.02,2454.93,2446.20,2446.47,32647.516,1728442799999,80005194.52896,47928,15716.118,38519997.43183,0
1728442800000,2446.47,2451.35,2439.13,2450.99,39827.868,1728444599999,97394592.62984,57739,22071.646,53982526.07540,0
1728444600000,2450.99,2453.64,2442.87,2445.52,47800.498,1728446399999,117064602.74356,47109,22333.911,54692857.73531,0
1728446400000,2445.51,2446.11,2437.68,2442.83,57589.826,1728448199999,140623779.18429,47507,26729.491,65261996.54455,0
1728448200000,2442.84,2447.37,2439.24,2444.00,20554.597,1728449999999,50224102.20739,31641,10882.646,26594848.59124,0
1728450000000,2444.00,2448.99,2441.25,2445.25,31894.986,1728451799999,77973362.03082,35954,17086.329,41764206.77925,0
1728451800000,2445.25,2451.36,2444.06,2449.87,19137.709,1728453599999,46854603.70457,31873,10345.454,25328302.49006,0
1728453600000,2449.87,2451.76,2446.21,2447.62,17653.382,1728455399999,43236380.08087,31430,8974.094,21981801.80453,0
1728455400000,2447.62,2448.42,2440.69,2442.50,19700.841,1728457199999,48141515.09621,32735,6683.222,16330409.74793,0
1728457200000,2442.50,2442.50,2430.55,2436.88,48488.197,1728458999999,118100524.73241,58327,22554.670,54931812.63458,0
1728459000000,2436.88,2439.39,2433.50,2434.80,22231.325,1728460799999,54170657.59908,36209,10967.516,26727059.37960,0
1728460800000,2434.80,2439.25,2430.75,2432.72,25294.849,1728462599999,61576926.14611,46453,11579.782,28196715.34637,0
1728462600000,2432.72,2436.00,2428.16,2430.13,29034.160,1728464399999,70599680.54739,59473,13844.766,33668461.63808,0
1728464400000,2430.13,2435.00,2426.23,2430.95,28564.959,1728466199999,69439168.88707,48287,13668.953,33233971.22019,0
1728466200000,2430.95,2438.00,2430.12,2436.73,29537.414,1728467999999,71919609.31018,38058,18357.977,44696421.49357,0
