open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1725840000000,2295.90,2311.78,2292.12,2303.52,53340.339,1725841799999,122787111.73543,72324,24117.507,55526402.44462,0
1725841800000,2303.53,2307.99,2286.59,2306.60,40736.904,1725843599999,93609047.09979,67438,18692.324,42961281.93216,0
1725843600000,2306.60,2320.00,2298.97,2303.47,67829.717,1725845399999,156689430.71609,98473,33174.993,76646344.59434,0
1725845400000,2303.47,2315.64,2295.27,2309.90,39593.125,1725847199999,91306939.65263,60134,18577.009,42855173.25227,0
1725847200000,2309.89,2310.50,2298.70,2298.87,27321.023,1725848999999,62953204.15316,44826,11602.800,26737196.47625,0
1725849000000,2298.88,2307.00,2295.89,2306.05,18742.051,1725850799999,43129724.16593,37005,8754.948,20148353.50120,0
1725850800000,2306.05,2306.79,2288.53,2295.88,38464.845,1725852599999,88290020.36958,54345,16757.901,38457048.50965,0
1725852600000,2295.88,2306.47,2294.14,2303.34,21613.885,1725854399999,49754478.19534,38214,11865.805,27317433.69422,0
1725854400000,2303.33,2306.87,2294.00,2297.91,29618.940,1725856199999,68141621.44045,42989,13611.228,31322895.65274,0
1725856200000,2297.90,2302.29,2294.43,2295.81,20869.549,1725857999999,47946867.27048,33164,10760.331,24722452.83997,0
1725858000000,2295.81,2298.39,2288.59,2295.20,26836.521,1725859799999,61535404.07917,40218,12870.039,29511867.24329,0
1725859800000,2295.15,2298.47,2281.04,2287.56,67798.183,1725861599999,155126696.59654,62568,33157.832,75871300.02513,0
1725861600000,2287.57,2294.16,2285.23,2290.76,37123.339,1725863399999,85000209.65191,42336,17969.897,41153920.02231,0
1725863400000,2290.76,2305.39,2290.67,2304.15,41651.660,1725865199999,95738229.92595,50594,25066.255,57618664.08637,0
1725865200000,2304.19,2305.98,2298.06,2304.49,28294.747,1725866999999,65143838.73651,41761,15763.760,36297037.72417,0
1725867000000,2304.49,2315.95,2303.86,2313.03,50409.503,1725868799999,116500482.59447,54720,27768.436,64174959.86371,0
1725868800000,2313.03,2328.49,2311.97,2324.51,77716.704,1725870599999,180353492.75773,80995,46261.693,107374405.90267,0
1725870600000,2324.52,2329.90,2317.90,2325.53,53763.771,1725872399999,124915838.21584,72029,25587.480,59456815.57997,0
1725872400000,2325.53,2338.74,2321.20,2325.86,82035.203,1725874199999,191101062.42397,86572,44559.361,103826825.28364,0
1725874200000,2325.86,2329.70,2313.00,2316.31,48699.223,1725875999999,112983146.43183,57298,23454.603,54414421.90553,0
